"Week","SNFG","Reference","Product","Sediaan","Unit of Measure","Scheduled Start Date","Scheduled Finished Date","State","Manufacturing Order","Manufacturing Order/Finished Product/Lot/Serial Number"
"4","BO-SKCS06-MO6G/I0009","MO-BO-SCS06-BULK/I0010","[BO-SCS06-BULK] Blush On 06 Caribbean Sunset","P","kg","2023-01-24","2023-01-27","Done","MO/230003881","AJ25A"
"4","FA-RGH-MO13G/I0003","MO-FA-RGH-BULK/I0003","[FA-RGH-BULK] Riche Glow Face Highlighter","P","kg","2023-01-25","2023-01-30","Done","MO/230003977","AJ26A"
"4","B-SPG-MO13GR/I0001","MO-B-SPG-BULK/I0001","[B-SPG-BULK] Shimmering Powder Goldinx","P","kg","2023-01-27","2023-02-01","Done","MO/230004130","AJ27A"
"4","BO-E02-W/I0002","MO-BO-E02-W-BULK/I0002","[BO-E02-W-BULK] Wardah Exclusive Blush On 02 Coral Peach","P","kg","2023-01-25","2023-01-30","Done","MO/230003980","AJ26A"
"4","FA-EGH-W/I0002","MO-FA-EGH-BULK/I0002","[FA-EGH-BULK] Wardah Exclusive Glowing Highlighter","P","kg","2023-01-26","2023-01-30","Done","MO/230004001","AJ26A"
"4","BO-CLPCS-EM3.5GR/I0001","MO-BO-CLPCS-BULK/I0001","[BO-CLPCS-BULK] Cheek Lit Pressed Blush Sugarcane","P","kg","2023-01-27","2023-02-01","Done","MO/230004028","AJ28A"
"4","TC-FC-MO14G/I0004","MO-TC-FC-MO-BULK/I0004","[TC-FC-MO-BULK] Face Contour Kit Coklat","P","kg","2023-01-27","2023-02-01","Done","MO/230004031","AJ27A"
"4","TC-FC-MO14G/I0004","MO-TC-FC02-MO-BULK/I0004","[TC-FC02-MO-BULK] Face Contour Kit Putih Tulang","P","kg","2023-01-27","2023-02-01","Done","MO/230004034","AJ28A"
"4","BO-W1C-W4GR/I0003","MO-BO-W1C-01-BULK/I0003","[BO-W1C-01-BULK] BLUSH ON C 01","P","kg","2023-01-24","2023-01-30","Done","MO/230003675","AJ25A"
"4","BO-W1C-W4GR/I0003","MO-BO-W1C-02 BULK/I0003","[BO-W1C-02 BULK] BLUSH ON C 02","P","kg","2023-01-25","2023-01-30","Done","MO/230003982","AJ26A"
"4","ES-PRPBK-EM3.3GR/I0001","MO-ES-PRPBK01-BULK/I0001","[ES-PRPBK01-BULK] BRICK 01","P","kg","2023-01-21","2023-01-26","Done","MO/230003552","AJ23A"
"4","ES-PRPBK-EM3.3GR/I0001","MO-ES-W1G-01 BULK/I0002","[ES-W1G-01 BULK] EYE SHADOW G 01","P","kg","2023-01-21","2023-01-26","Done","MO/230003553","AJ23A"
"4","ES-PRPBK-EM3.3GR/I0001","MO-ES-PMEO-BULK/I0003","[ES-PMEO-BULK] Perfect Matte Eye Shadow Espresso","P","kg","2023-01-23","2023-01-26","Done","MO/230003601","AJ23A"
"4","ES-PRPGI-EM3.3GR/I0001","MO-ES-C-BULK/I0004","[ES-C-BULK] Perfect Matte Eye Shadow Cocoa","P","kg","2023-01-26","2023-01-31","Done","MO/230004014","AJ27A"
"4","ES-PRPGI-EM3.3GR/I0001","MO-ES-W0L-02 BULK/I0001","[ES-W0L-02 BULK] EYE SHADOW L 02","P","kg","2023-01-26","2023-01-31","Done","MO/230004007","AJ28A"
"4","ES-PRPGI-EM3.3GR/I0001","MO-ES-W1F-01 BULK/I0003","[ES-W1F-01 BULK] EYE SHADOW F 01","P","kg","2023-01-26","2023-01-31","Done","MO/230004003","AJ27A"
