"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Manufacturing Order"
"M-BSC-EM/I0037","M-BSC-EM/I0037","[M-BSC-EM] Emina Bright Stuff Moisturizing Cream 20 ml","L","2023-05-19","2023-05-20","MO/230027015"
"HS-NSNP-W/I0004","HS-NSNP-W/I0004","[HS-NSNP-W] Wardah Multipurpose Sanitizer 100 ml","L","2023-05-16","2023-05-17","MO/230027071"
"S-R2NSSEC-W/I0001","S-R2NSSEC-W/I0001","[S-R2NSSEC-W] Wardah Nutri Shine Shampoo 170 ml (Improvement)","L","2023-05-16","2023-05-16","MO/230027072"
"CUS-CLPGCF-W/I0003","CUS-CLPGCF-W/I0003","[CUS-CLPGCF-W] Wardah Colorfit Perfect Glow Cushion 43W Golden Sand 15 g","L","2023-05-19","2023-05-19","MO/230027084"
"FA-PFMS-MO50ML/I0030","FA-PFMS-MO50ML/I0030","[FA-PFMS-MO50ML] MAKE OVER Powerstay Fix & Matte Makeup Setting Spray 50 ml","L","2023-05-20","2023-05-22","MO/230027095"
"FT-KFT-KA/I0042","FT-KFT-KA/I0042","[FT-KFT-KA] Kahf All-in-One Power Toning Face Spray 100 ml","L","2023-05-22","2023-05-23","MO/230027098"
"HT-P1Y1-P200/I0007","HT-P1Y1-P200/I0007","[HT-P1Y1-P200] Hair Tonic Normal Hair (Yellow), 200 ml","L","2023-05-16","2023-05-31","MO/230027107"
"SRM-RRYIS-W/I0004","SRM-RRYIS-W/I0004","[SRM-RRYIS-W] Wardah Renew You Intensive Serum 15 ml (Pc(s))","L","2023-05-19","2023-05-20","MO/230027130"
"L-IPCS01-W/I0001","L-IPCS01-W/I0001","[L-IPCS01-W] Instaperfect Litesplash Lip Sorbet 03 Cranberry 4.2 g","L","2023-05-23","2023-05-24","MO/230027148"
"CUS-IPC-W/I0003","CUS-IPC-W/I0003","[CUS-IPC-W] Instaperfect Skincover Air Cushion 32 True Beige 11 g","L","2023-05-21","2023-05-23","MO/230027152"
"P-HUXG-KA/I0002 ","P-HUXG-KA/I0002 ","[P-HUXG-KA] Kahf Umrah and Hajj Package X Garuda","L","2023-05-23","2023-05-23","MO/230027153"
"P-FC-KA/I0002","P-FC-KA/I0002","[P-FC-KA] Kahf Facial Care Package","L","2023-05-22","2023-05-23","MO/230027154"
"TC-R3LLF01-W/I0021","TC-R3LLF01-W/I0021","[TC-R3LLF01-W] Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g","P","2023-05-17","2023-05-27","MO/230027202"
"TC-R3LLF05-W/I0013","TC-R3LLF05-W/I0013","[TC-R3LLF05-W] Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g","P","2023-05-17","2023-05-27","MO/230027205"
"TC-R3LLF06-W/I0008","TC-R3LLF06-W/I0008","[TC-R3LLF06-W] Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g","P","2023-05-17","2023-05-27","MO/230027206"
"TC-RR3LLF01-W/I0023","TC-RR3LLF01-W/I0023","[TC-RR3LLF01-W] Wardah Refill Lightening Powder Foundation Light Feel 01 Light Beige 12 g","P","2023-05-17","2023-05-27","MO/230027207"
"TC-RR3LLF03-W/I0024","TC-RR3LLF03-W/I0024","[TC-RR3LLF03-W] Wardah Refill Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","P","2023-05-17","2023-05-27","MO/230027208"
"TC-PMW21-MO/I0014","TC-PMW21-MO/I0014","[TC-PMW21-MO] MAKE OVER Powerstay Matte Powder Foundation W21 Coral Ivory 12 g","P","2023-05-15","2023-05-20","MO/230027217"
"TC-PMW21-MO/I0015","TC-PMW21-MO/I0015","[TC-PMW21-MO] MAKE OVER Powerstay Matte Powder Foundation W21 Coral Ivory 12 g","P","2023-05-16","2023-05-20","MO/230027218"
"TC-PMW22-MO12G/I0036","TC-PMW22-MO12G/I0036","[TC-PMW22-MO12G] MAKE OVER Powerstay Matte Powder Foundation W22 Warm Ivory 12 g","P","2023-05-16","2023-05-20","MO/230027219"
"TC-PMW22-MO12G/I0037","TC-PMW22-MO12G/I0037","[TC-PMW22-MO12G] MAKE OVER Powerstay Matte Powder Foundation W22 Warm Ivory 12 g","P","2023-05-17","2023-05-27","MO/230027220"
"TC-PMW22-MO12G/I0038","TC-PMW22-MO12G/I0038","[TC-PMW22-MO12G] MAKE OVER Powerstay Matte Powder Foundation W22 Warm Ivory 12 g","P","2023-05-19","2023-05-27","MO/230027221"
"TC-PMW32-MO/I0017","TC-PMW32-MO/I0017","[TC-PMW32-MO] MAKE OVER Powerstay Matte Powder Foundation W32 Warm Beige 12 g","P","2023-05-16","2023-05-20","MO/230027224"
"TC-RR3LEC03-W/I0012","TC-RR3LEC03-W/I0012","[TC-RR3LEC03-W] Wardah Refill Lightening Powder Foundation Extra Cover 03 Sheer Pink 10 g","P","2023-05-17","2023-05-27","MO/230027242"
"TWC-CLFTC-W/I0024","TWC-CLFTC-W/I0024","[TWC-CLFTC-W] Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g","P","2023-05-17","2023-05-27","MO/230027245"
"TWC-CLFTH-W/I0016","TWC-CLFTH-W/I0016","[TWC-CLFTH-W] Wardah Colorfit Velvet Powder Foundation 52N Almond 11 g","P","2023-05-19","2023-05-27","MO/230027249"
"TWC-CLFTRB-W/I0023","TWC-CLFTRB-W/I0023","[TWC-CLFTRB-W] Wardah Colorfit Velvet Powder Foundation Refill 22N Light Ivory 11 g","P","2023-05-17","2023-05-27","MO/230027251"
"TC-R3LLF01-W/I0022","TC-R3LLF01-W/I0022","[TC-R3LLF01-W] Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g","P","2023-05-17","2023-05-27","MO/230027256"
"TC-R3LLF04-W/I0027","TC-R3LLF04-W/I0027","[TC-R3LLF04-W] Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-05-17","2023-05-27","MO/230027258"
"TC-R3LLF04-W/I0028","TC-R3LLF04-W/I0028","[TC-R3LLF04-W] Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-05-19","2023-05-27","MO/230027259"
"TC-R3LLF04-W/I0029","TC-R3LLF04-W/I0029","[TC-R3LLF04-W] Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-05-19","2023-05-27","MO/230027260"
"TC-R3LLF05-W/I0014","TC-R3LLF05-W/I0014","[TC-R3LLF05-W] Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g","P","2023-05-17","2023-05-27","MO/230027261"
"TC-PMC31-MO/I0009","TC-PMC31-MO/I0009","[TC-PMC31-MO] MAKE OVER Powerstay Matte Powder Foundation C31 Pink Beige 12 g","P","2023-05-17","2023-05-27","MO/230027272"
"TC-PMC41-MO/I0002","TC-PMC41-MO/I0002","[TC-PMC41-MO] MAKE OVER Powerstay Matte Powder Foundation C41 Cool Sand 12 g","P","2023-05-17","2023-05-27","MO/230027273"
"TC-PMN10-MO12G/I0023","TC-PMN10-MO12G/I0023","[TC-PMN10-MO12G] MAKE OVER Powerstay Matte Powder Foundation N10 Marble 12 g","P","2023-05-17","2023-05-27","MO/230027276"
"TC-PMW12-MO/I0017","TC-PMW12-MO/I0017","[TC-PMW12-MO] MAKE OVER Powerstay Matte Powder Foundation W12 Warm Marble 12 g","P","2023-05-17","2023-05-27","MO/230027282"
"TC-PMW12-MO/I0018","TC-PMW12-MO/I0018","[TC-PMW12-MO] MAKE OVER Powerstay Matte Powder Foundation W12 Warm Marble 12 g","P","2023-05-17","2023-05-27","MO/230027283"
"TC-PMW30-MO/I0015","TC-PMW30-MO/I0015","[TC-PMW30-MO] MAKE OVER Powerstay Matte Powder Foundation W30 Creme Beige 12 g","P","2023-05-17","2023-05-27","MO/230027284"
"TC-PMW33-MO12G/I0032","TC-PMW33-MO12G/I0032","[TC-PMW33-MO12G] MAKE OVER Powerstay Matte Powder Foundation W33 Honey Beige 12 g","P","2023-05-17","2023-05-27","MO/230027286"
"TC-PMW33-MO12G/I0033","TC-PMW33-MO12G/I0033","[TC-PMW33-MO12G] MAKE OVER Powerstay Matte Powder Foundation W33 Honey Beige 12 g","P","2023-05-17","2023-05-27","MO/230027287"
"TC-PC02-MO12G/I0024","TC-PC02-MO12G/I0024","[TC-PC02-MO12G] MAKE OVER Perfect Cover TWC 02 Coral 12 g (pc(s))","P","2023-05-16","2023-05-20","MO/230027290"
"TC-PC06-MO12G/I0008","TC-PC06-MO12G/I0008","[TC-PC06-MO12G] MAKE OVER Perfect Cover TWC 06 Cappuccino 12 g (Pc(s))","P","2023-05-15","2023-05-20","MO/230027291"
"TC-PC08-MO12G/I0026","TC-PC08-MO12G/I0026","[TC-PC08-MO12G] MAKE OVER Perfect Cover TWC 08 Honey 12 g (pc(s))","P","2023-05-16","2023-05-20","MO/230027292"
"TC-PC08-MO12G/I0028","TC-PC08-MO12G/I0028","[TC-PC08-MO12G] MAKE OVER Perfect Cover TWC 08 Honey 12 g (pc(s))","P","2023-05-19","2023-05-27","MO/230027295"
"TC-PC08-MO12G/I0029","TC-PC08-MO12G/I0029","[TC-PC08-MO12G] MAKE OVER Perfect Cover TWC 08 Honey 12 g (pc(s))","P","2023-05-19","2023-05-27","MO/230027297"
"TC-RPC04-MO12G/I0024","TC-RPC04-MO12G/I0024","[TC-RPC04-MO12G] MAKE OVER Perfect Cover Refill TWC 04 Desert 12 g (pc(s))","P","2023-05-16","2023-05-20","MO/230027298"
"TC-R2E01-W/I0011","TC-R2E01-W/I0011","[TC-R2E01-W] Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g","P","2023-05-17","2023-05-27","MO/230027299"
"TC-R2E02-W/I0024","TC-R2E02-W/I0024","[TC-R2E02-W] Wardah Exclusive Two Way Cake 02 Light Beige 12 g","P","2023-05-17","2023-05-27","MO/230027300"
"TC-R2E03-W/I0013","TC-R2E03-W/I0013","[TC-R2E03-W] Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g","P","2023-05-16","2023-05-20","MO/230027301"
"TC-R2E03-W/I0014","TC-R2E03-W/I0014","[TC-R2E03-W] Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g","P","2023-05-17","2023-05-27","MO/230027302"
"TC-R2E03-W/I0015","TC-R2E03-W/I0015","[TC-R2E03-W] Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g","P","2023-05-17","2023-05-27","MO/230027303"
"TC-R2E04-W/I0015","TC-R2E04-W/I0015","[TC-R2E04-W] Wardah Exclusive Two Way Cake 04 Natural 12 g","P","2023-05-17","2023-05-27","MO/230027305"
"TC-R3LEC02-W/I0014","TC-R3LEC02-W/I0014","[TC-R3LEC02-W] Wardah Lightening Powder Foundation Extra Cover 02 Golden Beige 10 g","P","2023-05-17","2023-05-27","MO/230027334"
"TC-RR3LEC03-W/I0013","TC-RR3LEC03-W/I0013","[TC-RR3LEC03-W] Wardah Refill Lightening Powder Foundation Extra Cover 03 Sheer Pink 10 g","P","2023-05-17","2023-05-27","MO/230027338"
"TWC-CLFTD-W/I0027","TWC-CLFTD-W/I0027","[TWC-CLFTD-W] Wardah Colorfit Velvet Powder Foundation 32N Neutral Beige 11 g","P","2023-05-17","2023-05-27","MO/230027340"
"TWC-CLFTRA-W/I0015","TWC-CLFTRA-W/I0015","[TWC-CLFTRA-W] Wardah Colorfit Velvet Powder Foundation Refill 11C Pink Fair 11 g","P","2023-05-17","2023-05-27","MO/230027342"
"TWC-CLFTRB-W/I0024","TWC-CLFTRB-W/I0024","[TWC-CLFTRB-W] Wardah Colorfit Velvet Powder Foundation Refill 22N Light Ivory 11 g","P","2023-05-19","2023-05-27","MO/230027343"
"TWC-CLFTRE-W/I0015","TWC-CLFTRE-W/I0015","[TWC-CLFTRE-W] Wardah Colorfit Velvet Powder Foundation Refill 33W Olive Beige 11 g","P","2023-05-17","2023-05-27","MO/230027347"
"TWC-CLFTRG-W/I0011","TWC-CLFTRG-W/I0011","[TWC-CLFTRG-W] Wardah Colorfit Velvet Powder Foundation Refill 42N Neutral Sand 11 g","P","2023-05-17","2023-05-27","MO/230027350"
"TC-R2RE03-W/BSI0011","TC-R2RE03-W/BSI0011","[TC-R2RE03-W] Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","P","2023-05-17","2023-05-19","MO/230027353"
"TC-R2RE03-W/BSI0012","TC-R2RE03-W/BSI0012","[TC-R2RE03-W] Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","P","2023-05-17","2023-05-19","MO/230027354"
"B-NFSDMCP02-EM/I0002","B-NFSDMCP02-EM/I0002","[B-NFSDMCP02-EM] Emina NFS Daily Matte Compact Powder 02 Natural 4 g","P","2023-05-22","2023-05-24","MO/230027366"
"ES-W1A-W3,3GR/I0006","ES-W1A-W3,3GR/I0006","[ES-W1A-W3,3GR] Wardah Eye Shadow A 3,3 gr (pc(s))","P","2023-05-19","2023-05-19","MO/230027374"
"B-PT01-MO35G/I0048","B-PT01-MO35G/I0048","[B-PT01-MO35G] MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s))","P","2023-05-15","2023-05-20","MO/230027393"
"B-PT02-MO35G/I0039","B-PT02-MO35G/I0039","[B-PT02-MO35G] MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s))","P","2023-05-15","2023-05-20","MO/230027394"
"B-PT06-MO35G/I0033","B-PT06-MO35G/I0033","[B-PT06-MO35G] MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g","P","2023-05-17","2023-05-27","MO/230027397"
"B-W3ELFP01-W30G/I0037","B-W3ELFP01-W30G/I0037","[B-W3ELFP01-W30G] Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s))","P","2023-05-15","2023-05-20","MO/230027398"
"B-W3ELFP01-W30G/I0040","B-W3ELFP01-W30G/I0040","[B-W3ELFP01-W30G] Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s))","P","2023-05-19","2023-05-27","MO/230027413"
"B-W3ELFP02-W30G/I0043","B-W3ELFP02-W30G/I0043","[B-W3ELFP02-W30G] Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s))","P","2023-05-17","2023-05-27","MO/230027415"
"B-W3ELFP02-W30G/I0044","B-W3ELFP02-W30G/I0044","[B-W3ELFP02-W30G] Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s))","P","2023-05-17","2023-05-27","MO/230027416"
"B-W3ELFP03-W30G/I0023","B-W3ELFP03-W30G/I0023","[B-W3ELFP03-W30G] Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s))","P","2023-05-16","2023-05-20","MO/230027417"
"B-W3ELFP04-W30G/I0024","B-W3ELFP04-W30G/I0024","[B-W3ELFP04-W30G] Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s))","P","2023-05-16","2023-05-20","MO/230027418"
"B-W3ELFP04-W30G/I0025","B-W3ELFP04-W30G/I0025","[B-W3ELFP04-W30G] Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s))","P","2023-05-17","2023-05-27","MO/230027419"
"A-FP-W20G/I0015","A-FP-W20G/I0015","[A-FP-W20G] Wardah Acnederm Face Powder 20 g (Pc(s))","P","2023-05-16","2023-05-20","MO/230027420"
"B-DMLP01-EM/I0019","B-DMLP01-EM/I0019","[B-DMLP01-EM] Emina Daily Matte Loose Powder 01 Light Beige 20 g","P","2023-05-17","2023-05-27","MO/230027425"
"B-HRFP-MO/I0013","B-HRFP-MO/I0013","[B-HRFP-MO] MAKE OVER Hydrastay Radiant Finishing Powder 8 gr","P","2023-05-16","2023-05-20","MO/230027429"
"B-IPQSP14-W/I0004","B-IPQSP14-W/I0004","[B-IPQSP14-W] Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g","P","2023-05-15","2023-05-20","MO/230027439"
"B-R3L01LB-W/I0041","B-R3L01LB-W/I0041","[B-R3L01LB-W] Wardah Lightening Matte Powder 01 Light Beige 20 g","P","2023-05-17","2023-05-27","MO/230027443"
"B-R3L01LB-W/I0042","B-R3L01LB-W/I0042","[B-R3L01LB-W] Wardah Lightening Matte Powder 01 Light Beige 20 g","P","2023-05-19","2023-05-27","MO/230027446"
"B-R3L02B-W/I0036","B-R3L02B-W/I0036","[B-R3L02B-W] Wardah Lightening Matte Powder 02 Beige 20 g","P","2023-05-17","2023-05-27","MO/230027448"
"B-R3L02B-W/I0037","B-R3L02B-W/I0037","[B-R3L02B-W] Wardah Lightening Matte Powder 02 Beige 20 g","P","2023-05-17","2023-05-27","MO/230027449"
"B-R3L02B-W/I0038","B-R3L02B-W/I0038","[B-R3L02B-W] Wardah Lightening Matte Powder 02 Beige 20 g","P","2023-05-19","2023-05-27","MO/230027451"
"B-R3L03I-W/I0022","B-R3L03I-W/I0022","[B-R3L03I-W] Wardah Lightening Matte Powder 03 Ivory 20 g","P","2023-05-17","2023-05-27","MO/230027454"
"B-R3L03I-W/I0023","B-R3L03I-W/I0023","[B-R3L03I-W] Wardah Lightening Matte Powder 03 Ivory 20 g","P","2023-05-19","2023-05-27","MO/230027455"
"B-R3L04N-W/I0029","B-R3L04N-W/I0029","[B-R3L04N-W] Wardah Lightening Matte Powder 04 Natural 20 g","P","2023-05-17","2023-05-27","MO/230027457"
"B-R3L04N-W/I0030","B-R3L04N-W/I0030","[B-R3L04N-W] Wardah Lightening Matte Powder 04 Natural 20 g","P","2023-05-17","2023-05-27","MO/230027458"
"B-RBMLP04-EM/I0004","B-RBMLP04-EM/I0004","[B-RBMLP04-EM] Emina Bare With Me Mineral Loose Powder 04 Ebony 8 g","P","2023-05-15","2023-05-20","MO/230027459"
"B-RBMLP04-EM/I0005","B-RBMLP04-EM/I0005","[B-RBMLP04-EM] Emina Bare With Me Mineral Loose Powder 04 Ebony 8 g","P","2023-05-16","2023-05-20","MO/230027461"
"B-RBMLP01-EM/I0004","B-RBMLP01-EM/I0004","[B-RBMLP01-EM] Emina Bare With Me Mineral Loose Powder 01 Fair 8 g","P","2023-05-15","2023-05-20","MO/230027462"
"B-RBMLP01-EM/I0005","B-RBMLP01-EM/I0005","[B-RBMLP01-EM] Emina Bare With Me Mineral Loose Powder 01 Fair 8 g","P","2023-05-16","2023-05-20","MO/230027463"
"B-RBMLP02-EM/I0008","B-RBMLP02-EM/I0008","[B-RBMLP02-EM] Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g","P","2023-05-15","2023-05-20","MO/230027464"
"B-RBMLP02-EM/I0009","B-RBMLP02-EM/I0009","[B-RBMLP02-EM] Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g","P","2023-05-16","2023-05-20","MO/230027465"
"B-RBMLP03-EM/I0005","B-RBMLP03-EM/I0005","[B-RBMLP03-EM] Emina Bare With Me Mineral Loose Powder 03 Amber 8 g","P","2023-05-16","2023-05-20","MO/230027468"
"B-RBMLP03-EM/I0006","B-RBMLP03-EM/I0006","[B-RBMLP03-EM] Emina Bare With Me Mineral Loose Powder 03 Amber 8 g","P","2023-05-17","2023-05-27","MO/230027469"
"BP-RHEDP-KA/I0003","BP-RHEDP-KA/I0003","[BP-RHEDP-KA] Kahf Revered Oud Eau de Parfum 100 ml","L","2023-05-16","2023-05-31","MO/230028166"
"MY-LCM15-EM/I0012","MY-LCM15-EM/I0012","[MY-LCM15-EM] Malaysia Emina Creamatte 15 Chocopuff 5.5 gr","S","2023-05-18","2023-05-21","MO/230028068"
"MY-LCM15-EM/I0013","MY-LCM15-EM/I0013","[MY-LCM15-EM] Malaysia Emina Creamatte 15 Chocopuff 5.5 gr","S","2023-05-18","2023-05-21","MO/230028074"
"MY-LCM15-EM/I0014","MY-LCM15-EM/I0014","[MY-LCM15-EM] Malaysia Emina Creamatte 15 Chocopuff 5.5 gr","S","2023-05-18","2023-05-21","MO/230028075"
"BO-CPFTST-TA/I0001","BO-CPFTST-TA/I0001","[BO-CPFTST-TA] Tavi Color Play Face Tint Starburst 9 g","S","2023-05-22","2023-05-22","MO/230028110"
"MY-RMASKEEVE-W/I0006","MY-RMASKEEVE-W/I0006","[MY-RMASKEEVE-W] Malaysia Wardah EyeXpert The Volume Expert Mascara 7 g","J6","2023-05-16","2023-05-17","MO/230028136"
"L-CLADA-W/I0001","L-CLADA-W/I0001","[L-CLADA-W] Wardah Colorfit Last All Day Lip Paint 18 Majestic Marrakesh 4,2 g","S","2023-05-19","2023-05-19","MO/230028331"
"TC-R2RE04-W/I0029","TC-R2RE04-W/I0029","[TC-R2RE04-W] Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","P","2023-05-17","2023-05-27","MO/230028335"
"TC-R2RE04-W/I0030","TC-R2RE04-W/I0030","[TC-R2RE04-W] Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","P","2023-05-17","2023-05-27","MO/230028336"
"TC-R2RE04-W/I0031","TC-R2RE04-W/I0031","[TC-R2RE04-W] Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","P","2023-05-19","2023-05-27","MO/230028337"
"TC-R2RE04-W/I0032","TC-R2RE04-W/I0032","[TC-R2RE04-W] Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","P","2023-05-19","2023-05-27","MO/230028338"
"CONP-ETWCR0-W/PLI0081","CONP-ETWCR0-W/PLI0081","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-22","2023-05-24","MO/230028339"
"CONP-ETWCR0-W/PLI0082","CONP-ETWCR0-W/PLI0082","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-24","2023-05-25","MO/230028340"
"CONP-ETWCR0-W/PLI0083","CONP-ETWCR0-W/PLI0083","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-24","2023-05-26","MO/230028341"
"CONP-ETWCR0-W/PLI0084","CONP-ETWCR0-W/PLI0084","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-25","2023-05-26","MO/230028342"
"CONP-ETWCR0-W/PLI0085","CONP-ETWCR0-W/PLI0085","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-26","2023-05-27","MO/230028343"
"CONP-ETWCR0-W/PLI0086","CONP-ETWCR0-W/PLI0086","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-26","2023-05-28","MO/230028344"
"CONP-ETWCR0-W/PLI0087","CONP-ETWCR0-W/PLI0087","[CONP-ETWCR0-W] Container Printing Exclusive Two Way Cake Wardah,3 Pass Digital Printed","J6","2023-05-28","2023-05-29","MO/230028345"
"BOTP-CADLP13DLR0-W/PLI0010","BOTP-CADLP13DLR0-W/PLI0010","[BOTP-CADLP13DLR0-W] Bottle Printed CAD Lip Paint 13 Dubai Lux W","J6","2023-05-22","2023-05-26","MO/230028346"
"BOTP-CADLP14RLR0-W/PLI0002","BOTP-CADLP14RLR0-W/PLI0002","[BOTP-CADLP14RLR0-W] Bottle Printed CAD Lip Paint 14 Royal London W","J6","2023-05-26","2023-05-27","MO/230028347"
"BOTP-CADLP16KLR0-W/PLI0010","BOTP-CADLP16KLR0-W/PLI0010","[BOTP-CADLP16KLR0-W] Bottle Printed CAD Lip Paint 16 Kuala Lumpur Joy W","J6","2023-05-27","2023-05-28","MO/230028348"
"BOTP-CADLP17TBR0-W/PLI0010","BOTP-CADLP17TBR0-W/PLI0010","[BOTP-CADLP17TBR0-W] Bottle Printed CAD Lip Paint 17 Tokyo Breeze W","J6","2023-05-27","2023-05-29","MO/230028349"
"BOTP-HTNKREV120-P/PLI0007","BOTP-HTNKREV120-P/PLI0007","[BOTP-HTNKREV120-P] Botol Print Hair Tonic Normal Kuning Rev-1 200 ml Putri","J6","2023-05-25","2023-05-26","MO/230028360"
"TC-R3LLF01-W/I0023","TC-R3LLF01-W/I0023","[TC-R3LLF01-W] Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g","P","2023-05-22","2023-05-27","MO/230028368"
"TC-R3LLF02-W/I0050","TC-R3LLF02-W/I0050","[TC-R3LLF02-W] Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","P","2023-05-22","2023-05-27","MO/230028369"
"TC-R3LLF02-W/I0051","TC-R3LLF02-W/I0051","[TC-R3LLF02-W] Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","P","2023-05-23","2023-05-27","MO/230028370"
"TC-R3LLF02-W/I0052","TC-R3LLF02-W/I0052","[TC-R3LLF02-W] Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","P","2023-05-24","2023-05-27","MO/230028371"
"TC-R3LLF03-W/I0023","TC-R3LLF03-W/I0023","[TC-R3LLF03-W] Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","P","2023-05-22","2023-05-27","MO/230028372"
"TC-R3LLF03-W/I0024","TC-R3LLF03-W/I0024","[TC-R3LLF03-W] Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g","P","2023-05-23","2023-05-27","MO/230028373"
"TC-R3LLF04-W/I0030","TC-R3LLF04-W/I0030","[TC-R3LLF04-W] Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-05-23","2023-05-27","MO/230028374"
"TC-R3LLF05-W/I0015","TC-R3LLF05-W/I0015","[TC-R3LLF05-W] Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g","P","2023-05-22","2023-05-27","MO/230028375"
"TC-R3LLF06-W/I0011","TC-R3LLF06-W/I0011","[TC-R3LLF06-W] Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g","P","2023-05-23","2023-05-27","MO/230028376"
"TC-R3LLF06-W/I0012","TC-R3LLF06-W/I0012","[TC-R3LLF06-W] Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g","P","2023-05-24","2023-05-27","MO/230028377"
"TC-RR3LLF01-W/I0024","TC-RR3LLF01-W/I0024","[TC-RR3LLF01-W] Wardah Refill Lightening Powder Foundation Light Feel 01 Light Beige 12 g","P","2023-05-23","2023-05-27","MO/230028378"
"TC-RR3LLF02-W/I0044","TC-RR3LLF02-W/I0044","[TC-RR3LLF02-W] Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","P","2023-05-23","2023-05-27","MO/230028379"
"TC-RR3LLF02-W/I0045","TC-RR3LLF02-W/I0045","[TC-RR3LLF02-W] Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","P","2023-05-24","2023-05-27","MO/230028380"
"TC-RR3LLF04-W/I0028","TC-RR3LLF04-W/I0028","[TC-RR3LLF04-W] Wardah Refill Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-05-22","2023-05-27","MO/230028381"
"TC-RR3LLF04-W/I0029","TC-RR3LLF04-W/I0029","[TC-RR3LLF04-W] Wardah Refill Lightening Powder Foundation Light Feel 04 Natural 12 g","P","2023-05-23","2023-05-27","MO/230028382"
"TC-PMN20-MO/I0015","TC-PMN20-MO/I0015","[TC-PMN20-MO] MAKE OVER Powerstay Matte Powder Foundation N20 Ivory 12 g","P","2023-05-22","2023-05-27","MO/230028384"
"TC-PMN30-MO12G/I0032","TC-PMN30-MO12G/I0032","[TC-PMN30-MO12G] MAKE OVER Powerstay Matte Powder Foundation N30 Natural Beige 12 g","P","2023-05-23","2023-05-27","MO/230028385"
"TC-PMW22-MO12G/I0039","TC-PMW22-MO12G/I0039","[TC-PMW22-MO12G] MAKE OVER Powerstay Matte Powder Foundation W22 Warm Ivory 12 g","P","2023-05-23","2023-05-27","MO/230028386"
