"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Manufacturing Order"
"MY-RLBEVLNGT-W/I0006","MY-RLBEVLNGT-W/I0006","[MY-RLBEVLNGT-W] Malaysia Wardah Everyday Moisture Lip Nutrition Green Tea 4 g","J6","2023-04-19","2023-04-19","MO/230022111"
"MY-BRUSEBS-EM/I0006","MY-BRUSEBS-EM/I0006","[MY-BRUSEBS-EM] Malaysia Emina Brush Set (Set)","J6","2023-04-19","2023-04-19","MO/230022133"
"MY-BOCOCBSP-W/I0005","MY-BOCOCBSP-W/I0005","[MY-BOCOCBSP-W] Malaysia Wardah Colorfit Cream Blush 03 SUMMER PEACH 3 g","J6","2023-04-17","2023-04-18","MO/230022155"
"MY-RELEOHB-W/I0005","MY-RELEOHB-W/I0005","[MY-RELEOHB-W] Malaysia Wardah EyeXpert Optimum Hi-Black Liner 1 g","J6","2023-04-28","2023-04-28","MO/230022205"
"MY-FMCMB-EM/I0002","MY-FMCMB-EM/I0002","[MY-FMCMB-EM] Malaysia Emina Clay Mask Brightening 60 ml","J6","2023-04-26","2023-04-26","MO/230022219"
"MY-ELHBS-MO/I0003","MY-ELHBS-MO/I0003","[MY-ELHBS-MO] Malaysia MAKE OVER Hyperblack Superstay Liner 1 g","J6","2023-04-28","2023-05-02","MO/230022229"
"P-HUXG-KA/I0001","P-HUXG-KA/I0001","[P-HUXG-KA] Kahf Umrah and Hajj Package X Garuda","J6","2023-04-27","2023-04-28","MO/230022231"
"MY-CUSPDMCW33-MO/I0003","MY-CUSPDMCW33-MO/I0003","[MY-CUSPDMCW33-MO] Malaysia MAKE OVER Powerstay Demi-Matte Cover Cushion W33 Honey Beige 15 g","J6","2023-04-28","2023-04-28","MO/230022249"
"MY-CUSPDMCW30-MO/I0004","MY-CUSPDMCW30-MO/I0004","[MY-CUSPDMCW30-MO] Malaysia MAKE OVER Powerstay Demi-Matte Cover Cushion W30 Creme Beige 15 g","J6","2023-04-28","2023-04-28","MO/230022250"
"MY-CUSPDMCW21-MO/I0003","MY-CUSPDMCW21-MO/I0003","[MY-CUSPDMCW21-MO] Malaysia MAKE OVER Powerstay Demi-Matte Cover Cushion W21 Coral Ivory 15 g","J6","2023-04-28","2023-04-28","MO/230022251"
"MY-CUSPDMCW50-MO/I0003","MY-CUSPDMCW50-MO/I0003","[MY-CUSPDMCW50-MO] Malaysia MAKE OVER Powerstay Demi-Matte Cover Cushion W50 Creme Tan 15 g","J6","2023-04-28","2023-04-28","MO/230022252"
"L-CHC12-MO/I0010","L-CHC12-MO/I0010","[L-CHC12-MO] MAKE OVER Color Hypnose Creamy Lipmatte 12 Magnet 4.3 g","S","2023-04-29","2023-04-30","MO/230022273"
"TWC-CLFTA-W/I0019","TWC-CLFTA-W/I0019","[TWC-CLFTA-W] Wardah Colorfit Velvet Powder Foundation 11C Pink Fair 11 g","P","2023-04-28","2023-04-29","MO/230022439"
"TC-W3ELB2-W12G/I0010","TC-W3ELB2-W12G/I0010","[TC-W3ELB2-W12G] Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s))","P","2023-05-02","2023-05-03","MO/230022454"
"DUSS-PMFW22R0-MO/I0030","DUSS-PMFW22R0-MO/I0030","[DUSS-PMFW22R0-MO] Dus Sticker Powerstay Matte Powder Foundation W22 MO","P","2023-04-26","2023-04-29","MO/230022483"
"DUSS-PMFW33R0-MO/I0027","DUSS-PMFW33R0-MO/I0027","[DUSS-PMFW33R0-MO] Dus Sticker Powerstay Matte Powder Foundation W33 MO","P","2023-04-26","2023-04-29","MO/230022487"
"ES-PRPBS-EM3.3GR/I0002","ES-PRPBS-EM3.3GR/I0002","[ES-PRPBS-EM3.3GR] Emina Pop Rouge Pressed Eye Shadow Blue 3.3 gr (Pc(s))","P","2023-05-02","2023-05-03","MO/230022606"
"ES-PRPCB-EM3.3GR/I0003","ES-PRPCB-EM3.3GR/I0003","[ES-PRPCB-EM3.3GR] Emina Pop Rouge Pressed Eye Shadow Colorful 3.3 gr (Pc(s))","P","2023-05-02","2023-05-03","MO/230022613"
"CM-LCC-W/I0026","CM-LCC-W/I0026","[CM-LCC-W] Wardah Lightening Cleansing Milk 100 ml","L","2023-04-27","2023-05-12","MO/230022826"
"SS-SBAT30-EM/I0101","SS-SBAT30-EM/I0101","[SS-SBAT30-EM] Emina Sun Battle SPF 30 PA+++ 60 ml","L","2023-04-27","2023-05-12","MO/230022917"
"CUS-CLPGCRD-W/I0003","CUS-CLPGCRD-W/I0003","[CUS-CLPGCRD-W] Wardah Refill Colorfit Perfect Glow Cushion 32N Neutral Beige","L","2023-04-28","2023-04-29","MO/230022977"
"LW-W3S-W150ML/I0003","LW-W3S-W150ML/I0003","[LW-W3S-W150ML] Wardah Soft Body Scrub With Strawberry 150 ml (Pc(s))","L","2023-04-18","2023-04-29","MO/230023006"
"CON-CPADC01-W/I0002","CON-CPADC01-W/I0002","[CON-CPADC01-W] CRYSTALLURE Precious All Day Corrective Concealer 11 LIGHT 1.9 ml","S","2023-05-05","2023-05-07","MO/230023319"
"L-HSLWB-MO/I0008","L-HSLWB-MO/I0008","[L-HSLWB-MO] Make Over Hydrastay Smooth Lip Whip C02 Ballad 6.5 g","S","2023-05-05","2023-05-07","MO/230023321"
"L-HSLWJ-MO/I0017","L-HSLWJ-MO/I0017","[L-HSLWJ-MO] Make Over Hydrastay Smooth Lip Whip C10 Vow 6.5 g","S","2023-05-05","2023-05-07","MO/230023327"
"L-REMA18-W/I0011","L-REMA18-W/I0011","[L-REMA18-W] Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g","S","2023-05-05","2023-05-07","MO/230023333"
"MY-RELEOHB-W/I0006","MY-RELEOHB-W/I0006","[MY-RELEOHB-W] Malaysia Wardah EyeXpert Optimum Hi-Black Liner 1 g","J6","2023-05-05","2023-05-08","MO/230023433"
"MY-RLBEVLNGT-W/I0007","MY-RLBEVLNGT-W/I0007","[MY-RLBEVLNGT-W] Malaysia Wardah Everyday Moisture Lip Nutrition Green Tea 4 g","J6","2023-05-03","2023-05-04","MO/230023436"
"MY-RLCVM05-W/I0009","MY-RLCVM05-W/I0009","[MY-RLCVM05-W] Malaysia Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g","J6","2023-05-05","2023-05-08","MO/230023445"
"MY-CUSDM05-EM/I0001","MY-CUSDM05-EM/I0001","[MY-CUSDM05-EM] Malaysia Emina Daily Matte Cushion W03 Caramel 15 g","J6","2023-05-03","2023-05-04","MO/230023536"
"P-HJCP2XG-W/I0001","P-HJCP2XG-W/I0001","[P-HJCP2XG-W] Wardah Umrah & Hajj Package X Garuda Indonesia","J6","2023-05-03","2023-05-04","MO/230023543"
"TC-PMW50-MO/I0003","TC-PMW50-MO/I0003","[TC-PMW50-MO] MAKE OVER Powerstay Matte Powder Foundation W50 Creme Tan 12 g","P","2023-05-04","2023-05-06","MO/230023564"
"DUSS-PMFW50R0-MO/I0003","DUSS-PMFW50R0-MO/I0003","[DUSS-PMFW50R0-MO] Dus Sticker Powerstay Matte Powder Foundation W50 MO","P","2023-05-02","2023-05-06","MO/230023642"
"B-DMLP02-EM/I0020","B-DMLP02-EM/I0020","[B-DMLP02-EM] Emina Daily Matte Loose Powder 02 Natural Beige 20 g","P","2023-05-02","2023-05-06","MO/230023692"
"MY-BIPQSP15-W/I0005","MY-BIPQSP15-W/I0005","[MY-BIPQSP15-W] Malaysia Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g","J6","2023-04-28","2023-04-28","MO/230023923"
"FW-PCSAC-KA/I0217","FW-PCSAC-KA/I0217","[FW-PCSAC-KA] Kahf Oil and Acne Care Face Wash 100 ml","L","2023-05-03","2023-05-19","MO/230023983"
"BP-SPRBM-W100ML/I0007","BP-SPRBM-W100ML/I0007","[BP-SPRBM-W100ML] Wardah Scentsation Purity Body Mist 100 ml (Pc(s))","L","2023-05-05","2023-05-05","MO/230024046"
"S-R2A1SEC-W/I0002","S-R2A1SEC-W/I0002","[S-R2A1SEC-W] Wardah Anti Dandruff Shampoo 170 ml (Improvement)","L","2023-05-05","2023-05-05","MO/230024070"
"P-HJCP2XG-W/I0002","P-HJCP2XG-W/I0002","[P-HJCP2XG-W] Wardah Umrah & Hajj Package X Garuda Indonesia","L","2023-05-03","2023-05-04","MO/230024164"
