"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"ES-PRPCB-EM3.3GR/I0001","ES-PRPCB-EM3.3GR/I0001/03/01","[ES-W0I02RNFS1,3-W] Eye Shadow W0 I 02 Refill Not for Sale 1,33gr WNL Wardah (Pc(s))","P","2023-02-03","2023-02-07","PTI: Jatake 1 - Press","MO/230004759","Confirmed","B","Pc(s)"
"ES-ECL-W3,3GR/I0003","ES-ECL-W3,3GR/I0003","[ES-ECL-W3,3GR] Wardah EyeXpert Eyeshadow Classic 3,3 gr","P","2023-02-02","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004701","Confirmed","B","Pc(s)"
"ES-CLPNB-W/I0002","ES-CLPNB-W/I0002","[ES-CLPNB-W] Wardah COLORFIT QUAD EYE PALETTE 01 BRUNETTE DAWN 6 g","P","2023-02-03","2023-02-07","PTI: Jatake 1 - Kemas","MO/230004702","Confirmed","B","Pc(s)"
"ES-CLPNB-W/I0002","MO-ES-CLPNB-01-BULK/I0002","[ES-CLPNB-01-BULK] Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 01","P","2023-02-01","2023-02-07","PTI: Jatake 1 - Olah","MO/230005231","Confirmed","B","kg"
"ES-CLPNB-W/I0002","ES-CLPNB-W/I0002/01/01","[ES-CLPNB-01-RP-W1,8GR] Refill Press Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 01","P","2023-02-02","2023-02-07","PTI: Jatake 1 - Press","MO/230004763","Confirmed","B","Pc(s)"
"ES-CLPNB-W/I0002","MO-ES-CLPNB-02-BULK/I0002","[ES-CLPNB-02-BULK] Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 02","P","2023-02-01","2023-02-07","PTI: Jatake 1 - Olah","MO/230005230","Confirmed","B","kg"
"ES-CLPNB-W/I0002","ES-CLPNB-W/I0002/02/01","[ES-CLPNB-02-RP-W1,8GR] Refill Press Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 02","P","2023-02-02","2023-02-07","PTI: Jatake 1 - Press","MO/230004764","Confirmed","B","Pc(s)"
"ES-CLPNB-W/I0002","MO-ES-CLPNB-03-BULK/I0002","[ES-CLPNB-03-BULK] Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 03","P","2023-02-02","2023-02-07","PTI: Jatake 1 - Olah","MO/230005338","Confirmed","B","kg"
"ES-CLPNB-W/I0002","ES-CLPNB-W/I0002/03/01","[ES-CLPNB-03-RP-W1,8GR] Refill Press Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 03","P","2023-02-03","2023-02-07","PTI: Jatake 1 - Press","MO/230004765","Confirmed","B","Pc(s)"
"ES-CLPNB-W/I0002","MO-ES-CLPNB-04-BULK/I0002","[ES-CLPNB-04-BULK] Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 04","P","2023-02-01","2023-02-07","PTI: Jatake 1 - Olah","MO/230005236","Confirmed","B","kg"
"ES-CLPNB-W/I0002","ES-CLPNB-W/I0002/04/01","[ES-CLPNB-04-RP-W1,8GR] Refill Press Wardah Colorfit Quad Eye Palette 01 Brunette Dawn 04","P","2023-02-03","2023-02-07","PTI: Jatake 1 - Press","MO/230004766","Confirmed","B","Pc(s)"
"ES-CLPPB-W/I0002","ES-CLPPB-W/I0002","[ES-CLPPB-W] Wardah COLORFIT QUAD EYE PALETTE 02 ROSÉ AURORA 6 g","P","2023-02-02","2023-02-03","PTI: Jatake 1 - Kemas","MO/230004703","Confirmed","B","Pc(s)"
"ES-CLPPB-W/I0002","ES-CLPPB-W/I0002/04/01","[ES-CLPPB-04-RP-W1,8GR] Refill Press Wardah Colorfit Quad Eye Palette 02 Rosé Aurora 04","P","2023-02-02","2023-02-03","PTI: Jatake 1 - Press","MO/230004770","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","ES-EP01-W/I0003","[ES-EP01-W] Wardah Exclusive Eyeshadow Palette 01 Sunset Brown 10 g","P","2023-02-07","2023-02-09","PTI: Jatake 1 - Kemas","MO/230004704","Confirmed","B","Pc(s)"
"ES-EP01-W/I0003","MO-ES-EP01-W-01-BULK/I0003","[ES-EP01-W-01-BULK] Exclusive Eye Shadow Palette 01 Sunset Brown 01","P","2023-02-02","2023-02-09","PTI: Jatake 1 - Olah","MO/230005337","Confirmed","B","kg"
"ES-EP01-W/I0003","ES-EP01-W/I0003/01/01","[ES-EP01-W-01-RP-W1GR] Refill Press Exclusive Eye Shadow Palette 01 Sunset Brown 01","P","2023-02-03","2023-02-09","PTI: Jatake 1 - Press","MO/230004771","Confirmed","B","Pc(s)"
