"Reference","Source Location","Destination Location","Contact","Scheduled Date","Source Document","Status","Activity Exception Decoration"
"INT/210232893","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-12 00:00:00","MO/210038225","Ready",""
"INT/210238866","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-19 00:00:00","MO/210038887","Ready","Alert"
"INT/210237873","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-16 00:00:00","MO/210038920","Ready",""
"INT/210237888","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-16 00:00:00","MO/210038924","Ready",""
"INT/210230698","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-14 00:00:00","MO/210038946","Ready","Alert"
"INT/210239442","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-18 00:00:00","MO/210039041","Ready",""
"INT/210237157","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-18 00:00:00","MO/210039056","Ready","Alert"
"INT/210236308","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-16 00:00:00","MO/210039063","Ready","Alert"
"INT/210236541","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-16 00:00:00","MO/210039067","Ready","Alert"
"INT/210248927","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-23 00:00:00","MO/210039084","Ready",""
"INT/210245234","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-23 00:00:00","MO/210039104","Ready","Alert"
"INT/210242275","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-23 00:00:00","MO/210039111","Ready","Alert"
"INT/210238823","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-19 00:00:00","MO/210039237","Waiting","Alert"
"INT/210239888","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-19 00:00:00","MO/210039778","Ready","Alert"
"INT/210250114","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-28 00:00:00","MO/210039955","Ready","Alert"
"INT/210244696","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-23 00:00:00","MO/210040127","Ready","Alert"
"INT/210256868","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-11-03 00:00:00","MO/210040786","Ready","Alert"
"INT/210250333","JTK 2/Stock/RM","JTK 2/Staging Olah","","2021-10-28 00:00:00","MO/210040849","Ready","Alert"
