"Reference","Source Location","Destination Location","Contact","Scheduled Date","Source Document","Status","Activity Exception Decoration"
"INT/230021317","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001200","Ready",""
"INT/230019191","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001204","Ready",""
"INT/230019281","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001208","Ready",""
"INT/230020483","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001210","Ready",""
"INT/230019375","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001212","Ready",""
"INT/230021999","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-10 00:00:00","MO/230001219","Ready",""
"INT/230022717","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001223","Ready",""
"INT/230021490","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001222","Ready",""
"INT/230021514","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001230","Ready",""
"INT/230021234","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001231","Ready",""
"INT/230021447","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001232","Ready",""
"INT/230022294","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001233","Ready",""
"INT/230021480","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001234","Ready",""
"INT/230024200","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-12 00:00:00","MO/230001238","Ready",""
"INT/230024208","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-12 00:00:00","MO/230001239","Ready",""
"INT/230026127","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230001242","Ready",""
"INT/230014534","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-09 00:00:00","MO/230001264","Ready",""
"INT/230015513","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-09 00:00:00","MO/230001265","Ready",""
"INT/230021227","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-11 00:00:00","MO/230001319","Ready",""
"INT/230022269","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-12 00:00:00","MO/230001450","Ready",""
"INT/230026994","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002173","Ready",""
"INT/230027227","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002218","Ready",""
"INT/230026965","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002367","Ready",""
"INT/230027083","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002371","Ready",""
"INT/230025406","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002372","Ready",""
"INT/230030482","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002380","Ready",""
"INT/230026960","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002381","Ready",""
"INT/230029203","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002382","Ready",""
"INT/230028944","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002385","Ready",""
"INT/230030110","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002391","Ready",""
"INT/230034359","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002396","Ready",""
"INT/230035501","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002405","Ready",""
"INT/230030480","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002404","Ready",""
"INT/230030172","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002417","Ready",""
"INT/230027114","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002457","Ready",""
"INT/230034203","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-16 00:00:00","MO/230002463","Ready",""
"INT/230027962","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-14 00:00:00","MO/230002464","Ready",""
"INT/230032906","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230002489","Ready",""
"INT/230032104","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230002490","Ready",""
"INT/230032142","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230002502","Ready",""
"INT/230034391","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-18 00:00:00","MO/230002506","Ready",""
"INT/230037333","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-18 00:00:00","MO/230002509","Ready",""
"INT/230036999","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-18 00:00:00","MO/230002508","Ready",""
"INT/230035637","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-19 00:00:00","MO/230002516","Ready",""
"INT/230034344","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-19 00:00:00","MO/230002518","Ready",""
"INT/230028994","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230003226","Ready",""
"INT/230029984","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230003229","Ready",""
"INT/230029007","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230003232","Ready",""
"INT/230032025","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-17 00:00:00","MO/230003233","Ready",""
"INT/230032081","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-18 00:00:00","MO/230003235","Ready",""
"INT/230037000","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-18 00:00:00","MO/230003260","Ready",""
"INT/230036980","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-19 00:00:00","MO/230003272","Ready",""
"INT/230033653","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-19 00:00:00","MO/230003302","Ready",""
"INT/230036393","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003305","Ready",""
"INT/230036400","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003320","Ready",""
"INT/230034645","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003321","Ready",""
"INT/230036406","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003323","Ready",""
"INT/230036396","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003327","Ready",""
"INT/230036394","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003328","Ready",""
"INT/230036397","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-20 00:00:00","MO/230003329","Ready",""
"INT/230036450","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003332","Ready",""
"INT/230036439","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003334","Ready",""
"INT/230036454","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003338","Ready",""
"INT/230030027","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003435","Ready",""
"INT/230030028","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-18 00:00:00","MO/230003437","Ready",""
"INT/230036455","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003439","Ready",""
"INT/230036456","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003552","Ready",""
"INT/230037351","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003588","Ready",""
"INT/230037127","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003597","Ready",""
"INT/230037090","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003600","Ready",""
"INT/230038763","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-24 00:00:00","MO/230003673","Ready",""
"INT/230038702","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-24 00:00:00","MO/230003674","Ready",""
"INT/230036407","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003734","Ready",""
"INT/230036435","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003736","Ready",""
"INT/230037330","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003737","Ready",""
"INT/230036420","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003739","Ready",""
"INT/230036432","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003741","Ready",""
"INT/230037352","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003742","Ready",""
"INT/230036876","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003744","Ready",""
"INT/230036459","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003746","Ready",""
"INT/230037331","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003748","Ready",""
"INT/230036893","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003750","Ready",""
"INT/230036418","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003751","Ready",""
"INT/230036433","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003752","Ready",""
"INT/230036414","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-21 00:00:00","MO/230003754","Ready",""
"INT/230037889","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003773","Ready",""
"INT/230038490","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003776","Ready",""
"INT/230039482","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003784","Ready",""
"INT/230040826","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003790","Ready",""
"INT/230036956","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003795","Ready",""
"INT/230037874","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003807","Ready",""
"INT/230037186","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003810","Ready",""
"INT/230048910","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003814","Ready",""
"INT/230038123","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-23 00:00:00","MO/230003833","Ready",""
"INT/230041019","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-24 00:00:00","MO/230003906","Ready",""
"INT/230042652","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-24 00:00:00","MO/230003907","Waiting",""
"INT/230040856","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-24 00:00:00","MO/230003913","Ready",""
"INT/230040663","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230003975","Ready",""
"INT/230039661","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230003979","Ready",""
"INT/230040664","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230003981","Ready",""
"INT/230039710","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230003982","Ready",""
"INT/230044517","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-26 00:00:00","MO/230003986","Ready",""
"INT/230042354","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-26 00:00:00","MO/230004000","Ready",""
"INT/230041105","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-26 00:00:00","MO/230004001","Ready",""
"INT/230044039","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-26 00:00:00","MO/230004007","Ready",""
"INT/230042336","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-26 00:00:00","MO/230004009","Ready",""
"INT/230046488","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-27 00:00:00","MO/230004028","Ready",""
"INT/230044224","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-27 00:00:00","MO/230004035","Ready",""
"INT/230045642","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-27 00:00:00","MO/230004036","Ready",""
"INT/230042624","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-24 00:00:00","MO/230004102","Ready",""
"INT/230042682","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230004117","Ready",""
"INT/230104684","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004124","Ready",""
"INT/230048032","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004125","Ready",""
"INT/230045417","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-27 00:00:00","MO/230004130","Ready",""
"INT/230038528","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230004147","Ready",""
"INT/230039801","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-25 00:00:00","MO/230004148","Ready",""
"INT/230041365","JTK 2/Stock/RM","JTK 2/Staging Olah","","2022-11-16 00:00:00","MO/230004193","Ready",""
"INT/230041379","JTK 2/Stock/RM","JTK 2/Staging Olah","","2022-09-12 00:00:00","MO/230004198","Ready",""
"INT/230048102","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004349","Ready",""
"INT/230047003","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004350","Ready",""
"INT/230046916","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004352","Ready",""
"INT/230046756","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004351","Waiting",""
"INT/230046471","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004353","Ready",""
"INT/230049585","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004354","Ready",""
"INT/230050128","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004355","Ready",""
"INT/230048615","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004357","Ready",""
"INT/230050127","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004359","Ready",""
"INT/230050288","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004361","Ready",""
"INT/230067570","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004362","Ready",""
"INT/230047934","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004364","Ready",""
"INT/230047942","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004366","Ready",""
"INT/230046807","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004369","Ready",""
"INT/230048322","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004371","Ready",""
"INT/230047945","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004372","Ready",""
"INT/230046743","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004370","Ready",""
"INT/230049602","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230004373","Ready",""
"INT/230049642","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004381","Ready",""
"INT/230051458","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004395","Ready",""
"INT/230042602","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004396","Ready",""
"INT/230052693","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004398","Ready",""
"INT/230061988","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004402","Ready",""
"INT/230052771","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004401","Ready",""
"INT/230052694","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004407","Ready",""
"INT/230073220","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004410","Ready",""
"INT/230058044","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004422","Ready",""
"INT/230093238","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230004425","Ready",""
"INT/230057901","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230004435","Ready",""
"INT/230058031","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230004443","Ready",""
"INT/230058042","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230004444","Ready",""
"INT/230058038","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230004452","Ready",""
"INT/230046617","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230005027","Ready",""
"INT/230047951","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230005030","Ready",""
"INT/230050871","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230005031","Ready",""
"INT/230047393","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230005037","Ready",""
"INT/230052448","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-01-31 00:00:00","MO/230005096","Ready",""
"INT/230046782","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-28 00:00:00","MO/230005202","Ready",""
"INT/230052816","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230005206","Ready",""
"INT/230050253","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230005213","Ready",""
"INT/230058237","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005231","Ready",""
"INT/230052951","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005233","Ready",""
"INT/230051448","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-30 00:00:00","MO/230005240","Ready",""
"INT/230054225","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005242","Ready",""
"INT/230051917","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005298","Ready",""
"INT/230052734","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005307","Ready",""
"INT/230051167","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005314","Ready",""
"INT/230051187","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005317","Ready",""
"INT/230081954","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005321","Ready",""
"INT/230055822","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005335","Ready",""
"INT/230056076","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005337","Ready",""
"INT/230055954","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005341","Ready",""
"INT/230059007","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005351","Ready",""
"INT/230060487","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005355","Ready",""
"INT/230057992","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005357","Ready",""
"INT/230060594","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005359","Ready",""
"INT/230059145","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005362","Ready",""
"INT/230057996","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005363","Ready",""
"INT/230059224","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005379","Ready",""
"INT/230058018","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005380","Ready",""
"INT/230058939","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005383","Ready",""
"INT/230057906","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005384","Ready",""
"INT/230061987","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005385","Ready",""
"INT/230060432","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005527","Ready",""
"INT/230054371","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005568","Ready",""
"INT/230054354","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005579","Ready",""
"INT/230052830","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005587","Ready",""
"INT/230054066","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005596","Ready",""
"INT/230090967","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005628","Ready",""
"INT/230072513","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005639","Ready",""
"INT/230056476","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005641","Ready",""
"INT/230054980","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005642","Ready",""
"INT/230093139","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005644","Ready",""
"INT/230087952","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005651","Ready",""
"INT/230068092","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005652","Ready",""
"INT/230062886","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005655","Ready",""
"INT/230062668","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-01 00:00:00","MO/230005656","Ready",""
"INT/230052805","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005664","Ready",""
"INT/230056282","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005666","Ready",""
"INT/230062768","JTK 2/Stock/RM","JTK 2/Staging Olah","","2023-01-16 00:00:00","MO/230005689","Ready",""
"INT/230054976","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-02 00:00:00","MO/230005705","Ready",""
"INT/230060812","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-03 00:00:00","MO/230005775","Ready",""
"INT/230063898","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-01-31 00:00:00","MO/230005779","Ready",""
"INT/230060651","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005938","Waiting",""
"INT/230060706","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005943","Ready",""
"INT/230064063","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005948","Ready",""
"INT/230063889","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005956","Ready",""
"INT/230065992","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005960","Ready",""
"INT/230063836","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005961","Ready",""
"INT/230061498","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005969","Ready",""
"INT/230065076","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005970","Ready",""
"INT/230063862","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005971","Ready",""
"INT/230064085","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230005974","Ready",""
"INT/230066050","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230005982","Ready",""
"INT/230064005","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230005992","Ready",""
"INT/230097162","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006002","Ready",""
"INT/230085150","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006005","Ready",""
"INT/230080022","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006012","Ready",""
"INT/230098118","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006028","Ready",""
"INT/230092031","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006032","Ready",""
"INT/230073236","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006035","Ready",""
"INT/230063884","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006041","Waiting",""
"INT/230066196","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006054","Ready",""
"INT/230064783","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006058","Ready",""
"INT/230070978","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230006265","Ready",""
"INT/230070778","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230006267","Ready",""
"INT/230070914","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-07 00:00:00","MO/230006277","Ready",""
"INT/230061975","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230006729","Ready",""
"INT/230061971","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-04 00:00:00","MO/230006733","Ready",""
"INT/230063945","JTK 1/Stock/RM","JTK 1/Staging Olah","","2023-02-06 00:00:00","MO/230006777","Ready",""
