"id","name","origin","state"
"__export__.stock_picking_52572_aa27debb","VCI/32351020030956","VCI#MO/230000913","Ready"
"__export__.stock_picking_52573_b0045c0f","VCI/32351020030957","VCI#MO/230000914","Ready"
"__export__.stock_picking_52574_5df22a0a","VCI/32351020030958","VCI#MO/230000915","Ready"
"__export__.stock_picking_52575_767f68a1","VCI/32351020030959","VCI#MO/230000916","Ready"
"__export__.stock_picking_52576_bdb905ab","VCI/32351020030960","VCI#MO/230000917","Ready"
"__export__.stock_picking_52577_73e4c5c0","VCI/32351020030961","VCI#MO/230000918","Ready"
"__export__.stock_picking_52578_bf6295f6","VCI/32351020030962","VCI#MO/230000919","Ready"
"__export__.stock_picking_52580_741901df","VCI/32351020030964","VCI#MO/230000920","Ready"
"__export__.stock_picking_52581_ea08161f","VCI/32351020030965","VCI#MO/230000921","Ready"
"__export__.stock_picking_52582_ba1a4cf0","VCI/32351020030966","VCI#MO/230000922","Ready"
"__export__.stock_picking_52583_402f0ea2","VCI/32351020030967","VCI#MO/230000923","Ready"
"__export__.stock_picking_52584_a9f11b46","VCI/32351020030968","VCI#MO/230000924","Ready"
"__export__.stock_picking_52585_eaa489b1","VCI/32351020030969","VCI#MO/230000925","Ready"
"__export__.stock_picking_52586_dbc58afc","VCI/32351020030970","VCI#MO/230000926","Ready"
"__export__.stock_picking_52587_00317182","VCI/32351020030971","VCI#MO/230000928","Ready"
"__export__.stock_picking_52588_ab8e590b","VCI/32351020030972","VCI#MO/230000927","Ready"
"__export__.stock_picking_52589_ac1abd2c","VCI/32351020030973","VCI#MO/230000929","Ready"
"__export__.stock_picking_52590_d2308856","VCI/32351020030974","VCI#MO/230000931","Ready"
"__export__.stock_picking_52591_971e4a3f","VCI/32351020030975","VCI#MO/230000930","Ready"
"__export__.stock_picking_52944_6558c5d6","VCI/32351020031256","VCI#MO/230000802","Waiting"
"__export__.stock_picking_53460_173f075e","VCI/32351020031591","VCI#MO/220000749","Ready"
"__export__.stock_picking_53461_b64116b1","VCI/32351020031592","VCI#MO/220000767","Ready"
"__export__.stock_picking_53464_9f7fe82c","VCI/32351020031594","VCI#MO/220000402","Ready"
"__export__.stock_picking_53622_e2c1d47d","VCI/32351020031682","VCI#MO/210000052","Ready"
