"Korporat Code","Name","Net Weight"
"HBW-BWN4A-BD","Biodef Natural Protection Mint + Sea Salt Body Wash Jerrycan 5 L","0.0"
"HBW-BWN1D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml","280.5"
"HBW-BWN5D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 550 ml","577.5"
"HBW-BWN2D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml","400.0"
"HBW-BWN6D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 800 ml","840.0"
"HBW-BWN4D-BD","Biodef Natural Protection Mint + Yuzu Body Wash Jerrycan 5 L","5250.0"
"HBW-HWN2B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Botol 250 ml","250.0"
"HBW-HWN1B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Antiseptik Alami Pouch 200 ml","207.6"
"HBW-HWN3B-BD","Biodef Natural Protection Mint + Yuzu Hand Wash Jerrycan 5 L","5156.0"
"P-RAM1-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 1","0.0"
"P-RAM2-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 2","0.0"
"P-RAM3-BD","Biodef Ramadhan 2023 – Adventurous Mom Package 3","0.0"
"P-RCM1-BD","Biodef Ramadhan 2023 – City Mom Package 1","0.0"
"P-RCM2-BD","Biodef Ramadhan 2023 – City Mom Package 2","0.0"
"P-RCM3-BD","Biodef Ramadhan 2023 – City Mom Package 3","0.0"
"P-RCM4-BD","Biodef Ramadhan 2023 – City Mom Package 4","0.0"
"P-RHLM1-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 1","0.0"
"P-RHLM2-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 2","0.0"
"P-RHLM3-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 3","0.0"
"P-RHLM4-BD","Biodef Ramadhan 2023 – Home Loving Mom Package 4","0.0"
"P-BA-L","Birthday Package A","0.0"
"BCR-NMBMS-WBH","Body Massage with Scrub (NM)","0.0"
"BCR-NMBS-WBH","Body Spa (NM)","0.0"
"BUKU-BYS2126-MO","Buku Because You`re Special,21x26cm,C:AC260 4/4 Glossy1/0 Embos,I:AP100 4/4,124hal,LemPanas,Shrink","1.0"
"P-PBA-MO","Bundling Package Perfect","0.0"
"P-NFSASRMPFC-W","Bundling Wardah Acnederm Pure Foaming Cleanser 60 ml dengan Wardah NFS Acnederm Acne Care Serum 2 ml","0.0"
"MUP-NMCB-WBH","Creambath (NM)","0.0"
"P-CLBOISC-W","Crystallure Box of Indulgence - Skincare Travel Size","0.0"
"P-CLD-P","Crystallure Day Package","0.0"
"FT-CHGN2P-W","Crystallure Dual Refining Treatment Solution 10 ml","0.0"
"FT-CHG-W","Crystallure Dual Refining Treatment Solution 120 ml","120.0"
"FT-RCHG-W","Crystallure Dual Refining Treatment Solution 120 ml Revamp","0.0"
"P-CLER-W","Crystallure Essential Regime Set","0.0"
"P-CESR-W","Crystallure Essential Skincare Routine","1.0"
"P-CLFR-W","Crystallure Full Regime Set","0.0"
"FW-CFW-W","Crystallure Moisture Rich Cleansing Foam 100 ml","105.0"
"FW-RCFW-W","Crystallure Moisture Rich Cleansing Foam 100 ml Revamp","0.0"
"FW-CFWN2P-W","Crystallure Moisture Rich Cleansing Foam 15 ml","0.0"
"P-CLM-W","Crystallure Moisturizer Package","0.0"
"P-CLNR-W","Crystallure Night Regime Set","0.0"
"SRM-CAB-W","Crystallure Supreme Activating Booster Essence 30 ml","30.756"
"SRM-RCAB-W","Crystallure Supreme Activating Booster Essence 30 ml Revamp","0.0"
"M-CSAOC-W","Crystallure Supreme Activating Overnight Cream 50 g","50.0"
"M-RCSAOC-W","Crystallure Supreme Activating Overnight Cream 50 g Revamp","50.0"
"SRM-RCSAE-W","Crystallure Supreme Advanced Eye Serum 15 ml Revamp","0.0"
"REM-RCDAMG-W","Crystallure Supreme Double Action Micellar Gel 150 ml Revamp","150.0"
"SRM-CSRO-W","Crystallure Supreme Revitalizing Oil Serum 30 ml","30.0"
"SRM-RCSRO-W","Crystallure Supreme Revitalizing Oil Serum 30 ml Revamp","0.0"
"M-RCSRRC-W","Crystallure Supreme Revitalizing Rich Cream 50 g Revamp","50.0"
"P-DMU1-W","Define Your Make Up","0.0"
"HBW-RETBWCN2-W","EARTH LOVE LIFE Bulgarian Rose & East Nusa Vanilla Body Wash Pouch 400 ml","420.0"
"HBW-RETBWAN2-W","EARTH LOVE LIFE East Balinese Bamboo & Oriental Mint Body Wash Pouch 400 ml","420.0"
"HBW-RETBWBN2-W","EARTH LOVE LIFE Javanese Moringa & Balinese Starfruit Body Wash Pouch 400 ml","420.0"
"HBW-RETBWEN2-W","EARTH LOVE LIFE South Bali Frangipani & Tropical Coconut Water Body Wash Pouch 400 ml","420.0"
"HBW-RETBWDN2-W","EARTH LOVE LIFE Spanish Lavender & Javanese Rice Milk Body Wash Pouch 400 ml","420.0"
"P-ETNYAG-W","EARTH New Year Package A – Green","0.0"
"P-ETNYAP-W","EARTH New Year Package A – Pink","0.0"
"P-ETNYAY-W","EARTH New Year Package A – Yellow","0.0"
"P-ETNYBPRD-W","EARTH New Year Package B - Pink & Hijau","0.0"
"P-ETNYBGRD-W","EARTH New Year Package B - Pink & Purple","0.0"
"P-ETNYBYRD-W","EARTH New Year Package B - Yellow & Green","0.0"
"GWP-ERDP-W","EARTH Reed Diffuser","0.0"
"EL-ELT-EM","EMINA Total Eclipse Pen Liner 1 ml","1.0494"
"P-ELFAP-W","Earth Festive 2023 – Package A Pink","0.0"
"P-ELFAY-W","Earth Festive 2023 – Package A Yellow","0.0"
"P-ELFBG-W","Earth Festive 2023 – Package B Green","0.0"
"P-ELFBP-W","Earth Festive 2023 – Package B Pink","0.0"
"P-ELFBY-W","Earth Festive 2023 – Package B Yellow","0.0"
"RD-ETAP-W","Earth Love Life Awake in Prau Reed Diffuser 50 ml","0.0"
"HBL-ETBMCN2-W","Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Lotion Serum 250 ml","254.5"
"HBW-ETBWC-W","Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Wash 250 ml","262.5"
"HBW-ETBWCN2-W","Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Wash 450 ml","472.5"
"HBL-ETBMAN2-W","Earth Love Life East Balinese Bamboo & Oriental Mint Body Lotion Serum 250 ml","254.5"
"HBW-ETBWA-W","Earth Love Life East Balinese Bamboo & Oriental Mint Body Wash 250 ml","237.5"
"HBW-ETBWAN2-W","Earth Love Life East Balinese Bamboo & Oriental Mint Body Wash 450 ml","472.5"
"RD-ETEP-W","Earth Love Life Energize in Pink Beach Reed Diffuser 50 ml","0.0"
"HBL-ETBMBN2-W","Earth Love Life Javanese Moringa & Balinese Starfruit Body Lotion Serum 250 ml","254.5"
"HBW-ETBWB-W","Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 250 ml","262.5"
"HBW-ETBWBN2-W","Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 450 ml","472.5"
"RD-ETSU-W","Earth Love Life Serene in Ubud Reed Diffuser 50 ml","0.0"
"HBL-ETBMEN2-W","Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Gel Serum 250 ml","275.0"
"HBW-ETBWE-W","Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 250 ml","262.5"
"HBW-ETBWEN2-W","Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 450 ml","472.5"
"HBW-ETBWD-W","Earth Love Life Spanish Lavender & Javanese Rice Milk  Body Wash 250 ml","262.5"
"HBL-ETBMDN2-W","Earth Love Life Spanish Lavender & Javanese Rice Milk Body Lotion Serum 250 m","270.0"
"HBW-ETBWDN2-W","Earth Love Life Spanish Lavender & Javanese Rice Milk Body Wash 450 ml","472.5"
"FM-2IN1S-EM","Emina 2 in 1 Scrub Mask 50 ml","52.415"
"P-3SFTB-EM","Emina 3 Steps Skin Secret Face The Bright (Pc(s))","1.0"
"P-3SHD-EM","Emina 3 Steps Skin Secret Hazel Dazzle (Pc(s))","1.0"
"P-3SKMM-EM","Emina 3 Steps Skin Secret Keep Me Moist (Pc(s))","1.0"
"EB-ABBL-EM1.2GR","Emina Agent of Brow Black 1.2 gr (Pc(s))","1.2"
"EB-ABBR-EM1.2GR","Emina Agent of Brow Brown 1.2 gr (Pc(s))","1.2"
"FMI-AV-EM","Emina Aloe Vera Face Mist 60 ml","60.006"
"HBL-AVG-EM","Emina Aloe Vera Gel 60 ml","60.0"
"HS-AVHGN2-EM","Emina Aloe Vera Hand Gel 50 ml","42.4"
"HS-AVHG-EM","Emina Aloe Vera Hand Gel 60 ml","50.88"
"HS-AVHSN2-EM","Emina Aloe Vera Hand Spray 100 ml","84.8"
"HS-AVHS-EM","Emina Aloe Vera Hand Spray 80 ml","80.0"
"FS-AJ-EM60ML","Emina Apricot Jam Face Scrub 60 ml (Pc(s))","54.186"
"FM-AIS-EM30G","Emina Aqua Infused Sleeping Mask 30 g","30.0"
"FM-AH-EM60ML","Emina Avocado Honey Face Mask 60 ml","60.0"
"BUT-BR-EM100ML","Emina Bananarama Body Ice Cream 100 ml (Pc(s))","0.0"
"B-BMCF1-EM14GR","Emina Bare With Me Mineral Compact Powder 01 Fair 14 gr (Pc(s))","14.0"
"B-BMCLB2-EM14GR","Emina Bare With Me Mineral Compact Powder 02 Light Beige 14 gr (Pc(s))","14.0"
"B-BMCA3-EM14GR","Emina Bare With Me Mineral Compact Powder 03 Amber 14 gr (Pc(s))","14.0"
"B-BMCE4-EM14GR","Emina Bare With Me Mineral Compact Powder 04 Ebony 14 gr (Pc(s))","14.0"
"CUS-BWM01-EM","Emina Bare With Me Mineral Cushion 01 Light 15 g","15.0"
"CUS-BWM02-EM","Emina Bare With Me Mineral Cushion 02 Natural 15 g","15.0"
"CUS-BWM03-EM","Emina Bare With Me Mineral Cushion 03 Caramel 15 g","15.0"
"CUS-BWM04-EM","Emina Bare With Me Mineral Cushion 04 Mocca 15 g","15.0"
"B-RBMLP01-EM","Emina Bare With Me Mineral Loose Powder 01 Fair 8 g","8.0"
"B-BMLPF1-EM8GR","Emina Bare With Me Mineral Loose Powder 01 Fair 8 gr (Pcs))","8.0"
"B-RBMLP02-EM","Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 g","8.0"
"B-BMLPLB2-EM8GR","Emina Bare With Me Mineral Loose Powder 02 Light Beige 8 gr (Pcs))","8.0"
"B-RBMLP03-EM","Emina Bare With Me Mineral Loose Powder 03 Amber 8 g","8.0"
"B-BMLPA3-EM8GR","Emina Bare With Me Mineral Loose Powder 03 Amber 8 gr (Pcs))","8.0"
"B-RBMLP04-EM","Emina Bare With Me Mineral Loose Powder 04 Ebony 8 g","8.0"
"B-BMLPE4-EM8GR","Emina Bare With Me Mineral Loose Powder 04 Ebony 8 gr (Pcs))","8.0"
"F-BWMM01-EM","Emina Bare with Me Mineral Mild Foundation 01 Light 30 ml","31.914"
"F-BWMM02-EM","Emina Bare with Me Mineral Mild Foundation 02 Natural 30 ml","31.914"
"F-BWMM03-EM","Emina Bare with Me Mineral Mild Foundation 03 Caramel 30 ml","31.914"
"F-BWMM04-EM","Emina Bare with Me Mineral Mild Foundation 04 Mocca 30 ml","31.914"
"BBC-BBC-EM20ML","Emina Beauty Bliss BB Cream Caramel 20 ml (Pc(s))","24.484"
"BBC-BBL-EM20ML","Emina Beauty Bliss BB Cream Light 20 ml (Pc(s))","21.784"
"BBC-BBN-EM20ML","Emina Beauty Bliss BB Cream Natural 20 ml (Pc(s))","21.4448"
"BP-BMISN2-EM","Emina Body Mist Indian Summer 10 ml","8.98"
"BP-BMIS-EM80ML","Emina Body Mist Indian Summer 80 ml (Pc(s))","71.84"
"BP-BMSSN2-EM","Emina Body Mist Ocean Mist 10 ml","8.98"
"BP-BMSS-EM80ML","Emina Body Mist Ocean Mist 80 ml (Pc(s))","71.84"
"BP-BMPDN2-EM","Emina Body Mist Pixie Dust 10 ml","8.98"
"BP-BMPD-EM80ML","Emina Body Mist Pixie Dust 80 ml (Pc(s))","71.84"
"BP-BMRFN2-EM","Emina Body Mist Rain Forest 10 ml","8.98"
"BP-BMRF-EM80ML","Emina Body Mist Rain Forest 80 ml (Pc(s))","71.84"
"BSC-KW-EM100ML","Emina Body Scrub Kiwi 100 ml (Pc(s))","107.18"
"BSC-PA-EM100ML","Emina Body Scrub Pineapple 100 ml (Pc(s))","109.77"
"BSC-WM-EM100ML","Emina Body Scrub Watermelon 100 ml (Pc(s))","107.72"
"HBL-KW-EM100ML","Emina Body Sorbet Kiwi 100 ml (Pc(s))","100.0"
"HBL-PA-EM100ML","Emina Body Sorbet Pineapple 100 ml (Pc(s))","100.0"
"HBL-WM-EM100ML","Emina Body Sorbet Watermelon 100 ml (Pc(s))","100.8"
"P-BSB-EM","Emina Bright Stuff Bundling Package","1.0"
"MA-BSE-EM","Emina Bright Stuff Essence Sheet Mask 23 g","23.0"
"FT-BSE-EM","Emina Bright Stuff Exfoliating Toner 100 ml","104.0"
"FS-BSFS-EM","Emina Bright Stuff Face Scrub 50 ml","50.0"
"SRM-BSS-EM","Emina Bright Stuff Face Serum 30 ml","36.0"
"SRM-BSSN2-EM","Emina Bright Stuff Face Serum 7.5 ml","7.5"
"FT-BST-EM","Emina Bright Stuff Face Toner 100 ml","101.51"
"FT-BSTN2-EM","Emina Bright Stuff Face Toner 50 ml","50.755"
"P-BSFTRRP-EM","Emina Bright Stuff Face Toner 50 ml isi 6 pcs","304.53"
"FW-BSN2-EM","Emina Bright Stuff Face Wash 100 ml","95.68"
"FW-BS-EM50ML","Emina Bright Stuff Face Wash 50 ml","47.84"
"P-BSFWRRP-EM","Emina Bright Stuff Face Wash 50 ml isi 6 pcs","287.04"
"B-BSLP-EM","Emina Bright Stuff Loose Powder 55 g","55.0"
"REM-RBSMWN1-EM","Emina Bright Stuff Micellar Water 100 ml","100.73"
"REM-RBSMWN2-EM","Emina Bright Stuff Micellar Water 50 ml","50.365"
"M-BSC-EM","Emina Bright Stuff Moisturizing Cream 20 ml","20.384"
"M-BSNC-EM","Emina Bright Stuff Night Cream 20 g","20.0"
"M-BSTUC-EM","Emina Bright Stuff Tone Up Cream 20 ml","20.0"
"FW-BSW-EM","Emina Bright Stuff Whip Face Wash 50 ml","52.5"
"FW-BSACNE-EM","Emina Bright Stuff for Acne Prone Skin Face Wash 100 ml","103.0"
"FW-BSACNEN2-EM","Emina Bright Stuff for Acne Prone Skin Face Wash 50 ml","51.5"
"M-BSACNE-EM","Emina Bright Stuff for Acne Prone Skin Moisturizing Cream 20 ml","20.616"
"BRUS-EBS-EM","Emina Brush Set (Set)","1.0"
"FM-B7DM-EM","Emina Bundling 7 Days Masquerade Face Mask","1.0"
"P-BSFSBSFW-EM","Emina Bundling Bright Stuff Face Scrub 50 ml + Emina Bright Stuff Face Wash 50 ml","0.0"
"P-BSFSSBAT30-EM","Emina Bundling Bright Stuff Face Scrub 50 ml + Emina Sun Battle SPF 30 PA+++ 60 ml","0.0"
"L-CM16KCC-W","Emina Bundling Creamatte 16 Soda Gembira 5.5 g x Kaos Callie Cotton","5.5"
