FACTORY,ITEM CODE / BESAR BATCH,PROCESS TYPE,ROUTING TYPE,ITEM CODE,REFILL CODE,BULK CODE,ITEM NAME,REFILL NAME,BULK NAME,BULK SIZE PRIORITY,NUMBER OF COMPONENT,FM BULK SIZE (KG),MPQ OLAH (KG),MPQ SUPPLY KUNCI (KG),MPQ KEMAS (PCS),MPQ SUPPLY LOG (PCS),OUTPUT PRESSING (PCS/MIN),OUTPUT LABELLING (PCS/MIN),OUTPUT FILLING (PCS/MIN),OUTPUT FILLING/PACKING (PCS/MIN),LINE CODE WEIGHING,LINE CODE PREMIX,LINE CODE MILLING,LINE CODE MIXING,LINE CODE GRINDING,LINE CODE ADJUST,LINE CODE QC BULK,LINE CODE SIEVING,LINE CODE LABELLING,LINE CODE PRESSING,LINE CODE FILLING,LINE CODE FILLING/PACKING,LEADTIME WEIGHING (MIN),LEADTIME PREMIX (HOUR),LEADTIME MILLING (HOUR),LEADTIME MIXING (HOUR),LEADTIME GRINDING (HOUR),LEADTIME ADJUST (HOUR),LEADTIME QC BULK (HOUR),LEADTIME SIEVING (HOUR),LEADTIME LABELLING (HOUR),LEADTIME PRESSING (HOUR),LEADTIME FILLING (HOUR),LEADTIME FILLING/PACKING (HOUR),LEADTIME QC FG (HOUR),LEADTIME KARANTINA (HOUR),TOTAL LEADTIME (DAYS),JUMLAH OPERATOR WEIGHING,JUMLAH OPERATOR PREMIX,JUMLAH OPERATOR MILLING,JUMLAH OPERATOR MIXING,JUMLAH OPERATOR GRINDING,JUMLAH OPERATOR QC BULK,JUMLAH OPERATOR SIEVING,JUMLAH OPERATOR LABELLING,JUMLAH OPERATOR PRESSING,JUMLAH OPERATOR FILLING,JUMLAH OPERATOR FILLING/PACKING,STATUS PEARLIZE,PDT PREMIX CUCI KASAR (HOUR),PDT PREMIX CUCI BERSIH (HOUR),PDT MILLING CUCI KASAR (HOUR),PDT MILLING CUCI BERSIH (HOUR),PDT MIXING CUCI KASAR (HOUR),PDT MIXING CUCI BERSIH (HOUR),PDT GRINDING CUCI KASAR (HOUR),PDT GRINDING CUCI BERSIH (HOUR),SET UP MESIN AWAL (MIN),SET UP MESIN LANJUTAN (MIN),PERSIAPAN (MIN),HELLOM TIME (MIN),GANTI KAIN (MIN),BBM (MIN),CHANGE OVER (MIN),CUCI MESIN (MIN),PENCAIRAN BULK (MIN),WARNA BULK,ASUMSI JUMLAH SHIFT,PDT TANPA CO (HOUR),PDT DENGAN CO (HOUR),LEADTIME KOTOR PREMIX (HOUR),LEADTIME KOTOR MILLING (HOUR),LEADTIME KOTOR MIXING (HOUR),LEADTIME KOTOR LABELLING (HOUR),LEADTIME KOTOR PRESSING (HOUR),LEADTIME KOTOR FILLING (HOUR),LEADTIME KOTOR FILLING/PACKING (HOUR),SHRINK MACHINE,LAST MODIFIED ON,LAST MODIEFIED BY,NOTES
JTK04,L-EMC05MM-W/45,STD,SR09,L-EMC05MM-W,,L-EMC05-BULK,Wardah Exclusive Matte Lip Cream Blister 05 Speachless 4 g,,Lipstick Exclusive Matte Lip Cream 05 Bulk (Kg),NOMINAL_LINE,1,45,45,44,10608,10714,,,,21,SWE01,SPM07D,SRM07,SVB02,,SVB02,QC BULK,,,,,LIP18,60,1.25,1.75,4,,4,0.5,,,,,8.41904761904762,0.5,2,5,2,1,1,1,,1,,,,,8,-,0,0.25,0,0.25,0,2,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1.5,2,6,,,,8.67321428571429,No,2022-08-12 06:41,OdooBot,
JTK06,HBL-TAHMG-W100ML/0,STD,RR01,HBL-TAHMG-W100ML,,,Wardah Tester Nature Daily Aloe Hydramild Multifunction Gel 100 ml,,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK04,L-UHRH004-MO2.3G/5,STD,SR09,L-UHRH004-MO2.3G,,L-LLW0C9-BULK,MAKE OVER Ultra Hi-Matte Lipstick 004 Red Heatwave 2.3 g (Pc(s)),,Lipstick Long Lasting New 09 Wardah Bulk (Kg),SECONDARY_LINE,1,5,5,4.75,1524,1554,,,,9,SWE01,SPM03D,SRM06,SMX02,,SMX02,QC BULK,,,,,LIP08,45,0.75,1,2.25,,3,0.5,,,,,2.82222222222222,0.5,2,5,2,1,1,1,,1,,,,,8,-,0,0,0,0.25,0,0,,,0,0,5,10,0,0,0,0.25,0,-,4,0.254166666666667,0.254166666666667,0.75,1.25,2.25,,,,3.07638888888889,No,2022-08-12 06:41,OdooBot,
JTK04,L-UHRH004-MO2.3G/3,STD,SR09,L-UHRH004-MO2.3G,,L-LLW0C9-BULK,MAKE OVER Ultra Hi-Matte Lipstick 004 Red Heatwave 2.3 g (Pc(s)),,Lipstick Long Lasting New 09 Wardah Bulk (Kg),SECONDARY_LINE,1,3,3,2.75,1008,1038,,,,9,SWE01,SMU01,SRM06,SMX02,,SMX02,QC BULK,,,,,LIP08,45,0.75,1,2,,3,0.5,,,,,1.86666666666667,0.5,2,5,2,1,1,1,,1,,,,,8,-,0,0.25,0,0.25,0,0,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1,1.25,2,,,,2.12083333333333,No,2022-08-12 06:41,OdooBot,
JTK04,L-UHRH004-MO2.3G/0.5,STD,SR09,L-UHRH004-MO2.3G,,L-LLW0C9-BULK,MAKE OVER Ultra Hi-Matte Lipstick 004 Red Heatwave 2.3 g (Pc(s)),,Lipstick Long Lasting New 09 Wardah Bulk (Kg),NOMINAL_LINE,1,0.5,0.5,0.4,144,152,,,,2,SWE01,SMU01,SRMLAB,SMX04,,SMX04,QC BULK,,,,,SBP01,45,0.5,0.75,4,,3,0.5,,,,,1.2,0.5,2,5,2,1,1,,,1,,,,,4,-,0,0,0,0.5,0,0,,,0,0,5,0,0,0,0,0.25,0,-,0,0.0875,0.0875,0.5,1.25,4,,,,1.2875,No,2022-08-12 06:41,OdooBot,
JTK06,DDC-W2TCDL-W20ML/0,STD,RR01,DDC-W2TCDL-W20ML,,,Wardah Tester C-Defense DD Cream Light 20 ml (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK06,MY-LCLADC04-W/0,STD,RR01,MY-LCLADC04-W,,,Malaysia Wardah Colorfit Last All Day Lip Paint 15. Dazzling New York,,,NOMINAL_LINE,,0,0,0,819,819,,,,5,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,2.73,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,15,,,,,,,-,,0.25,0.25,,,,,,,2.98,No,2022-03-22 16:14,OdooBot,
JTK02,CB-P1G-P720/300,STD,LR15,CB-P1G-P720,,CB-G-BULK,Putri Natural Creambath Ginseng 720 ML (Pc(s)),,Bulk Cream Bath Ginseng,SECONDARY_LINE,1,300,300,270,372,391,,,,6,LWE01,,,LVB03,,LVB03,QC BULK,,,,,EMP03,52.5,,,4,,0,1,,,,,1.03333333333333,0.3,2,3,,,,,,1,,,,,8,-,,,,,0,1.5,,,15,0,0,10,0,0,0,40,0,terang,0,1.08333333333333,1.08333333333333,,,5.5,,,,2.11666666666667,No,2022-08-03 07:06,Administrator,
JTK02,CB-P1G-P720/200,STD,LR15,CB-P1G-P720,,CB-G-BULK,Putri Natural Creambath Ginseng 720 ML (Pc(s)),,Bulk Cream Bath Ginseng,NOMINAL_LINE,1,200,200,191,396,446,,,,6,LWE01,,,LVB07,,LVB07,QC BULK,,,,,EMP03,35,,,4,,0,1,,,,,1.1,0.3,2,3,,,,,,1,,,,,8,-,,,,,0,1.5,,,30,0,0,10,0,0,0,40,0,terang,0,1.33333333333333,1.33333333333333,,,5.5,,,,2.43333333333333,No,2022-08-03 07:06,Administrator,
JTK02,FM-MGT-EM60ML/600,STD,LR15,FM-MGT-EM60ML,,FM-MGT-BULK,Emina Green Tea Latte Face Mask 60 ml (Pc(s)),,Green Tea Latte Face Mask,NOMINAL_LINE,1,600,600,600,8930,9088,,,,60,LWE01,,,LVB04,,LVB04,QC BULK,,,,,TUP03,75,,,5,,0,1,,,,,2.48055555555556,0.3,2,3,,,,,,1,,,,,3,-,,,,,0,1.5,,,50,0,0,10,0,0,60,55,0,terang,0,1.91666666666667,2.91666666666667,,,6.5,,,,4.39722222222222,No,2022-08-03 07:06,Administrator,
