FACTORY,ITEM CODE / BESAR BATCH,PROCESS TYPE,ROUTING TYPE,ITEM CODE,REFILL CODE,BULK CODE,ITEM NAME,REFILL NAME,BULK NAME,BULK SIZE PRIORITY,NUMBER OF COMPONENT,FM BULK SIZE (KG),MPQ OLAH (KG),MPQ SUPPLY KUNCI (KG),MPQ KEMAS (PCS),MPQ SUPPLY LOG (PCS),OUTPUT PRESSING (PCS/MIN),OUTPUT LABELLING (PCS/MIN),OUTPUT FILLING (PCS/MIN),OUTPUT FILLING/PACKING (PCS/MIN),LINE CODE WEIGHING,LINE CODE PREMIX,LINE CODE MILLING,LINE CODE MIXING,LINE CODE GRINDING,LINE CODE ADJUST,LINE CODE QC BULK,LINE CODE SIEVING,LINE CODE LABELLING,LINE CODE PRESSING,LINE CODE FILLING,LINE CODE FILLING/PACKING,LEADTIME WEIGHING (MIN),LEADTIME PREMIX (HOUR),LEADTIME MILLING (HOUR),LEADTIME MIXING (HOUR),LEADTIME GRINDING (HOUR),LEADTIME ADJUST (HOUR),LEADTIME QC BULK (HOUR),LEADTIME SIEVING (HOUR),LEADTIME LABELLING (HOUR),LEADTIME PRESSING (HOUR),LEADTIME FILLING (HOUR),LEADTIME FILLING/PACKING (HOUR),LEADTIME QC FG (HOUR),LEADTIME KARANTINA (HOUR),TOTAL LEADTIME (DAYS),JUMLAH OPERATOR WEIGHING,JUMLAH OPERATOR PREMIX,JUMLAH OPERATOR MILLING,JUMLAH OPERATOR MIXING,JUMLAH OPERATOR GRINDING,JUMLAH OPERATOR QC BULK,JUMLAH OPERATOR SIEVING,JUMLAH OPERATOR LABELLING,JUMLAH OPERATOR PRESSING,JUMLAH OPERATOR FILLING,JUMLAH OPERATOR FILLING/PACKING,STATUS PEARLIZE,PDT PREMIX CUCI KASAR (HOUR),PDT PREMIX CUCI BERSIH (HOUR),PDT MILLING CUCI KASAR (HOUR),PDT MILLING CUCI BERSIH (HOUR),PDT MIXING CUCI KASAR (HOUR),PDT MIXING CUCI BERSIH (HOUR),PDT GRINDING CUCI KASAR (HOUR),PDT GRINDING CUCI BERSIH (HOUR),SET UP MESIN AWAL (MIN),SET UP MESIN LANJUTAN (MIN),PERSIAPAN (MIN),HELLOM TIME (MIN),GANTI KAIN (MIN),BBM (MIN),CHANGE OVER (MIN),CUCI MESIN (MIN),PENCAIRAN BULK (MIN),WARNA BULK,ASUMSI JUMLAH SHIFT,PDT TANPA CO (HOUR),PDT DENGAN CO (HOUR),LEADTIME KOTOR PREMIX (HOUR),LEADTIME KOTOR MILLING (HOUR),LEADTIME KOTOR MIXING (HOUR),LEADTIME KOTOR LABELLING (HOUR),LEADTIME KOTOR PRESSING (HOUR),LEADTIME KOTOR FILLING (HOUR),LEADTIME KOTOR FILLING/PACKING (HOUR),SHRINK MACHINE,LAST MODIFIED ON,LAST MODIEFIED BY,NOTES
JTK02,REM-EEM-W50ML/600,MULTIPLEBULK,LR15,REM-EEM-W50ML,,REM-EEMB-BULK,Wardah EyeXpert Eye & Lip Makeup Remover 50 ml,,EyeXpert Eye Make Up Remover Fase B Bulk,NOMINAL_LINE,2,600,300,293,11592,11802,,,,25,LWE01,,,LVB01,,LVB01,QC BULK,,,,,BOP05,22.5,,,8,,0,1,,,,,7.728,0.3,2,4,,,,,,1,,,,,3,-,,,,,0,1.5,,,40,10,0,20,0,10,45,40,0,terang,0,2,2.75,,,9.5,,,,9.728,No,2022-08-03 07:06,Administrator,
JTK02,REM-EEM-W50ML/600,MULTIPLEBULK,LR15,REM-EEM-W50ML,,REM-EEMA-BULK,Wardah EyeXpert Eye & Lip Makeup Remover 50 ml,,EyeXpert Eye Make Up Remover Fase A Bulk,NOMINAL_LINE,1,600,300,293,11592,11802,,,,25,LWE02,,,LPF01,,LPF01,QC BULK,,,,,BOP05,22.5,,,5,,0,1,,,,,7.728,0.3,2,4,,,,,,1,,,,,3,-,,,,,0,1.5,,,40,10,0,20,0,10,45,40,0,terang,0,2,2.75,,,6.5,,,,9.728,No,2022-08-03 07:06,Administrator,
JTK06,FT-TRL-W/0,STD,RR01,FT-TRL-W,,,Wardah Tester Lightening Face Toner 150 ml,,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK04,WARN-PFCS-BULK/5,SFGBulk,SR03,WARN-PFCS-BULK,,,Pasta Warna Found Cream Si 2 Red 516,,,NOMINAL_LINE,1,5,5,5,0,0,,,,,SWE01,SPM03D,SRM06,,,,QC BULK,,,,,,15,0.5,1.25,,,0,0.5,,,,,,0,0,5,2,1,1,,,1,,,,,,-,0,0,0,0.25,,,,,0,0,0,0,0,0,0,0,0,-,0,0,0,0.5,1.5,,,,,,No,2022-08-12 06:41,OdooBot,
JTK02,L-PVW01-MO/30,STD,LR04,L-PVW01-MO,,L-PVW01-BULK,MAKE OVER Powerstay Vivid Waterlite Lip Stain A01 Bumble 5.5 g,,Lipstick Powerstay Vivid Waterlite 01 Bulk (Kg),NOMINAL_LINE,1,30,30,30,3360,3461,,,,12,LWE02,,LRM02,LVL05,,LVL05,QC BULK,,,,,EMP16,60,,3,8,,3,1,,,,,4.66666666666667,0.3,2,5,,,,,,1,,,,,8,-,,,0,1.5,0,2,,,40,0,0,10,0,0,0,120,0,gelap,0,2.83333333333333,2.83333333333333,,4.5,10,,,,7.5,No,2022-08-12 06:41,OdooBot,
JTK06,MY-GWPEMLNH-W/0,STD,RR01,MY-GWPEMLNH-W,,,Malaysia Wardah GWP Everyday Moisture Lip Nutrition Holder Honey,,,NOMINAL_LINE,,0,0,0,1,1,,,,180,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,9.25925925925926e-05,0.5,2,5,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.500092592592593,No,2022-03-22 16:14,OdooBot,
JTK06,L-TIM14-W2.3G/0,STD,RR01,L-TIM14-W2.3G,,,Wardah Tester Intense Matte Lipstick 14 Active Cerise 2.3 g (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK04,L-CHC09-MO/3,STD,SR09,L-CHC09-MO,,L-CHC09-BULK,MAKE OVER Color Hypnose Creamy Lipmatte 09 Undercover 4.3 g,,Color Hypnose Creamy Lipmatte 09 Undercover,NOMINAL_LINE,1,3,3,2.75,528,552,,,,4,SWE01,SMU01,SRM06,SMX01,,SMX01,QC BULK,,,,,LIP08,75,0.75,1,2.25,,1,0.5,,,,,2.2,0.5,2,5,2,1,1,1,,1,,,,,5,-,0,0,0,0.5,0,0.25,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,0.75,1.5,2.5,,,,2.45416666666667,No,2022-08-04 14:19,Widara Novianti,
JTK06,MY-TLLL14-W2.3G/0,STD,RR01,MY-TLLL14-W2.3G,,,Malaysia Wardah Tester Lipstick Longlasting 14 Violet Pink 2.3 g (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,2,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK01,"ES-W1G-W3,3GR/9",COPACKING,PR17,"ES-W1G-W3,3GR","ES-W1G-03-RP-W1,1GR",ES-W1G-03 BULK,"Wardah Eye Shadow G 3,3 gr (pc(s))",Refill Press Eye Shadow Wardah G 03,EYE SHADOW G 03,NOMINAL_LINE,3,9,3,3,1800,1905,30,,,4,PWE02,,,PSM12,,PSM12,QC BULK,PMS02,,PEP03,,PCP02,40,,,2.5,,2,0.5,1,,1,,7.5,0.5,14,5,2,,,1,,1,1,,2,,2,Non Pearlize,,,,,0,1,,,10,0,5,0,0,5,30,15,0,-,0,0.583333333333333,1.08333333333333,,,3.5,,1.58333333333333,,8.08333333333333,No,2022-03-22 16:14,OdooBot,
JTK01,"ES-W1G-W3,3GR/9",COPACKING,PR17,"ES-W1G-W3,3GR","ES-W1G-02-RP-W1,1GR",ES-W1G-02 BULK,"Wardah Eye Shadow G 3,3 gr (pc(s))",Refill Press Eye Shadow Wardah G 02,EYE SHADOW G 02,NOMINAL_LINE,2,9,3,3,1800,1905,30,,,4,PWE02,,,PSM12,,PSM12,QC BULK,PMS02,,PEP03,,PCP02,40,,,2.5,,1,0.5,1,,1,,7.5,0.5,14,5,2,,,1,,1,1,,2,,2,Non Pearlize,,,,,0,1,,,10,0,5,0,0,5,30,15,0,-,0,0.583333333333333,1.08333333333333,,,3.5,,1.58333333333333,,8.08333333333333,No,2022-03-22 16:14,OdooBot,
JTK01,"ES-W1G-W3,3GR/9",COPACKING,PR03,"ES-W1G-W3,3GR","ES-W1G-01-RP-W1,1GR",ES-W1G-01 BULK,"Wardah Eye Shadow G 3,3 gr (pc(s))",Refill Press Eye Shadow Wardah G 01,EYE SHADOW G 01,NOMINAL_LINE,1,9,3,3,1800,1905,30,,,4,PWE02,,,PSM09,PMG04,PSM09,QC BULK,PMS02,,PEP03,,PCP02,40,,,1.5,1.5,1,0.5,1,,1,,7.5,0.5,14,5,2,,,1,1,1,1,,2,,2,Non Pearlize,,,,,0,1,0,1.5,10,0,5,0,0,5,30,15,0,-,0,0.583333333333333,1.08333333333333,,,2.5,,1.58333333333333,,8.08333333333333,No,2022-03-22 16:14,OdooBot,
JTK04,L-CM04-EM5.5GR/15,STD,SR09,L-CM04-EM5.5GR,,L-CM04-BULK,Emina Creamatte 04 Frostbite 5.5 gr (Pc(s)),,Emina Creamatte 04 Frostbite Bulk (Kg),NOMINAL_LINE,1,15,15,14,2304,2373,,,,15,SWE01,SPM03D,SRM06,SVB01,,SVB01,QC BULK,,,,,BTP01,90,1,1.25,3,,2,0.5,,,,,2.56,0.5,2,5,2,1,1,,,1,,,,,6,-,0,0.25,0,0.5,1,1.25,,,0,0,5,10,0,0.2,0,0.253333333,0,-,0,0.25755555555,0.25755555555,1.25,1.75,4.25,,,,2.81755555555,No,2022-08-25 14:42,Widara Novianti,
JTK04,L-IPMMS03-W3.5G/5,STD,SR09,L-IPMMS03-W3.5G,,L-IPMMS03-BULK,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g,,Wardah Instaperfect MATTITUDE Matte Stain Lipstick 03 FEMME,NOMINAL_LINE,1,5,5,4.75,0,0,,,,0,SWE01,SPM03D,SRM06,SMX01,,SMX01,QC BULK,,,,,LIP06,75,0.75,1,2.25,,2,0.5,,,,,,0.5,2,5,2,1,1,1,,1,,,,,,-,0,0.25,0,0.5,0,0.25,,,0,0,0,0,0,0,0,0,0,-,0,0,0,1,1.5,2.5,,,,,No,2022-09-05 06:02,Diah Kartika Sari,
JTK06,MY-TLIM03-W2.3G/0,STD,RR01,MY-TLIM03-W2.3G,,,Wardah Tester Intense Matte Lipstick 03 Peach Perfect 2.3 g,,,NOMINAL_LINE,,0,0,0,1,1,,,,240,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,3,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK01,"ES-W0L-W3,3GR/9",COPACKING,PR17,"ES-W0L-W3,3GR","ES-W0L-03-RP-W1,1GR",ES-W0L-03 BULK,"Wardah Eye Shadow L 3,3 gr (pc(s))",Refill Press Eye Shadow Wardah L 03,EYE SHADOW L 03,NOMINAL_LINE,3,9,3,3,1560,1607,30,,,4,PWE02,,,PSM12,,PSM12,QC BULK,PMS02,,PEP03,,PCP02,40,,,2.5,,1,0.5,1,,0.866666666666667,,6.5,0.5,14,5,2,,,1,,1,1,,2,,2,Pearlize,,,,,0,1,,,10,0,5,0,0,5,30,15,0,-,0,0.583333333333333,1.08333333333333,,,3.5,,1.45,,7.08333333333333,No,2022-03-22 16:14,OdooBot,
JTK01,"ES-W0L-W3,3GR/9",COPACKING,PR17,"ES-W0L-W3,3GR","ES-W0L-02-RP-W1,1GR",ES-W0L-02 BULK,"Wardah Eye Shadow L 3,3 gr (pc(s))",Refill Press Eye Shadow Wardah L 02,EYE SHADOW L 02,NOMINAL_LINE,2,9,3,3,1560,1607,20,,,4,PWE02,,,PSM12,,PSM12,QC BULK,PMS02,,PEP03,,PCP02,40,,,2.5,,2,0.5,1,,1.3,,6.5,0.5,14,5,2,,,1,,1,1,,2,,2,Pearlize,,,,,0,1,,,10,0,5,0,0,5,30,15,0,-,0,0.583333333333333,1.08333333333333,,,3.5,,1.88333333333333,,7.08333333333333,No,2022-03-22 16:14,OdooBot,
JTK01,"ES-W0L-W3,3GR/9",COPACKING,PR03,"ES-W0L-W3,3GR","ES-W0L-01-RP-W1,1GR",ES-W0L-01 BULK,"Wardah Eye Shadow L 3,3 gr (pc(s))",Refill Press Eye Shadow Wardah L 01,EYE SHADOW L 01,NOMINAL_LINE,1,9,3,3,1560,1607,30,,,4,PWE02,,,PSM09,PMG04,PSM09,QC BULK,PMS02,,PEP03,,PCP02,40,,,2.5,1.5,1,0.5,1,,0.866666666666667,,6.5,0.5,14,5,2,,,1,1,1,1,,2,,2,Pearlize,,,,,0,1,0,0.75,10,0,5,0,0,5,30,15,0,-,0,0.583333333333333,1.08333333333333,,,3.5,,1.45,,7.08333333333333,No,2022-03-22 16:14,OdooBot,
JTK02,FW-GSN2-L/1000,STD,LR02,FW-GSN2-L,,FW-GS-BULK,LABORE Sensitive Skin Care GentleBiome Mild Cleanser 225 ml,,Laboré Sensitive Skin Care GentleBiome Mild Cleanser,NOMINAL_LINE,1,1000,1000,970,3933,4372,,,17,15,LWE01,,,LVB01,,LVB01,QC BULK,,,,EMP03B,BOP04,60,,,6,,0,1,,,,3.85588235294118,4.37,0.3,2,4,,,,,,1,,,,5,6,-,,,,,0,1.5,,,30,0,0,10,0,0,0,40,0,gelap,0,1.33333333333333,1.33333333333333,,,7.5,,,5.18921568627451,5.70333333333333,No,2022-03-22 16:14,OdooBot,
JTK01,B-SPC-MO13GR/3,STD,PR10,B-SPC-MO13GR,,B-SPC-BULK,MAKE OVER Shimmering Powder Chrystalist 13 gr,,Shimmering Powder Chrystalist,NOMINAL_LINE,1,3,3,3,192,198,,,,4,PWE02,,,PSM12,,PSM12,QC BULK,,,,,BLH01,50,,,1.5,,2,0.5,,,,,0.8,0.5,2,5,2,,,1,,1,,,,,2,Pearlize,,,,,0,1,,,15,0,5,0,0,10,0,30,0,-,0,1,1,,,2.5,,,,1.8,No,2022-08-12 06:41,OdooBot,
JTK04,CON-IP05-W/90,STD,,CON-IP05-W,,CON-IP05-BULK,Instaperfect Cover Up Concealer 43 Creme Sand 5 ml,,Wardah Instaperfect Concealer 05,NOMINAL_LINE,1,90,90,88,0,0,,,,,SWE01,SPM09D,SRM08,SVB04,,SVB04,QC BULK,,,,,,60,1.5,4,4,,4,0.5,,,,,,0,0,5,2,1,1,1,,1,,,,,,-,0,0.5,0,1,0,2.5,,,0,0,0,0,0,0,0,0,0,-,0,0,0,2,5,6.5,,,,,No,2022-08-12 06:41,OdooBot,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK04,CON-IP05-W/15,STD,,CON-IP05-W,,CON-IP05-BULK,Instaperfect Cover Up Concealer 43 Creme Sand 5 ml,,Wardah Instaperfect Concealer 05,NOMINAL_LINE,1,15,15,14,0,0,,,,,SWE01,SMU01,SRM06,SVB01,,SVB01,QC BULK,,,,,,60,0.1,1.5,3,,4,0.5,,,,,,0,0,5,2,1,1,,,1,,,,,,-,0,0,0,0.5,0,1.25,,,0,0,0,0,0,0,0,0,0,-,0,0,0,0.1,2,4.25,,,,,No,2022-08-12 06:41,OdooBot,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK02,CUS-REFIPRVE-W/50,STD,LR04,CUS-REFIPRVE-W,,CUS-IPE-BULK,Instaperfect Refill Skincover Air Cushion 43 Creme Sand 11 g,,Instaperfect Skincover Air Cushion 43 Creme Sand,SECONDARY_LINE,1,50,50,43,3083,3180,,,,13,LWE01,,LRM01,LVL05,,LVL05,QC BULK,,,,,CUP01,60,,5,5,,3,1,,,,,3.9525641025641,0.3,2,5,,,,,,1,,,,,12,-,,,0,1.5,0,2.5,,,40,0,0,10,0,0,0,90,0,gelap,0,2.33333333333333,2.33333333333333,,6.5,7.5,,,,6.28589743589744,No,2022-08-25 09:07,Odilia Indira Saraswati,
JTK02,CUS-REFIPRVE-W/30,STD,LR04,CUS-REFIPRVE-W,,CUS-IPE-BULK,Instaperfect Refill Skincover Air Cushion 43 Creme Sand 11 g,,Instaperfect Skincover Air Cushion 43 Creme Sand,NOMINAL_LINE,1,30,30,23,1416,1460,,,,13,LWE01,,LRM01,LVL05,,LVL05,QC BULK,,,,,CUP01,60,,4,4,,3,1,,,,,1.81538461538462,0.3,2,5,,,,,,1,,,,,12,-,,,0,1.5,0,2.5,,,40,0,0,10,0,0,0,90,0,gelap,0,2.33333333333333,2.33333333333333,,5.5,6.5,,,,4.14871794871795,No,2022-08-25 09:07,Odilia Indira Saraswati,
JTK04,"LB-OC-MO3,8G/3",STD,SR09,"LB-OC-MO3,8G",,LB-O-BULK,"MAKE OVER Lipbalm Lip Nutrition Orange Crush 3,8 g (Pc(s))",,Lipbalm Lip Nutrition Orange Crush Bulk,NOMINAL_LINE,1,3,3,2.75,672,706,,,,15,SWE01,SMU01,SRMLAB,SMX03,,SMX03,QC BULK,,,,,JRP02,45,0.25,0.25,2,,0,0.5,,,,,0.746666666666667,0.5,2,4,2,1,1,1,,1,,,,,6,-,0,0,0,0,0,1,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,0.25,0.25,3,,,,1.00083333333333,No,2022-08-12 06:41,OdooBot,
JTK06,MY-TSRMWSPTE-W100ML/0,STD,RR01,MY-TSRMWSPTE-W100ML,,,Malaysia Wardah Tester White Secret Pure Treatment Essence 100 ml (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK06,M-NFSCSDC9-W/0,STD,RR01,M-NFSCSDC9-W,,,Sample Pajangan Wardah NFS Crystal Secret Day Cream 9 ml,,,NOMINAL_LINE,,0,0,0,1000,1030,,,,5,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,3.33333333333333,0.5,2,4,,,,,,1,,,,,6,-,,,,,,,,,,,15,,,,,,,-,6,0.25,0.25,,,,,,,3.58333333333333,No,2022-03-22 16:14,OdooBot,
JTK02,P-BSFWRRP-EM/3000,STD,LR02,P-BSFWRRP-EM,,FW-BS-BULK,Emina Bright Stuff Face Wash 50 ml isi 6 pcs,,Bright Stuff Face Wash BULK,NOMINAL_LINE,1,3000,3000,2956,9551,9592,,,10,10,LWE02,,,LVL06,,LVL06,QC BULK,,,,TUP09,MIP08,30,,,11.22,,0,1,,,,15.9183333333333,15.9183333333333,0.3,2,5,,,,,,1,,,,3,3,-,,,,,0,2,,,25,20,0,30,0,20,25,0,0,gelap,0,1.58333333333333,2,,,13.22,,,17.5016666666667,17.5016666666667,No,2022-03-22 16:14,OdooBot,
JTK02,BP-IWEDT-KA/400,STD,LR02,BP-IWEDT-KA,,BP-IWEDT-BULK,Kahf Invigorating Waterfall Eau de Toilette 35 ml,,Kahf Invigorating Waterfall Eau de Toilette Bulk,SECONDARY_LINE,1,400,400,385,10634,10954,,,5,5,LWE02,,,LHL02,,LHL02,QC BULK,,,,EMP17B,EMP17,90,,,7,,0,1,,,,35.4466666666667,35.4466666666667,0.3,2,5,,,,,,1,,,,4,4,-,,,,,0,2,,,25,50,0,60,0,50,0,30,0,gelap,1,3.58333333333333,3.58333333333333,,,9,,,39.03,39.03,No,2022-08-03 07:06,Administrator,
JTK02,BP-IWEDT-KA/200,STD,LR02,BP-IWEDT-KA,,BP-IWEDT-BULK,Kahf Invigorating Waterfall Eau de Toilette 35 ml,,Kahf Invigorating Waterfall Eau de Toilette Bulk,NOMINAL_LINE,1,200,200,185,5000,5150,,,5,5,LWE02,,,LHL02,,LHL02,QC BULK,,,,EMP17B,EMP17,90,,,6,,0,1,,,,16.6666666666667,16.6666666666667,0.3,2,5,,,,,,1,,,,4,4,-,,,,,0,2,,,25,20,0,30,0,20,0,30,0,gelap,1,2.08333333333333,2.08333333333333,,,8,,,18.75,18.75,No,2022-08-03 07:06,Administrator,
JTK04,CON-IP04-W/90,STD,,CON-IP04-W,,CON-IP04-BULK,Instaperfect Cover Up Concealer 33 Warm Olive 5 ml,,Wardah Instaperfect Concealer 04,NOMINAL_LINE,1,90,90,88,0,0,,,,,SWE01,SPM09D,SRM08,SVB03,,SVB03,QC BULK,,,,,,60,1.5,4,4,,4,0.5,,,,,,0,0,5,2,1,1,1,,1,,,,,,-,0,0.5,0,1,0,2.5,,,0,0,0,0,0,0,0,0,0,-,0,0,0,2,5,6.5,,,,,No,2022-08-12 06:41,OdooBot,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK04,CON-IP04-W/15,STD,,CON-IP04-W,,CON-IP04-BULK,Instaperfect Cover Up Concealer 33 Warm Olive 5 ml,,Wardah Instaperfect Concealer 04,NOMINAL_LINE,1,15,15,14,0,0,,,,,SWE01,SMU01,SRM06,SVB01,,SVB01,QC BULK,,,,,,60,0.1,1.5,3,,4,0.5,,,,,,0,0,5,2,1,1,,,1,,,,,,-,0,0,0,0.5,0,1.25,,,0,0,0,0,0,0,0,0,0,-,0,0,0,0.1,2,4.25,,,,,No,2022-08-12 06:41,OdooBot,Ada lebih dari 1 Bulk Size FM yang menjadi Nominal Line
JTK06,MY-FRELF03-W/0,STD,RR01,MY-FRELF03-W,,,Malaysia Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml,,,NOMINAL_LINE,,0,0,0,1,1,,,,12,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00138888888888889,0.5,2,5,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501388888888889,No,2022-03-22 16:14,OdooBot,
JTK01,TWC-CLFTC-W/40,STD,PR01,TWC-CLFTC-W,,TWC-CLFTC-BULK,Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g,,Colorfit Velvet Powder Foundation 23W Warm Ivory,NOMINAL_LINE,1,40,40,40,3420,3523,,,,28,PWE01,,,PSM11,PAP01,PSM11,QC BULK,RUSSEL01,,,,PNP01,60,,,2.75,2,3,0.5,1,,,,2.03571428571429,0.5,14,5,2,,,1,1,1,1,,,,11,Non Pearlize,,,,,0.5,0.75,0.5,0.75,15,0,5,0,0,5,0,35,0,-,0,1,1,,,3.5,,,,3.03571428571429,No,2022-09-09 00:51,Maryam Hadi,
JTK01,TWC-CLFTC-W/20,STD,PR01,TWC-CLFTC-W,,TWC-CLFTC-BULK,Wardah Colorfit Velvet Powder Foundation 23W Warm Ivory 11 g,,Colorfit Velvet Powder Foundation 23W Warm Ivory,SECONDARY_LINE,1,20,20,20,1476,1520,,,,28,PWE01,,,PSM06,PVT06,PSM06,QC BULK,RUSSEL01,,,,PNP01,60,,,2,1.5,3,0.5,1,,,,0.878571428571429,0.5,14,5,2,,,1,1,1,1,,,,11,Non Pearlize,,,,,0.5,0.75,0.5,0.75,15,0,5,0,0,5,0,35,0,-,0,1,1,,,2.75,,,,1.87857142857143,No,2022-09-09 00:51,Maryam Hadi,
JTK06,F-W2TELCLFN-W11GR/0,STD,RR01,F-W2TELCLFN-W11GR,,,Wardah Tester Container Evd Lum Creamy Foundation Light Feel 04 Natural 11 gr (Pc(s)),,,NOMINAL_LINE,,0,0,0,1,1,,,,10,,,,,,,QC BULK,,,,,VMP10,,,,,,0,0,,,,,0.00166666666666667,0.5,2,3,,,,,,1,,,,,3,-,,,,,,,,,,,30,,,,,,,-,1,0.5,0.5,,,,,,,0.501666666666667,No,2022-03-22 16:14,OdooBot,
JTK04,L-REMO29-W/20,STD,SR09,L-REMO29-W,,L-REMO29-BULK,Wardah Exclusive Moist Lipstick 29 Lavender 3.5 g,,Wardah Exclusive Moist Lipstick 29 Lavender,SECONDARY_LINE,1,20,20,19,0,0,,,,0,SWE01,SPM07D,SRM07,SDM06,,SDM06,QC BULK,,,,,ALP03,90,1,1.5,,,2,0.5,,,,,,0.5,2,5,2,1,1,,,1,,,,,,-,0,0.25,0,0.5,0,0,,,0,0,0,0,0,0,0,0,0,-,0,0,0,1.25,2,,,,,,No,2022-09-08 04:17,Diah Kartika Sari,
JTK04,L-REMO29-W/10,STD,SR09,L-REMO29-W,,L-REMO29-BULK,Wardah Exclusive Moist Lipstick 29 Lavender 3.5 g,,Wardah Exclusive Moist Lipstick 29 Lavender,NOMINAL_LINE,1,10,10,9.5,2280,2394,,,,7,SWE01,SPM03D,SRM06,SMX02,,SMX02,QC BULK,,,,,LIP08,75,0.75,1.5,2.25,,2,0.5,,,,,5.42857142857143,0.5,2,5,2,1,1,1,,1,,,,,5,-,0,0.25,0,0.5,0,0.25,,,0,0,5,10,0,0,0,0.25,0,-,0,0.254166666666667,0.254166666666667,1,2,2.5,,,,5.6827380952381,No,2022-09-08 04:17,Diah Kartika Sari,
JTK02,LT-MP06-EM/100,STD,LR15,LT-MP06-EM,,LT-MP06-BULK,Emina Magic Potion 06 Sassy 5.5 ml,,Magic Potion 06 Sassy Bulk,SECONDARY_LINE,1,100,100,100,15960,16439,,,,13,LWE02,,,LMX01,,LMX01,QC BULK,,,,,EMP16,30,,,5,,3,1,,,,,20.4615384615385,0.3,2,5,,,,,,1,,,,,8,-,,,,,0,1.5,,,40,20,0,30,0,20,0,120,0,gelap,0,3.83333333333333,3.83333333333333,,,6.5,,,,24.2948717948718,No,2022-06-29 14:14,Fawziah Ghina Saraswati,
JTK02,LT-MP06-EM/50,STD,LR15,LT-MP06-EM,,LT-MP06-BULK,Emina Magic Potion 06 Sassy 5.5 ml,,Magic Potion 06 Sassy Bulk,NOMINAL_LINE,1,50,50,47,7524,7901,,,,13,LWE02,,,LMX01,,LMX01,QC BULK,,,,,EMP16,60,,,6,,3,1,,,,,9.64615384615385,0.3,2,5,,,,,,1,,,,,8,-,,,,,0,1.5,,,40,10,0,20,0,10,0,120,0,gelap,0,3.33333333333333,3.33333333333333,,,7.5,,,,12.9794871794872,No,2022-06-29 14:14,Fawziah Ghina Saraswati,
JTK02,F-L02VC-OMG/600,STD,LR05,F-L02VC-OMG,,F-L02-BULK,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,SECONDARY_LINE,1,600,600,570,19932,22980,,,,16,LWE01,LMX01A,LRM01,LVL02,,LVL02,QC BULK,,,,,BOP10,60,2,5,7,,3,1,,,,,20.7625,,,5,,,,,,1,,,,,9,-,0,1,0,1.5,0,3,,,30,20,0,30,0,20,0,60,0,gelap,0,2.66666666666667,2.66666666666667,3,6.5,10,,,,23.4291666666667,Yes,2022-06-02 03:08,Suniarsih Utami,
