"Last Updated on","Created on","Internal Reference","Name","Material Type","General Subcategory/Display Name","Unit of Measure/Display Name","Bulk status","Netto Claim","Netto Claim UOM/Display Name","Factory/Display Name"
"2022-07-25 08:36:51","2022-07-04 04:05:28","80099","OMG Ramadan Package Deco B","Finished Goods","Sellable","Pc(s)","","0.0","g","JTK06"
"2022-07-19 01:00:44","2022-07-04 04:07:09","80100","OMG Ramadan Package Skin Care","Finished Goods","Sellable","Pc(s)","","0.0","g","JTK06"
"2022-08-02 02:45:13","2022-04-19 05:37:17","80097","OMG UV Fresh Matte Sunscreen 20 ml","Finished Goods","Sellable","Pc(s)","","20.0","ml","JTK02"
