"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"L-CUSH05-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"L-CUSH06-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Draft"
"FT-PHAS-EM50ML","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Confirmed","Waiting for Approval"
"SS-SB50-EM","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Draft"
"P-CD2-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"EB-IPEM03-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Confirmed","Confirmed"
"EB-IPEM04-W","Finished Goods","Sellable","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Draft"
"EB-IPEM05-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Draft","Draft"
"EB-RIPEM01-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Confirmed","Confirmed"
"EB-RIPEM02-W","Finished Goods","Sellable","Confirmed","Confirmed","Draft","Draft","Confirmed","Confirmed"
"L-IPEI13-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI14-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI15-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI16-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI17-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI18-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI19-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-IPEI20-W","Finished Goods","Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
