Process code;Routing Type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Packing;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Shieving code;Shieving ALT.;Shieving loss rate;Shieving production rate;Shieving production rate with change over;Efficiency of Shieving;Grinding code;Grinding ALT.;Grinding loss rate;Grinding production rate;Grinding production rate with change over;Efficiency of Grinding;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of Mixing;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of Weighing;Labelling line code;Labelling ALT;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of Labelling
COPACKING;PR03;ES-TN-MO6G;ES-SGC12GRNFS-MO;ES-CP-MO_BULK;2;6;NOMINAL_LINE;PCP02;1;0;240;158;0.66;PEP04;2;0;2100;377.42;0.18;PMS02;1;0;1;1;1;PMG07;1;0;0.67;0.33;0.5;PSM14;1;0;0.67;0.4;0.6;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR03;ES-TN-MO6G;ES-SGPL2GRNFS-MO;ES-PL-BULK;2;6;NOMINAL_LINE;PCP02;1;0;240;158;0.66;PEP04;3;0;2100;377.42;0.18;PMS02;1;0;1;1;1;PMG04;1;0;0.67;0.33;0.5;PSM09;1;0;0.67;0.4;0.6;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR03;ES-TSB-MO6G;ES-SGF12GRNFS-MO;ES-FT-BULK;1;3;NOMINAL_LINE;PCP01;1;0;240;192;0.8;PEP01;3;0;540;344.35;0.64;PMS01;1;0;1;1;1;PGT01;1;0;1;0.4;0.4;PMT01;1;0;1.33;0.57;0.43;PWT01;1;0;0.8;0.8;1;;;;;;
COPACKING;PR03;ES-TSB-MO6G;ES-SGMN2GRNFS-MO;ES-M-BULK;1;3;NOMINAL_LINE;PCP01;1;0;240;192;0.8;PEP01;2;0;540;344.35;0.64;PMS01;1;0;1;1;1;PGT01;1;0;1;0.4;0.4;PMT01;1;0;1.33;0.57;0.43;PWT01;1;0;1.09;1.09;1;;;;;;
COPACKING;PR03;ES-TSB-MO6G;ES-SGT2GRNFS-MO;ES-TQ-BULK;1;3;NOMINAL_LINE;PCP01;1;0;240;192;0.8;PEP01;1;0;540;344.35;0.64;PMS01;1;0;1;1;1;PGT01;1;0;1;0.4;0.4;PMT01;1;0;1.33;0.57;0.43;PWT01;1;0;0.86;0.86;1;;;;;;
COPACKING;PR17;ES-W0I-W3,3GR;ES-W0I-01-RP-W1,1GR;ES-W0I-01_BULK;3;9;NOMINAL_LINE;PCP02;1;0;240;200;0.83;PEP04;1;0;2100;757.89;0.36;PMS02;1;0;1;1;1;;;;;;;PSM12;1;0;0.4;0.29;0.71;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR17;ES-W0I-W3,3GR;ES-W0I-02-RP-W1,1GR;ES-W0I-02_BULK;3;9;NOMINAL_LINE;PCP02;1;0;240;200;0.83;PEP04;2;0;2100;757.89;0.36;PMS02;1;0;1;1;1;;;;;;;PSM12;1;0;0.4;0.29;0.71;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR17;ES-W0I-W3,3GR;ES-W0I-03-RP-W1,1GR;ES-W0I-03_BULK;3;9;NOMINAL_LINE;PCP02;1;0;240;200;0.83;PEP04;3;0;2100;757.89;0.36;PMS02;1;0;1;1;1;;;;;;;PSM12;1;0;0.4;0.29;0.71;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR03;ES-W1A-W3,3GR;ES-W1A-01-RP-W1,1GR;ES-W1A-01_BULK;14;42;NOMINAL_LINE;PCP02;1;0;240;230;0.96;PEP06;1;0;3480;2167.17;0.62;PMS02;1;0;1;1;1;PMG06;1;0;0.67;0.33;0.5;PSM16;1;0;0.57;0.36;0.64;PWE02;1;0;1.5;1.5;1;;;;;;
COPACKING;PR03;ES-W1A-W3,3GR;ES-W1A-02-RP-W1,1GR;ES-W1A-02_BULK;14;42;NOMINAL_LINE;PCP02;1;0;240;230;0.96;PEP06;2;0;3480;2167.17;0.62;PMS02;1;0;1;1;1;PMG05;1;0;0.67;0.33;0.5;PSM15;1;0;0.57;0.36;0.64;PWE02;1;0;1.5;1.5;1;;;;;;
