"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-SSTPMOI300-30774","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-SSTPR1-MOILG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-SSTPR2-MO","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-SSTPR3-MO","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"DUS-SACR0-IP","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-SCPFTR0-T","2200037","9","2"
"DUS-SCSAOCR1-W","2200072","4","2"
"","2200072","4","2"
"DUS-SCSAOCR2A-CL","","",""
"DUS-SCSAOCR2B-CL","","",""
"DUS-SCSAOCR0-W","2306641","4","2"
"","2306641","4","2"
"DUS-SCABER1-W","2200072","4","2"
"","2200072","4","2"
"DUS-SCABER0-W","2306641","4","2"
"DUS-SCPSPF1R0-W","","",""
"DUS-SCPSPF2R0-W","","",""
"DUS-SCPSPF3R0-W","","",""
"DUS-SCPSPF4R0-W","","",""
"DUS-SCSAESR0-W","2200072","4","2"
"DUS-SCSAHGR0-W","2200072","4","2"
"","2200072","4","2"
"","2306641","4","2"
"DUS-SCSAHGR1-W","2200072","4","2"
"","2200072","4","2"
"DUS-SCSROSR1-W","2200072","4","2"
"","2200072","4","2"
"DUS-SCSROSR0-W","2306641","4","2"
"","2306641","4","2"
"DUS-SCSRRCR1-W","","",""
"DUS-SCSRRCR0-W","2306641","4","2"
"","2306641","4","2"
"DUS-SEFCCRR0-W","","",""
"DUS-SEFCCR0-W","","",""
"DUS-SIBBMR0-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-SICBBCR0-W","2200037","4","2"
"","2200037","4","2"
"DUS-SIGCLR0-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-SIMLPR0-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-SIMMBCR0-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-SBBMC-WILG","","",""
"DUS-SPMOI300-3442LGP","","",""
"DUS-SPR1-MOILG","2200152","4","2"
"","2200043","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-SLAMR1-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-SCSH-IX","","",""
"DUS-SBSPF3023-E","2200013","4","2"
"","2200013","4","2"
"DUS-SBSPF3023R1-E","2200013","4","2"
"DUS-TSEBR0-EILD","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"DUS-TSIMOR0-MO","2200037","4","2"
"","2200037","4","2"
"DUS-TSIMPR0-MO","2200037","4","2"
"","2200037","4","2"
"DUS-TONMOI3003-42LG","2200053","4","2"
"","2200053","4","2"
"","2200053","4","2"
"DUS-TON100R1-MO","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-TEPLR0-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-TPSMR0-K","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"DUS-TPSMR1-K","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-TESR2-MO","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"DUS-TWCPMOI300-319LG","","",""
"DUS-TWCPR1-MOILG","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-TWCPR2-MO","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-ULMMOI253-18LG","2200053","4","2"
"","2200053","4","2"
"DUS-UCLMFMO-I35493LG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-VMP20CR0-MO","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-VMP20R0-MO","","",""
"DUS-VMP20CR1-MO","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"DUS-WSHSM30CR2-W","2200070","4","2"
"","2200070","4","2"
"DUS-WSHSM30C-WACVG","2200070","4","2"
"","2200070","4","2"
"DUS-WSPTE50R1-WCCLG","2200072","4","2"
"","2200072","4","2"
"","2200072","4","2"
"DUS-WSPTE50R0-WCCLG","2200072","4","2"
"","2200072","4","2"
"","2200072","4","2"
"DUS-WSPTER1-W","2200072","4","2"
"","2200072","4","2"
"","2200072","4","2"
"DUS-WSPTER2-W","2200072","4","2"
"","2200072","4","2"
"","2200072","4","2"
"DUS-WSPTER0-WCCLG","2200090","4","2"
"DUS-WLS01R0-E","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200043","4","2"
"DUS-WLS02R0-E","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"DUS-WLS03R0-E","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-WLS04R0-E","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"DUS-WSBEC10R1-WACLG","2200043","4","2"
"DUS-WSBEC10R0-WCCLG","","",""
"DUS-WSDC17CR0-WCCLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSDC17CR1-WACLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSDC30CR3-WACUV","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"DUS-WSDC30CR1-WCUV","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"DUS-WSDC30C-WCLG","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"DUS-WSDCG-WCCLG","2200053","4","2"
"","2200053","4","2"
"","2200053","4","2"
"","2200053","4","2"
"","2200053","4","2"
"DUS-WSDCWSL-CC32G","","",""
"DUS-WSESR1-WCCLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSESR3-WACLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSIBEGR1-WACLG","2200043","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"DUS-WSIBEG-WCCLG","","",""
"DUS-WSIBEW-CC32LG","","",""
"DUS-WSNC17CR0-WCCLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSNC17CR2-WACLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSNC17CR1-WACLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSNC17R0-WCCLG","2200043","4","2"
"","2200152","4","2"
"DUS-WSNC30CR3-WACUV","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"DUS-WSNC30CR4-WACUV","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"DUS-WSNC30CR2-WACUV","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"DUS-WSNCWSL-CC32G","","",""
"DUS-WHPMG40R2C-WILG","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-WHPMG40R3C-WILG","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-WHPMG40C-WILG","","",""
"DUS-WHPS5R1-WILG","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"DUS-WHPS5R2-WILG","","",""
"DUS-WHPS5-WILG","","",""
"DUS-WSI24WNLD31-1083","2200097","4","2"
"DUS-YGGLMR0-ELM","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"ENV-EDTHF2-K","2200152","4","2"
"","2200043","4","2"
"ENV-EDTIW2-K","2200152","4","2"
"","2200043","4","2"
"ENV-EDTRO2-K","2200152","4","2"
"","2200043","4","2"
"ENV-EDTTB2-K","2200043","4","2"
"","2200152","4","2"
"ENV-NFSAHFW-WLG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"ENV-NFSADSSR2-W","","",""
"ENV-NFSADSS-W","","",""
"ENV-NFSBLAR0-WL","2200152","3","2"
"ENV-NFSBLFR0-WL","2200152","3","2"
"ENV-NFSBLER0-WL","2200152","3","2"
"ENV-NFSBLRR0-WL","2200152","3","2"
"ENV-NFSBLVR0-WL","2200152","3","2"
"ENV-NFSBWMGT15-BD","2200152","3","2"
"ENV-NFSBWMSS15-BD","2200152","3","2"
"ENV-NFSBWMYZ15-BD","2200152","3","2"
"ENV-NFSCSBDC3-W","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"ENV-NFSCSFC3-W","2200070","4","2"
"","2200070","4","2"
"","2200070","4","2"
"ENV-NFSDFSSR2-W","","",""
"ENV-NFSDFSS-W","","",""
"ENV-NDMCP01R0-E","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"ENV-NDMCP02R0-E","2200152","4","2"
"","2200152","4","2"
"","2200152","4","2"
"ENV-NFSEHBW30-K","","",""
"ENV-NFSSEBFW-K","2200097","4","2"
"ENV-NFSSEBFWR1-K","2200097","4","2"
"","2200097","4","2"
"ENV-NFSSEBFWR2-K","","",""
"ENV-NFSER0-ELL","2200037","3","2"
"","2200037","3","2"
"ENV-NFSGEFS8R0-K","2200152","4","2"
"ENV-NFSGEFS8R1-K","","",""
"ENV-NFSHFSSR2-W","","",""
"ENV-NFSHFTSS-W","","",""
"ENV-NFSHTS10-W","","",""
"ENV-NLPL2R0-W","2200043","4","2"
"","2200152","4","2"
"ENV-NLPL3R0-W","2200043","4","2"
"","2200152","4","2"
"ENV-NLPL5R0-W","2200043","4","2"
"","2200152","4","2"
"ENV-NFSLSP-W","","",""
"ENV-NFSLWFF5-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"ENV-NFSMCFF-WLG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"ENV-NFSMCFFR1-WVG","","",""
"ENV-NFSNPSR0-E","2200152","4","2"
"ENV-NFSOACFW-K","2200097","4","2"
"ENV-NFSOACFWR1-K","2200097","4","2"
"","2200097","4","2"
"ENV-NFSOACFWR2-K","","",""
"ENV-NFSPBNSP-W","","",""
"ENV-NFSPBCOR1-WVG","2200043","4","2"
"","2200152","4","2"
"ENV-NFSPBCFOC-WLG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"ENV-NFSPBCSR1-WVG","2200043","4","2"
"","2200152","4","2"
"ENV-NFSPBCFS-WLG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"ENV-NPCTWCR0-MO","2200043","4","2"
"","2200152","4","2"
"ENV-NPM01R0-E","2200037","4","2"
"","2200037","4","2"
"ENV-NPM02R0-E","2200037","4","2"
"","2200037","4","2"
"ENV-NPMPFR0-MO","2200043","4","2"
"","2200152","4","2"
"ENV-NPMPFR1-MO","2200043","4","2"
"","2200043","4","2"
"ENV-NPMPFR2-MO","2200043","4","2"
"","2200152","4","2"
"ENV-NFSSBFWR1-WVG","","",""
"ENV-NFSSBFW-WLG","2200043","4","2"
"","2200152","4","2"
"","2200043","4","2"
"","2200152","4","2"
"ENV-NFSSSPSK-W","","",""
"ENV-NFSSSP-W","","",""
"ENV-NFSTAOCDFW8R0-K","","",""
"ENV-NFSUVSAFE5-W","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"EBP-ABBLR0-E","2302897","19","2"
"EBP-ABBLR1-E","2302897","19","2"
"EBP-ABBRR0-E","2302897","19","2"
"EBP-ABBRR1-E","2302897","19","2"
"EBP-BLMOIS91-CTP2WIJ","2301890","24","2"
"","2301890","14","2"
"","2301890","14","2"
"","2301890","24","2"
"","2301890","14","2"
"","2301890","24","2"
"","2301890","14","2"
"EBP-BLR1W-WCS","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"EBP-BLR2-W","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"EBP-BLR3-W","","",""
"EBP-BRR1W-WCS","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"EBP-BRR2-W","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"EBP-BRR3-W","","",""
"EBP-BTEMOIBR9-CTP2WI","2301890","24","2"
"","2301890","24","2"
"","2301890","14","2"
"","2301890","24","2"
"EL-ECBKR0-E","2304792","20","2"
"EL-ECBWR0-E","2304792","20","2"
"EL-ECDPR0-E","","",""
"ELG-STAYWGELW-BP","","",""
"ELL-EOHBLR2-WPP","2304792","20","2"
"ELL-EOHBLR1-WPP","2304792","20","2"
"ELL-EOHBLR3-WPP","2304792","20","2"
"ELL-MOBP3S9-BDPKFT2W","2301890","24","2"
"","2301890","14","2"
"","2301890","24","2"
"ELL-STAYWLELW-BP","","",""
"ELP-BJMOR1SZS-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-BJMOR2SZS-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-BLR1W-SCS","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-BLR2W-SCS","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-BLMOR1SBR-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-BLMOR2SBR-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-CGMOSPG-CT2S","","",""
"ELP-EDBLR0-E","","",""
"ELP-EDBLR1-E","2302897","19","2"
"ELP-EDNBR0-E","","",""
"ELP-EDBRR1-E","2302897","19","2"
"ELP-EDGOR0-E","","",""
"ELP-EDDPR0-E","","",""
"ELP-GLGMOSP9-CTP2WIP","","",""
"ELP-GOGMOVSG-CTP2WIP","","",""
"ELP-NBMOR1SPB-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-NBMOR2SPB-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-NSR0-MO","2301890","24","6"
"","2301890","24","6"
"ELP-NSR1-MO","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-PPMOVPR-CT2S","","",""
"ELP-RBMOSPB-CT2S","","",""
"ELP-SLR0-MO","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-SLR1-MO","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-WHR1W-TCS","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-WHR2W-TCS","","",""
"ELP-WTMOR1SPB-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"ELP-WTMOR2SPB-CT2S","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"","2301890","24","2"
"BRUS-ESBR0-MO","2305717","14","6"
"","2305717","14","6"
"ESP-RR9GR0-MO","2200112","27","2"
"","2200112","27","2"
"","2200112","27","2"
"","2200112","27","2"
"ESP-UB9GR0-MO","2200112","27","2"
"","2200112","27","2"
"EEM-01LBWR0-X","","",""
"EEM-02LBWR0-X","","",""
"EEM-03LBWR0-X","","",""
"EEP-01BLWR0-X","","",""
"EEP-02BLWR0-X","","",""
"EBM-EXPMBD1R0-W","","",""
"EBM-EXPMBD2R0-W","","",""
"EBM-EXPMBD3R0-W","","",""
"EB-DABKR1-E","2304792","20","2"
"EB-DABWR1-E","2304792","20","2"
"EB-EBMLBR0-W","","",""
"EB-EBMLDGR0-W","","",""
"ELC-MO-KHCH","","",""
"ELC-WSSPHW-1EHLW","","",""
"BRUS-FBR0-MO","2302221","14","2"
"BRUS-FLFBR0-MO","2200118","15","2"
"BRUS-FTFBR0-MO","2305717","14","6"
"","2305717","14","6"
"GWP-PGHSB22-L","2300473","4","2"
"GWP-RDF22-W","2300473","6","2"
"GWP-SHOWERPUFF-ELL","","",""
"GODE-BO-25-P","","",""
"GODE-BOER0-WAL","2200054","5","2"
"","2200054","5","2"
"GODE-BOMOR2-AL38","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"GODE-BOSRR0-MO","","",""
"GODE-CHCPRER0-W","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"GODE-CHCPROR0-W","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"GODE-CQEPR0-W","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"GODE-CP3,45B-SM-P","2200088","5","2"
"GODE-CPTZ59R1-MO","2200054","4","2"
"GODE-CPTZB-SMD59A-P","2200054","4","2"
"","2200054","4","2"
"","2200054","4","2"
"","2200067","4","2"
"GODE-CTWC-OMG","2200054","4","2"
"GODE-CPLPBR0-W","2200054","5","2"
"","2200054","5","2"
"GODE-CPSPFR0-W","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"GODE-ESMOR2A4-261944","2200054","5","2"
"","2200054","5","2"
"GODE-ESSWA33-178538","2200054","5","2"
"","2200054","5","2"
"GODE-ISCEPR1-WAL","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"GODE-LPMOD265-T38","2200088","5","2"
"GODE-LPR1-MO","2200054","2","2"
"","2200054","2","2"
"","2200054","2","2"
"","2200054","2","2"
"GODE-LPWNL2781-","2200054","5","2"
"","2200054","5","2"
"GODE-PESBOR2-MOAL","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"GODE-SBLER0-MO","2200054","4","2"
"GODE-TL-WAR197-P","2200054","5","2"
"GODE-TESRR0-MO","","",""
"GODE-TWC5,4B-SM-P","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"","2200054","5","2"
"GODE-TWCW--P","","",""
"KART-GCRC-W","","",""
"SACH-HFTSS10R1-W","2200105","4","2"
"SACH-HFTSS10-W","2200105","4","2"
"HANG-3SSSFTBR0-EAC","","",""
"HANG-CDLP-W","2200097","4","2"
"HANG-CDNP-W","2200097","4","2"
"HANG-WHR2AP190-23NF","2200097","4","2"
"HANG-WTISOAC190-9632","","",""
"HLCS-DL1-MOFG","2303771","19","2"
"HLCS-DL1R1-MOFG","2303771","14","2"
"HLCS-DL2-MOFG","2303771","19","2"
"HLCS-DL2R1-MOFG","2303771","14","2"
"HLCS-DLSH-MOFG","2303771","16","2"
"HLCS-DLSR1-MOFG","2303771","14","2"
"HLCS-LTM-MOFG","2303771","19","2"
"HLCS-DLMR1-MOFG","2303771","14","2"
"HLCS-DME-MOFG","2303771","19","2"
"HLCS-DMER1-MOFG","2303771","14","2"
"HLCS-MTD-MOFG","2303771","19","2"
"HLCS-DMDR1-MOFG","2303771","14","2"
"EL-HBSSLMO-X","2304792","20","2"
"","2304792","20","2"
"","2304792","20","2"
"EL-HBSSLMOR1-X","2304792","20","2"
"","2304792","20","2"
"","2304792","20","2"
"","2304792","20","2"
"EL-HBSSLMOR2-X","","",""
"INSP-GMB1BWR1-X","","",""
"INSP-GMB2DPWR1-X","","",""
"INSP-HGPBLWR1-X","","",""
"INSP-QFC1LWR1-X","","",""
"INSP-QFC2BWR1-X","","",""
"IBOX-TCMPR0-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-TGMGTR0-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-TGMHR0-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-TSMCR0-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-TSMRR0-E","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-LESMR1-W","2200013","4","2"
"","2200013","4","2"
"IBOX-NDAACMR1-W","2200043","4","2"
"","2200152","4","2"
"IBOX-NDABCMR0-W","2200043","4","2"
"","2200152","4","2"
"IBOX-NDMOCMR0-W","2200043","4","2"
"","2200152","4","2"
"IBOX-NDOPCMR0-W","2200043","4","2"
"","2200152","4","2"
"IBOX-NDTTCMR0-W","2200043","4","2"
"","2200152","4","2"
"ISPO-CPGCR0-W","2306597","5","2"
"ISPO-HLGCR0R0-MO","","",""
"ISPO-HLGCR0-MO","2306597","11","2"
"ISPO-HLGCR1-MO","2306597","9","2"
"ISPO-AC-MO","","",""
"ISPO-SACR0-IP","2306597","9","2"
"ISPO-IPE4712R0-X","2306597","11","2"
"IBOX-12BR0-MO","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12CLR0-WDNF","2200097","4","2"
"IBOX-12CPRLR0-W","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12CPRMLR0-W","","",""
"IBOX-12CPSLR0-W","","",""
"IBOX-12EA-WD31","2200043","4","2"
"","2200152","4","2"
"IBOX-12EB-WD31","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12EDR1-WD31","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12ED-WD31","2200043","4","2"
"","2200152","4","2"
"IBOX-12EE-ED31","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12EF-ED31","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12EG-ED31","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12EH-EDNF","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12EI-EDNF","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12ECLTR0-WDNF","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-12ELBR0-WDNF","2200037","2","2"
"","2200037","2","2"
"","2200037","2","2"
"","2200037","2","2"
"","2200037","2","2"
"","2200037","2","2"
"","2200037","2","2"
"IBOX-12ELTWCRR0-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12ELRLR1-W","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12ELRLR0-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12EMLCR0-WDNF","2200043","4","2"
"","2200152","4","2"
"IBOX-12EXBR0-W","2200013","4","2"
"","2200013","4","2"
"","2200013","4","2"
"","2200013","4","2"
"","2200013","4","2"
"IBOX-12ELEL-WDNF","2200043","4","2"
"","2200152","4","2"
"","2200152","4","2"
"IBOX-12EMASC-WD31","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"","2200037","4","2"
"IBOX-12IBBMR1-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12IBBMR2-IP","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12IBBMR0-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12ILCR1-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12ILCR2-IP","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"IBOX-12ILC-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12IMLPR1-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12IMLMPR0-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12IMSLR1-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12IMSLR0-WDNF","2200061","4","2"
"","2200061","4","2"
"","2200061","4","2"
"IBOX-12IMLCR0-MODNF","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
"","2200097","4","2"
