"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"MY-SRMCDSI-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"MY-LCUMKORA-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LCUMKORB-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LCUMKORC-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LCUMKORD-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-LCUMKORE-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Draft","Confirmed","Confirmed"
"MY-CUSR2EFC01-W","Finished Goods","Sellable","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"MY-CUSR2EFC02-W","Finished Goods","Sellable","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"MY-CUSR2EFC03-W","Finished Goods","Sellable","Confirmed","Confirmed","Waiting for Approval","Draft","Draft","Confirmed"
"MY-CUSR2EFC04-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Waiting for Approval","Draft","Confirmed"
"MY-FRRELF01-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"MY-FRRELF02-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"MY-FRRELF03-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"MY-FRRELF04-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
"MY-FRRRELF05-W","Finished Goods","Sellable","Confirmed","Confirmed","Confirmed","Confirmed","Draft","Confirmed"
