"Last Updated on","Created on","Internal Reference","Korporat Code","Name","Material Type","Unit of Measure/Display Name","Netto Claim","Netto Claim UOM/Display Name","Gross Weight","Master Box - Quantity","Pallet - Quantity","Trolly - Quantity","General Subcategory/Display Name","Brand/Display Name","Lifecycle","Factory/Display Name","Subcategory/Display Name","Format/Display Name","Variant/Display Name","Brand ABC Class","XYZ Class","Destination","Copackaging Routing Type/Display Name","Shrink machine","FG Brand Position/Display Name","Freeze Status","Shelf Life Year","Shelf Life Month","Production Start Date","Distribution Start Date","Purchase Start Date","Net Weight"
"2022-08-02 02:53:23","2021-08-04 02:47:33","03855","ES-PEP24K-MO","Make Over Powerstay Eye Palette Hall Of Stars 12 x 1.5 g","Finished Goods","Pc(s)","18.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","EYE MAKE UP","EYE PALETTE","MAKE OVER POWERSTAY EYE SHADOW PALETTE","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2022-04-23","2023-01-16","2022-04-22","18.0"
"2022-08-04 06:58:32","2021-10-22 04:31:18","04439","MY-FTBSE-EM","Malaysia Emina Bright Stuff Exfoliating Toner 100 ml","Finished Goods","Pc(s)","100.0","ml","0.0","24","0","0","Sellable","Emina","inactive","JTK06","","","","A","X","Eksported","STD","","","","3","0.0","2022-10-10","2022-11-07","2022-07-12","104.0"
"2022-07-15 09:42:21","2021-10-22 04:32:28","04440","MY-MBSNC-EM","Malaysia Emina Bright Stuff Night Cream 20 g","Finished Goods","Pc(s)","20.0","g","0.0","0","0","0","Sellable","Emina","inactive","JTK06","","","","A","X","Eksported","STD","","","","3","0.0","2022-08-15","2022-11-07","2022-07-12","20.0"
"2022-06-08 04:35:44","2021-04-22 02:42:10","03078","MY-BRUSEBS-EM","Malaysia Emina Brush Set (Set)","Finished Goods","Pc(s)","1.0","g","0.0","16","0","0","Sellable","Emina","existing","JTK06","MAKE UP TOOLS","BRUSH","EMINA MALAYSIA BRUSH SET","B","X","Eksported","STD","","MASS","","0","0.0","2021-05-17","2021-06-06","2021-04-13","1.0"
"2022-08-05 04:25:36","2022-07-12 05:49:49","04990","MY-SRMCDSI-W","Malaysia Wardah C-Defense Serum 17 ml","Finished Goods","Pc(s)","17.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MOISTURIZER","SERUM","WARDAH MALAYSIA C-DEFENSE SERUM","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
"2022-08-04 06:58:44","2022-06-20 01:07:47","04912","MY-LCUMKORA-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 09 Romantic Namsan 3.6 g","Finished Goods","Pc(s)","3.6","g","21.09","144","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","3.6"
"2022-08-04 06:58:44","2022-06-20 01:11:11","04913","MY-LCUMKORB-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 10 Stunning Seoul 3.6 g","Finished Goods","Pc(s)","3.6","g","21.09","144","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","3.6"
"2022-08-04 06:58:45","2022-06-20 01:29:41","04914","MY-LCUMKORC-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 11 Sunkissed Jeju 3.6 g","Finished Goods","Pc(s)","3.6","g","21.09","144","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","3.6"
"2022-08-04 06:58:45","2022-06-20 01:33:57","04915","MY-LCUMKORD-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 12 Autumn Nami 3.6 g","Finished Goods","Pc(s)","3.6","g","21.09","144","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","3.6"
"2022-08-04 06:58:46","2022-06-20 01:36:40","04916","MY-LCUMKORE-W","Malaysia Wardah Colorfit Ultralight Matte Lipstick 13 Upbeat Hongdae 3.6 g","Finished Goods","Pc(s)","3.6","g","21.09","144","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIPSTICK MATTE","WARDAH MALAYSIA COLORFIT ULTRALIGHT MATTE LIPSTICK","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","3.6"
"2022-08-05 04:25:36","2022-07-20 05:34:21","05015","MY-CUSR2EFC04-W","Malaysia Wardah Exclusive Flawless Cover Cushion 04 Natural 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MAKE UP","CUSHION","WARDAH MALAYSIA EXCLUSIVE CUSHION","A","X","Eksported","","","MASS","","0","0.0","","","","15.0"
"2022-08-05 04:25:36","2021-10-08 00:28:05","04345","MY-FRRELF01-W","Malaysia Wardah Exclusive Liquid Foundation 01 Light Beige 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","LIQUID FOUNDATION","WARDAH MALAYSIA EXCLUSIVE LIQUID FOUNDATION","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
"2022-08-05 04:25:36","2021-10-08 00:32:34","04346","MY-FRRELF02-W","Malaysia Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","LIQUID FOUNDATION","WARDAH MALAYSIA EXCLUSIVE LIQUID FOUNDATION","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
"2022-08-05 04:25:36","2021-10-08 00:37:06","04347","MY-FRRELF03-W","Malaysia Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","LIQUID FOUNDATION","WARDAH EXCLUSIVE LIQUID FOUNDATION","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
"2022-08-05 04:25:36","2021-10-08 00:39:20","04348","MY-FRRELF04-W","Malaysia Wardah Exclusive Liquid Foundation 04 Natural 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","LIQUID FOUNDATION","WARDAH MALAYSIA EXCLUSIVE LIQUID FOUNDATION","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
"2022-08-05 04:25:36","2021-10-08 00:40:45","04349","MY-FRRRELF05-W","Malaysia Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","LIQUID FOUNDATION","WARDAH MALAYSIA EXCLUSIVE LIQUID FOUNDATION","A","X","Eksported","STD","","MASS","","0","0.0","","","","0.0"
"2022-08-05 04:25:36","2022-07-13 04:51:50","04991","MY-LEMC01DP-W","Malaysia Wardah Exclusive Matte Lip Cream 01 Red-dicted 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 04:54:34","04992","MY-LEMC02DP-W","Malaysia Wardah Exclusive Matte Lip Cream 02 Fuschionately 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 04:57:21","04993","MY-LEMC03DP-W","Malaysia Wardah Exclusive Matte Lip Cream 03 See You Latte 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:01:48","04994","MY-LEMC04DP-W","Malaysia Wardah Exclusive Matte Lip Cream 04 Pink Me 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:11:44","04995","MY-LEMC05DP-W","Malaysia Wardah Exclusive Matte Lip Cream 05 Speachless 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:13:59","04996","MY-LEMC06DP-W","Malaysia Wardah Exclusive Matte Lip Cream 06 Feeling Red 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:16:22","04997","MY-LEMC07DP-W","Malaysia Wardah Exclusive Matte Lip Cream 07 Hello, Ruby 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:18:40","04998","MY-LEMC08DP-W","Malaysia Wardah Exclusive Matte Lip Cream 08 Pinkcredible 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:20:59","04999","MY-LEMC09DP-W","Malaysia Wardah Exclusive Matte Lip Cream 09 Mauve On ! 4G","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:23:39","05000","MY-LEMC10DP-W","Malaysia Wardah Exclusive Matte Lip Cream 10 Berry Pretty 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:26:08","05001","MY-LEMC11DP-W","Malaysia Wardah Exclusive Matte Lip Cream 11 Oh So Nude ! 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:28:11","05002","MY-LEMC12DP-W","Malaysia Wardah Exclusive Matte Lip Cream 12 Plum It Up 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:30:17","05003","MY-LEMC13DP-W","Malaysia Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:32:21","05004","MY-LEMC14DP-W","Malaysia Wardah Exclusive Matte Lip Cream 14 My Honey Bee 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:34:26","05005","MY-LEMC15DP-W","Malaysia Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:37:36","05006","MY-LEMC16DP-W","Malaysia Wardah Exclusive Matte Lip Cream 16 Heartbeet 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:41:11","05007","MY-LEMC17DP-W","Malaysia Wardah Exclusive Matte Lip Cream 17 Rosy Cheek 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2022-07-13 05:43:23","05008","MY-LEMC18DP-W","Malaysia Wardah Exclusive Matte Lip Cream 18 Saturdate Night 4g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","LIP MAKE UP","LIP CREAM","WARDAH MALAYSIA EXCLUSIVE LIP CREAM","A","X","Eksported","","","MASS","","0","0.0","2022-08-22","2022-10-03","","4.0"
"2022-08-05 04:25:36","2021-10-08 01:03:05","04353","MY-TCR2E01-W","Malaysia Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","TWC","WARDAH MALAYSIA EXCLUSIVE TWC","A","X","Eksported","STD","","MASS","","0","0.0","","","","12.0"
"2022-08-05 04:25:36","2021-10-08 01:04:45","04354","MY-TCR2E02-W","Malaysia Wardah Exclusive Two Way Cake 02 Light Beige 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","TWC","WARDAH MALAYSIA EXCLUSIVE TWC","A","X","Eksported","STD","","MASS","","0","0.0","","","","12.0"
"2022-08-05 04:25:36","2021-10-08 01:05:51","04355","MY-TCR2E03-W","Malaysia Wardah Exclusive Two Way Cake 03 Sandy Beige 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","TWC","WARDAH MALAYSIA EXCLUSIVE TWC","A","X","Eksported","STD","","MASS","","0","0.0","","","","12.0"
"2022-08-05 04:25:36","2021-10-08 01:07:06","04356","MY-TCR2E04-W","Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","TWC","WARDAH MALAYSIA EXCLUSIVE TWC","A","X","Eksported","STD","","MASS","","0","0.0","","","","12.0"
"2022-08-05 04:25:36","2021-10-08 01:08:07","04357","MY-TCR2E05-W","Malaysia Wardah Exclusive Two Way Cake 05 Coffee Beige 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","FACE MAKE UP","BLUSH ON","WARDAH EXCLUSIVE TWC","A","X","Eksported","STD","","MASS","","0","0.0","","","","12.0"
"2022-08-04 07:43:33","2022-02-11 09:33:50","04664","MY-FTNDATE-W","Malaysia Wardah Nature Daily Aloe Hydramild Essence Toner 100 ml","Finished Goods","Pc(s)","100.0","ml","115.6","25","0","0","Sellable","Wardah","new product","JTK06","FACE CLEANSER","TONER","MALAYSIA WARDAH NATURE DAILU ALOE HYDRAMILD ESSENCE TONER","A","X","Eksported","","","MASS","","3","0.0","2022-08-22","2022-09-05","","100.0"
"2022-07-29 05:16:32","2022-06-14 05:35:31","04911","SS-LDSB-TA","TAVI Liquid Dreamy Skin Blur Sunscreen 50 ml","Finished Goods","Pc(s)","50.0","ml","0.0","0","0","0","Sellable","Tavi","new product","JTK02","","","","A","X","Local","","","","","0","0.0","","","","0.0"
"2022-06-07 01:24:57","2021-04-22 02:28:49","00264","BUT-W0LG-W50ML","Wardah Creamy Body Butter With Lavender & Ginger 50 ml (pc(s))","Finished Goods","Pc(s)","50.0","ml","0.0","32","0","0","Sellable","Wardah","to be discontinued","JTK02","BODY BUTTER","BODY BUTTER","WARDAH SPA BODY BUTTER","A","X","Local","STD","","MASS","","3","0.0","","","","48.5145"
"2022-08-04 14:18:50","2021-04-22 02:01:03","02049","F-RECF01-W","Wardah Exclusive Creamy Foundation 01 Light Beige 12 g","Finished Goods","Pc(s)","12.0","g","66.82","30","0","0","Sellable","Wardah","existing","JTK04","FACE MAKE UP","CREAMY FOUNDATION","WARDAH EXCLUSIVE CREAMY FOUNDATION","B","X","Local","STD","","MASS","","3","0.0","","","","12.0"
"2022-07-28 04:10:39","2021-04-22 02:01:05","02050","F-RECF02-W","Wardah Exclusive Creamy Foundation 02 Sheer Pink 12 g","Finished Goods","Pc(s)","12.0","g","66.82","30","0","0","Sellable","Wardah","existing","JTK04","FACE MAKE UP","CREAMY FOUNDATION","WARDAH EXCLUSIVE CREAMY FOUNDATION","B","X","Local","STD","","MASS","","3","0.0","","","","12.0"
"2022-08-02 02:57:59","2021-04-22 02:05:52","00948","EL-W1B-WTA","Wardah Eye Liner Black","Finished Goods","Pc(s)","1.14","g","0.0","120","0","0","Sellable","Wardah","existing","JTK06","EYE MAKE UP","EYE LINER PENCIL","WARDAH EYEXPERT EYE LINER PENCIL","B","X","Local","OEMNDC","","MASS","","0","0.0","","","","1.14"
"2022-08-04 14:01:40","2021-10-07 04:36:23","04287","SRM-PB-W","Wardah Perfect Bright Super-Glow Berry Serum 8 ml","Finished Goods","Pc(s)","8.0","ml","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MOISTURIZER","SERUM","WARDAH PERFECT BRIGHT SUPER-GLOW BERRY SERUM","A","X","Local","STD","","MASS","","3","0.0","2022-08-22","2022-09-19","2022-04-18","8.16"
