date_correction,snfg,fg_name,sisa_bulk,overfill,loading_unloading_loss,loss,brand,coitem,line,netto,netto_min
2022-05-10,CM-LCC-W/H0029,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,0,30,UPSTREAM LOSS,WARDAH,CM-LCC-W,LVB05,,
2022-05-18,CM-LCC-W/H0031,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,0,24,UPSTREAM LOSS,WARDAH,CM-LCC-W,LVB03,,
2022-05-24,CM-LCC-W/H0032,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,0,23,UPSTREAM LOSS,WARDAH,CM-LCC-W,LVB02,,
2022-05-17,CM-LCC-W/H0030,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,0,30,UPSTREAM LOSS,WARDAH,CM-LCC-W,LVB03,,
2022-05-08,CM-LCC-W/H0028,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,0,22,UPSTREAM LOSS,WARDAH,CM-LCC-W,LVB03,,
2022-05-24,CM-LCC-W/H0033,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,0,21,UPSTREAM LOSS,WARDAH,CM-LCC-W,LVB02,,
2022-05-08,CM-LCC-W/H0028,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,6.78,19.54,DOWNSTREAM LOSS,WARDAH,CM-LCC-W,TUP10,0.10164,0.10092
2022-05-10,CM-LCC-W/H0029,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,8.22,14.4,DOWNSTREAM LOSS,WARDAH,CM-LCC-W,TUP10,0.1018,0.10092
2022-05-17,CM-LCC-W/H0030,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,7.73,29.53,DOWNSTREAM LOSS,WARDAH,CM-LCC-W,TUP10,0.10176,0.10092
2022-05-18,CM-LCC-W/H0031,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,9.17,2.54,DOWNSTREAM LOSS,WARDAH,CM-LCC-W,TUP10,0.10188,0.10092
2022-05-24,CM-LCC-W/H0032,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,8.25,18.05,DOWNSTREAM LOSS,WARDAH,CM-LCC-W,TUP10,0.1018,0.10092
2022-05-24,CM-LCC-W/H0033,WARDAH LIGHTENING CLEANSING MILK 100 ML,0,9.07,14.71,DOWNSTREAM LOSS,WARDAH,CM-LCC-W,TUP10,0.10188,0.10092
2022-05-24,CM-RWSPBC-W/H0017,WARDAH CRYSTAL SECRET MELTING MILK CLEANSER 100 ML,0,0,23,UPSTREAM LOSS,WARDAH,CM-RWSPBC-W,LVL03,,
2022-05-20,CM-RWSPBC-W/H0016,WARDAH CRYSTAL SECRET MELTING MILK CLEANSER 100 ML,0,0,24.4,UPSTREAM LOSS,WARDAH,CM-RWSPBC-W,LVL03,,
2022-05-13,CM-RWSPBC-W/H0015,WARDAH CRYSTAL SECRET MELTING MILK CLEANSER 100 ML,0,0,26.4,UPSTREAM LOSS,WARDAH,CM-RWSPBC-W,LVL03,,
2022-05-13,CM-RWSPBC-W/H0015,WARDAH CRYSTAL SECRET MELTING MILK CLEANSER 100 ML,0,25.76,14.65,DOWNSTREAM LOSS,WARDAH,CM-RWSPBC-W,TUP10,0.10036,0.09766
2022-05-20,CM-RWSPBC-W/H0016,WARDAH CRYSTAL SECRET MELTING MILK CLEANSER 100 ML,0,25.84,15.15,DOWNSTREAM LOSS,WARDAH,CM-RWSPBC-W,TUP10,0.10036,0.09766
2022-05-24,CM-RWSPBC-W/H0017,WARDAH CRYSTAL SECRET MELTING MILK CLEANSER 100 ML,0,25.38,15.93,DOWNSTREAM LOSS,WARDAH,CM-RWSPBC-W,TUP10,0.10032,0.09766
2022-05-18,CM-WSOG-W/H0002,WARDAH CRYSTAL SECRET MICELLAR CLEANSING GEL 95 ML,0,0,16,UPSTREAM LOSS,WARDAH,CM-WSOG-W,LVB05,,
2022-05-18,CM-WSOG-W/H0002,WARDAH CRYSTAL SECRET MICELLAR CLEANSING GEL 95 ML,6,18.3,12.5,DOWNSTREAM LOSS,WARDAH,CM-WSOG-W,EMP03,0.09824,0.0963775
2022-05-17,CON-LBBL02-W/H0005,WARDAH LIGHTENING LIQUID CONCEALER 02 BEIGE 7 G (BLISTER),0,0,13,UPSTREAM LOSS,WARDAH,CON-LBBL02-W,LVL01,,
2022-05-15,CON-LBBL02-W/H0006,WARDAH LIGHTENING LIQUID CONCEALER 02 BEIGE 7 G (BLISTER),0,0,20,UPSTREAM LOSS,WARDAH,CON-LBBL02-W,LVL01,,
2022-05-17,CON-LBBL02-W/H0005,WARDAH LIGHTENING LIQUID CONCEALER 02 BEIGE 7 G (BLISTER),0,3.78,18.62,DOWNSTREAM LOSS,WARDAH,CON-LBBL02-W,BLP01,0.0071,0.007
2022-05-15,CON-LBBL02-W/H0006,WARDAH LIGHTENING LIQUID CONCEALER 02 BEIGE 7 G (BLISTER),0,11.61,14.37,DOWNSTREAM LOSS,WARDAH,CON-LBBL02-W,BLP01,0.00732,0.007
2022-05-23,CON-PTCL02-MO/H0006,MAKE OVER POWERSTAY TOTAL COVER LIQUID CONCEALER 02 LIGHT TO MEDIUM 6.5 ML,0,0,4.2,UPSTREAM LOSS,MAKE OVER,CON-PTCL02-MO,LVL05,,
2022-05-23,CON-PTCL02-MO/H0006,MAKE OVER POWERSTAY TOTAL COVER LIQUID CONCEALER 02 LIGHT TO MEDIUM 6.5 ML,6.8,0,5.9,DOWNSTREAM LOSS,MAKE OVER,CON-PTCL02-MO,EMP01,0.0065,0.0065
2022-05-13,CUS-CLPGCA-W/H0005,WARDAH COLORFIT PERFECT GLOW CUSHION 11C PINK FAIR 15 G,0,0,12.2,UPSTREAM LOSS,WARDAH,CUS-CLPGCA-W,LVL07,,
2022-05-13,CUS-CLPGCA-W/H0005,WARDAH COLORFIT PERFECT GLOW CUSHION 11C PINK FAIR 15 G,0,3.17,13.19,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCA-W,CUP01,0.01552,0.015
2022-05-12,CUS-CLPGCB-W/H0011,WARDAH COLORFIT PERFECT GLOW CUSHION 22N LIGHT IVORY 15 G,0,0,11.2,UPSTREAM LOSS,WARDAH,CUS-CLPGCB-W,LVL07,,
2022-05-20,CUS-CLPGCB-W/H0012,WARDAH COLORFIT PERFECT GLOW CUSHION 22N LIGHT IVORY 15 G,0,0,12.6,UPSTREAM LOSS,WARDAH,CUS-CLPGCB-W,LVL07,,
2022-05-12,CUS-CLPGCB-W/H0011,WARDAH COLORFIT PERFECT GLOW CUSHION 22N LIGHT IVORY 15 G,0,3.83,9.21,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCB-W,CUP01,0.0156,0.015
2022-05-20,CUS-CLPGCB-W/H0012,WARDAH COLORFIT PERFECT GLOW CUSHION 22N LIGHT IVORY 15 G,0,3.07,8.57,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCB-W,CUP01,0.01548,0.015
2022-05-21,CUS-CLPGCC-W/H0005,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,0,12,UPSTREAM LOSS,WARDAH,CUS-CLPGCC-W,LVL07,,
2022-05-17,CUS-CLPGCC-W/H0003,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,0,4,UPSTREAM LOSS,WARDAH,CUS-CLPGCC-W,LVL05,,
2022-05-21,CUS-CLPGCC-W/H0004,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,0,7,UPSTREAM LOSS,WARDAH,CUS-CLPGCC-W,LVL05,,
2022-05-23,CUS-CLPGCC-W/H0002,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,0,41.8,UPSTREAM LOSS,WARDAH,CUS-CLPGCC-W,LVL05,,
2022-05-23,CUS-CLPGCC-W/H0002,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,2.83,-2.83,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCC-W,CUP01,0.01548,0.015
2022-05-17,CUS-CLPGCC-W/H0003,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,4.67,0.86,4.47,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCC-W,CUP01,0.01536,0.015
2022-05-21,CUS-CLPGCC-W/H0004,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,3.96,-0.56,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCC-W,CUP01,0.0165,0.015
2022-05-21,CUS-CLPGCC-W/H0005,WARDAH COLORFIT PERFECT GLOW CUSHION 23W WARM IVORY 15 G,0,5.49,8.91,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCC-W,CUP01,0.01588,0.015
2022-05-09,CUS-CLPGCD-W/H0002,WARDAH COLORFIT PERFECT GLOW CUSHION 32N NEUTRAL BEIGE 15 G,0,0,12.4,UPSTREAM LOSS,WARDAH,CUS-CLPGCD-W,LVL07,,
2022-05-09,CUS-CLPGCD-W/H0001,WARDAH COLORFIT PERFECT GLOW CUSHION 32N NEUTRAL BEIGE 15 G,0,0,12.8,UPSTREAM LOSS,WARDAH,CUS-CLPGCD-W,LVL07,,
2022-05-09,CUS-CLPGCD-W/H0001,WARDAH COLORFIT PERFECT GLOW CUSHION 32N NEUTRAL BEIGE 15 G,2.93,5.48,0.87,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCD-W,CUP01,0.01584,0.015
2022-05-09,CUS-CLPGCD-W/H0002,WARDAH COLORFIT PERFECT GLOW CUSHION 32N NEUTRAL BEIGE 15 G,0,6.09,11.27,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCD-W,CUP01,0.01576,0.015
2022-05-19,CUS-CLPGCF-W/H0003,WARDAH COLORFIT PERFECT GLOW CUSHION 43W GOLDEN SAND 15 G,0,0,10.2,UPSTREAM LOSS,WARDAH,CUS-CLPGCF-W,LVL07,,
2022-05-19,CUS-CLPGCF-W/H0003,WARDAH COLORFIT PERFECT GLOW CUSHION 43W GOLDEN SAND 15 G,20.1,3.6,-10.38,DOWNSTREAM LOSS,WARDAH,CUS-CLPGCF-W,CUP01,0.01556,0.015
2022-05-18,CUS-EFC02-W/H0001,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 02 HONEY BEIGE 15 G,0,0,12.2,UPSTREAM LOSS,WARDAH,CUS-EFC02-W,LVL07,,
2022-05-18,CUS-EFC02-W/H0001,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 02 HONEY BEIGE 15 G,4.25,5,4.95,DOWNSTREAM LOSS,WARDAH,CUS-EFC02-W,CUP01,0.0158,0.015
2022-05-18,CUS-EFC03-W/H0003,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 03 SANDY BEIGE 15 G,0,0,11.4,UPSTREAM LOSS,WARDAH,CUS-EFC03-W,LVL07,,
2022-05-18,CUS-EFC03-W/H0003,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 03 SANDY BEIGE 15 G,0,3.99,11.01,DOWNSTREAM LOSS,WARDAH,CUS-EFC03-W,CUP01,0.01564,0.015
2022-05-23,CUS-HLGN10-MO/H0007,MAKE OVER HYDRASTAY LITE GLOW CUSHION N10 MARBLE 15 G,0,0,3.8,UPSTREAM LOSS,MAKE OVER,CUS-HLGN10-MO,LRM02,,
2022-05-23,CUS-HLGN10-MO/H0007,MAKE OVER HYDRASTAY LITE GLOW CUSHION N10 MARBLE 15 G,6.6,0.92,0.52,DOWNSTREAM LOSS,MAKE OVER,CUS-HLGN10-MO,CUP01,0.01536,0.015
2022-05-14,CUS-HLGNN30-MO/H0007,MAKE OVER HYDRASTAY LITE GLOW CUSHION N30 NATURAL BEIGE 15 G,0,0,2.8,UPSTREAM LOSS,MAKE OVER,CUS-HLGNN30-MO,LVL05,,
2022-05-14,CUS-HLGNN30-MO/H0007,MAKE OVER HYDRASTAY LITE GLOW CUSHION N30 NATURAL BEIGE 15 G,0,1.46,3.62,DOWNSTREAM LOSS,MAKE OVER,CUS-HLGNN30-MO,CUP01,0.01552,0.015
2022-05-13,CUS-HLGNW33-MO/H0003,MAKE OVER HYDRASTAY LITE GLOW CUSHION W33 HONEY BEIGE 15 G,0,0,4.2,UPSTREAM LOSS,MAKE OVER,CUS-HLGNW33-MO,LVL05,,
2022-05-13,CUS-HLGNW33-MO/H0003,MAKE OVER HYDRASTAY LITE GLOW CUSHION W33 HONEY BEIGE 15 G,0,1.52,0.36,DOWNSTREAM LOSS,MAKE OVER,CUS-HLGNW33-MO,EMP01,0.01552,0.015
2022-05-31,CUS-REFC02-W/H0002,WARDAH REFILL EXCLUSIVE FLAWLESS COVER CUSHION 02 HONEY BEIGE 15 G,0,0,9,UPSTREAM LOSS,WARDAH,CUS-REFC02-W,LVL07,,
2022-05-31,CUS-REFC02-W/H0002,WARDAH REFILL EXCLUSIVE FLAWLESS COVER CUSHION 02 HONEY BEIGE 15 G,0,8.62,4.46,DOWNSTREAM LOSS,WARDAH,CUS-REFC02-W,CUP01,0.01632,0.015
2022-05-28,CUS-REFC04-W/H0003,WARDAH REFILL EXCLUSIVE FLAWLESS COVER CUSHION 04 NATURAL 15 G,0,0,2.2,UPSTREAM LOSS,WARDAH,CUS-REFC04-W,LVL05,,
2022-05-28,CUS-REFC04-W/H0003,WARDAH REFILL EXCLUSIVE FLAWLESS COVER CUSHION 04 NATURAL 15 G,0,1.17,3.59,DOWNSTREAM LOSS,WARDAH,CUS-REFC04-W,CUP01,0.01576,0.015
2022-05-14,D-RO-KA/H0018,KAHF SOOTHING ANTIPERSPIRANT DEODORANT 50 ML,0,0,6,UPSTREAM LOSS,KAHF,D-RO-KA,LVB01,,
2022-05-09,D-RO-KA/H0017,KAHF SOOTHING ANTIPERSPIRANT DEODORANT 50 ML,0,0,6,UPSTREAM LOSS,KAHF,D-RO-KA,LVB01,,
2022-05-09,D-RO-KA/H0017,KAHF SOOTHING ANTIPERSPIRANT DEODORANT 50 ML,20,9.93,8.88,DOWNSTREAM LOSS,KAHF,D-RO-KA,JAP03,0.05376,0.052815
2022-05-14,D-RO-KA/H0018,KAHF SOOTHING ANTIPERSPIRANT DEODORANT 50 ML,0,0.05,21.11,DOWNSTREAM LOSS,KAHF,D-RO-KA,CUP01,0.05282,0.052815
2022-05-27,EB-SMUEMC-EM/H0002,EMINA SQUEEZE ME UP BROWCARA CLEAR 8 G,0,0,6,UPSTREAM LOSS,EMINA,EB-SMUEMC-EM,LVL05,,
2022-05-27,EB-SMUEMC-EM/H0002,EMINA SQUEEZE ME UP BROWCARA CLEAR 8 G,0,1.79,2.47,DOWNSTREAM LOSS,EMINA,EB-SMUEMC-EM,EMP15,0.00836,0.008
2022-05-11,EC-RRYAG-W/H0003,WARDAH RENEW YOU EYE CREAM 10 G (PC(S)),0,0,12,UPSTREAM LOSS,WARDAH,EC-RRYAG-W,LVL07,,
2022-05-11,EC-RRYAG-W/H0003,WARDAH RENEW YOU EYE CREAM 10 G (PC(S)),0,13.34,22.98,DOWNSTREAM LOSS,WARDAH,EC-RRYAG-W,TUP08,0.01088,0.01
2022-05-17,"EL-ESL-W3,5GR/H0002","WARDAH EYEXPERT STAYLAST LIQUID EYELINER 3,5 GR (PC(S))",0,0,8.8,UPSTREAM LOSS,WARDAH,"EL-ESL-W3,5GR",LVB06,,
2022-05-17,"EL-ESL-W3,5GR/H0002","WARDAH EYEXPERT STAYLAST LIQUID EYELINER 3,5 GR (PC(S))",0,3.66,14.05,DOWNSTREAM LOSS,WARDAH,"EL-ESL-W3,5GR",EMP16,0.00356,0.0035
2022-05-27,EL-EXPELB-W/H0002,WARDAH EYEXPERT PERFECT PRECISION LINER 1 ML,0,0,1,UPSTREAM LOSS,WARDAH,EL-EXPELB-W,LVL05,,
2022-05-23,EL-EXPELB-W/H0001,WARDAH EYEXPERT PERFECT PRECISION LINER 1 ML,0,0,5,UPSTREAM LOSS,WARDAH,EL-EXPELB-W,LVL05,,
2022-05-23,EL-EXPELB-W/H0001,WARDAH EYEXPERT PERFECT PRECISION LINER 1 ML,0,33.98,11.02,DOWNSTREAM LOSS,WARDAH,EL-EXPELB-W,BLP01,0.001,0
2022-05-27,EL-EXPELB-W/H0002,WARDAH EYEXPERT PERFECT PRECISION LINER 1 ML,0,41.5,7.5,DOWNSTREAM LOSS,WARDAH,EL-EXPELB-W,BLP01,0.00112,0
2022-05-31,F-CLCMA-W/H0002,WARDAH COLORFIT MATTE FOUNDATION 11C PINK FAIR 25 ML,0,0,12,UPSTREAM LOSS,WARDAH,F-CLCMA-W,LVL07,,
2022-05-31,F-CLCMA-W/H0002,WARDAH COLORFIT MATTE FOUNDATION 11C PINK FAIR 25 ML,0,3.68,20.02,DOWNSTREAM LOSS,WARDAH,F-CLCMA-W,VMP02,0.02556,0.025
2022-05-18,F-CLCMC-W/H0002,WARDAH COLORFIT MATTE FOUNDATION 23W WARM IVORY 25 ML,0,0,12,UPSTREAM LOSS,WARDAH,F-CLCMC-W,LVL01,,
2022-05-18,F-CLCMC-W/H0002,WARDAH COLORFIT MATTE FOUNDATION 23W WARM IVORY 25 ML,16.2,0,32.37,DOWNSTREAM LOSS,WARDAH,F-CLCMC-W,VMP01,0.025,0.025
2022-05-18,F-CLCMD-W/H0004,WARDAH COLORFIT MATTE FOUNDATION 32N NEUTRAL BEIGE 25 ML,0,0,10,UPSTREAM LOSS,WARDAH,F-CLCMD-W,LVL01,,
2022-05-24,F-CLCMD-W/H0005,WARDAH COLORFIT MATTE FOUNDATION 32N NEUTRAL BEIGE 25 ML,0,0,10.6,UPSTREAM LOSS,WARDAH,F-CLCMD-W,LVL01,,
2022-05-18,F-CLCMD-W/H0004,WARDAH COLORFIT MATTE FOUNDATION 32N NEUTRAL BEIGE 25 ML,19.35,0,15.35,DOWNSTREAM LOSS,WARDAH,F-CLCMD-W,VMP01,0.025,0.025
2022-05-24,F-CLCMD-W/H0005,WARDAH COLORFIT MATTE FOUNDATION 32N NEUTRAL BEIGE 25 ML,0,4.22,22.13,DOWNSTREAM LOSS,WARDAH,F-CLCMD-W,VMP01,0.02552,0.025
2022-05-24,F-CLCMG-W/H0002,WARDAH COLORFIT MATTE FOUNDATION 42N NEUTRAL SAND 25 ML,0,0,10,UPSTREAM LOSS,WARDAH,F-CLCMG-W,LVL07,,
2022-05-24,F-CLCMG-W/H0002,WARDAH COLORFIT MATTE FOUNDATION 42N NEUTRAL SAND 25 ML,0,1.56,10.79,DOWNSTREAM LOSS,WARDAH,F-CLCMG-W,VMP01,0.0254,0.025
2022-05-28,F-EVLLF01-W/H0005,WARDAH EVERYDAY LUMINOUS LIQUID FOUNDATION – 01 NATURAL WHITE 35 ML,0,0,24,UPSTREAM LOSS,WARDAH,F-EVLLF01-W,LVL02,,
2022-05-28,F-EVLLF01-W/H0005,WARDAH EVERYDAY LUMINOUS LIQUID FOUNDATION – 01 NATURAL WHITE 35 ML,0,935.2,40.8,DOWNSTREAM LOSS,WARDAH,F-EVLLF01-W,BOP10,0.0386,0
2022-05-31,F-EVLLF02-W/H0005,WARDAH EVERYDAY LUMINOUS LIQUID FOUNDATION – 02 LIGHT BEIGE 35 ML,0,0,28.4,UPSTREAM LOSS,WARDAH,F-EVLLF02-W,LVL02,,
2022-05-31,F-EVLLF02-W/H0005,WARDAH EVERYDAY LUMINOUS LIQUID FOUNDATION – 02 LIGHT BEIGE 35 ML,0,92.05,22.75,DOWNSTREAM LOSS,WARDAH,F-EVLLF02-W,BOP10,0.03876,0.035
2022-05-27,F-L02VC-OMG/H0002,OMG OH MY GLAM COVERLAST LIQUID FOUNDATION 21 W LIGHT,0,0,10.6,UPSTREAM LOSS,OMG,F-L02VC-OMG,LVL02,,
2022-05-27,F-L02VC-OMG/H0002,OMG OH MY GLAM COVERLAST LIQUID FOUNDATION 21 W LIGHT,0,-10.04,10.04,DOWNSTREAM LOSS,OMG,F-L02VC-OMG,BOP10,0.02708,0.0275475
2022-05-17,F-L03VC-OMG/H0003,OMG OH MY GLAM COVERLAST LIQUID FOUNDATION 31 W BEIGE,0,0,8,UPSTREAM LOSS,OMG,F-L03VC-OMG,LVL02,,
2022-05-17,F-L03VC-OMG/H0003,OMG OH MY GLAM COVERLAST LIQUID FOUNDATION 31 W BEIGE,0,7.67,14.85,DOWNSTREAM LOSS,OMG,F-L03VC-OMG,BOP10,0.02704,0.02649
2022-05-23,F-L05VC-OMG/H0002,OMG OH MY GLAM COVERLAST LIQUID FOUNDATION 41 W SAND,0,0,8,UPSTREAM LOSS,OMG,F-L05VC-OMG,LVL01,,
2022-05-23,F-L05VC-OMG/H0002,OMG OH MY GLAM COVERLAST LIQUID FOUNDATION 41 W SAND,0,1.69,10.8,DOWNSTREAM LOSS,OMG,F-L05VC-OMG,BOP10,0.02708,0.0269175
2022-05-14,F-LLF01-W/H0006,WARDAH LIGHTENING LIQUID FOUNDATION 01. LIGHT BEIGE 25 ML (BLISTER),0,0,15,UPSTREAM LOSS,WARDAH,F-LLF01-W,LVL02,,
2022-05-13,F-LLF01-W/H0005,WARDAH LIGHTENING LIQUID FOUNDATION 01. LIGHT BEIGE 25 ML (BLISTER),0,0,17.4,UPSTREAM LOSS,WARDAH,F-LLF01-W,LVL02,,
