"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"STIC-BCUC22R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCUC32R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCUC33R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCUC43R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCUC52R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCLPF12RR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCLPF13RR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BCLPF14RR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BMKLCCE16R0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BMKLCCE17R0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BMKLCCE18R0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BSAC11RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BSAC22RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BSAC32RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BSAC33RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BSAC43RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-BSAC52RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-FGFP-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Confirmed"
"STIC-GOSFP-MO","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Confirmed"
"STIC-PDGELR1-WPPSB","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWC01R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWC02R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWC03R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWC04R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWC05R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCR01R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCRR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCR02R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCR03R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCR04R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIETWCR05R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIIBBMR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PIISCEPR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PNISCEPR0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWC01R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWC02R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWC03R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWC04R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWC05R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWCR01R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWCR02R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWCR03R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWCR04R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-PQETWCR05R0-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VCUC11R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VCUC22R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VCUC32R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VCUC33R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VCUC43R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VCUC52R0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VIBBM01R1-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VIBBM02R1-W","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VMKLCBE16R0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VMKLCBE17R0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VMKLCBE18R0-OMG","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VSAC11RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VSAC22RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VSAC32RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VSAC33RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VSAC43RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"STIC-VSAC52RR0-IP","Packaging Material","Regular","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
