item_code,product_description
EO-BOHF01-B,Beyondly Essential Blend Oil Hocus Focus 10 ml
EO-BOLC01-B,Beyondly Essential Blend Oil Balancia 10 ml
EO-BOMB01-B,Beyondly Essential Blend Oil Metabolife 10 ml
EO-BORF01-B,Beyondly Essential Blend Oil Roomify 10 ml
EO-BOSH01-B,Beyondly Essential Blend Oil Shield Up 10 ml
EO-BOSN01-B,Beyondly Essential Blend Oil Serenity 10 ml
EO-BOTB01-B,Beyondly Essential Blend Oil Tum Tum Buddy 10 ml
EO-OKDS01-B,Beyondly Blend Oil Kit Daily Sinergy 3 x 10 ml
EO-OKPT01-B,Beyondly Single Oil Kit Primary Three 3 x 10 ml
EO-SOCB01-B,Beyondly Essential Single Oil Clove Bud 10 ml
EO-SOEC01-B,Beyondly Essential Single Oil Eucalyptus 10 ml
EO-SOLD01-B,Beyondly Essential Single Oil Lavender 10 ml
EO-SOLG01-B,Beyondly Essential Single Oil Lemongrass 10 ml
EO-SOLM01-B,Beyondly Essential Single Oil Lemon 10 ml
EO-SOOR01-B,Beyondly Essential Single Oil Orange 10 ml
EO-SOPM01-B,Beyondly Essential Single Oil Peppermint 10 ml
EO-SOTT01-B,Beyondly Essential Single Oil Tea Tree 10 ml
ES-CLPNB-W,Wardah COLORFIT QUAD EYE PALETTE 01 BRUNETTE DAWN 1.8 g
ES-CLPPB-W,Wardah COLORFIT QUAD EYE PALETTE 02 ROSÉ AURORA 1.8 g
ES-CLPWP-W,Wardah COLORFIT QUAD EYE PALETTE 03 SUNLIT BLAZE 1.8 g
"ES-ECL-W3,3GR",Wardah EyeXpert Eyeshadow Classic 3.3 gr
ES-EP01-W,Wardah Exclusive Eyeshadow Palette 01 Sunset Brown 10 g
ES-EP02-W,Wardah Exclusive Eyeshadow Palette 02 Rose Glow 10 g
"ES-EPS-W3,3GR",Wardah EyeXpert Eyeshadow Passionate 3.3 gr
ES-IPA-W,Instaperfect Hypetalk Eyeshadow Pinkish
ES-IPB-W,Instaperfect Hypetalk Eyeshadow Orange
ES-IPSCP-W,Wardah Instaperfect SPOTLIGHT Chromatic Eye Palette 10 g
ES-PARR-MO,MAKE OVER Powerstay Royal Rose Eye Palette 12 x 0.4 g
ES-PAUB-MO,MAKE OVER Powerstay Uptown Bae Eye Palette 12 x 0.4 g
ES-PEP24K-MO,Make Over Powerstay Eye Palette Hall Of Stars 12 x 1.0 g
ES-PEPFTG-MO,Make Over Powerstay Eye Palette Futurist Gleam 12 x 1.0 g
ES-PNU-MO10G,MAKE OVER Eye Shadow Palette Nudes 10 g (Pc(s))
ES-PPR-MO,MAKE OVER Powerstay Eyeshadow Primer 6.5 g
ES-PRPBK-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Brick 3.3 gr (Pc(s))
ES-PRPBS-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Blue 3.3 gr (Pc(s))
ES-PRPCB-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Colorful 3.3 gr (Pc(s))
ES-PRPGI-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Gelato 3.3 gr (Pc(s))
ES-PRPNS-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Nude 3.3 gr (Pc(s))
ES-PRPPH-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Posh 3.3 gr (Pc(s))
ES-PRPRP-EM3.3GR,Emina Pop Rouge Pressed Eye Shadow Romantic 3.3 gr (Pc(s))
ES-PSM-MO10G,MAKE OVER Eye Shadow Palette Smokey 10 g (Pc(s))
ES-SPG-MO2G,MAKE OVER Sparkling Powder Gold 2 g (Pc(S))
ES-SPS-MO2G,MAKE OVER Sparkling Powder Silver 2 g (Pc(s))
ES-TBG-MO6G,MAKE OVER Trivia Eye Shadow Black Goddiva 6 g (Pc(s))
ES-TDOC-MO6G,MAKE OVER Trivia Eye Shadow Dolly Crush 6 g (Pc(s))
ES-TEB-MO6G,MAKE OVER Trivia Eye Shadow Emperor Brown 6 g (Pc(s))
ES-TENS-MO6G,MAKE OVER Trivia Eye Shadow Enchanting Nude Spell 6 g (Pc(s))
ES-TGE-MO6G,MAKE OVER Trivia Eye Shadow Golden Espress 6 g (Pc(s))
ES-TIS-MO6G,MAKE OVER Trivia Eye Shadow Indian Summer 6 g (Pc(s))
ES-TLFS-MO6G,MAKE OVER Trivia Eye Shadow Love At First Sight 6 g (Pc(s))
ES-TMFT-MO6G,MAKE OVER Trivia Eye Shadow Magical Fairy Tale 6 g (Pc(s))
ES-TN-MO6G,MAKE OVER Trivia Eye Shadow Natural Nude 6 g (Pc(s))
ES-TSB-MO6G,MAKE OVER Trivia Eye Shadow Skycrapping Blue 6 g (Pc(s))
"ES-W0I-W3,3GR","Wardah Eye Shadow I  3,3 gr"
"ES-W1A-W3,3GR","Wardah Eye Shadow A  3,3 gr"
"ES-W1G-W3,3GR","Wardah Eye Shadow G  3,3 gr"
F-BWMM01-EM,Emina Bare with Me Mineral Mild Foundation 01 Light 30 ml
F-BWMM02-EM,Emina Bare with Me Mineral Mild Foundation 02 Natural 30 ml
F-BWMM03-EM,Emina Bare with Me Mineral Mild Foundation 03 Caramel 30 ml
F-BWMM04-EM,Emina Bare with Me Mineral Mild Foundation 04 Mocca 30 ml
F-CLCMA-W,Wardah Colorfit Matte Foundation 11C Pink Fair 25 ml
F-CLCMB-W,Wardah Colorfit Matte Foundation 22N Light Ivory 25 ml
F-CLCMC-W,Wardah Colorfit Matte Foundation 23W Warm Ivory 25 ml
F-CLCMD-W,Wardah Colorfit Matte Foundation 32N Neutral Beige 25 ml
F-CLCME-W,Wardah Colorfit Matte Foundation 33W Olive Beige 25 ml
F-CLCMF-W,Wardah Colorfit Matte Foundation 43W Golden Sand 25 ml
F-CLCMG-W,Wardah Colorfit Matte Foundation 42N Neutral Sand 25 ml
F-CLCMH-W,Wardah Colorfit Matte Foundation 52N Almond 25 ml
F-EVLLF01-W,Wardah Everyday Luminous Liquid Foundation – 01 Natural White
F-EVLLF02-W,Wardah Everyday Luminous Liquid Foundation – 02 Light Beige
F-EVLLF03-W,Wardah Everyday Luminous Liquid Foundation – 03 Beige
F-EVLLF04-W,Wardah Everyday Luminous Liquid Foundation – 04 Natural
F-HGFC21-MO,MAKE OVER Hydrastay Glow Fluid Foundation C21 Pink Ivory 34 ml
F-HGFN10-MO,MAKE OVER Hydrastay Glow Fluid Foundation N10 Marble 34 ml
F-HGFN30-MO,MAKE OVER Hydrastay Glow Fluid Foundation N30 Natural Beige 34 ml
F-HGFW22-MO,MAKE OVER Hydrastay Glow Fluid Foundation W22 Warm Ivory 34 ml
F-HGFW33-MO,MAKE OVER Hydrastay Glow Fluid Foundation W33 Honey Beige 34 ml
F-HGFW41-MO,MAKE OVER Hydrastay Glow Fluid Foundation W41 Coral Sand 34 ml
F-HGFW42-MO,MAKE OVER Hydrastay Glow Fluid Foundation W42 Warm Sand 34 ml
F-HGFW50-MO,MAKE OVER Hydrastay Glow Fluid Foundation N50 Tan 34 ml
F-IPSF11-W,Instaperfect SKINFOCUS Cover Foundation 11 Fair Pink 30 ml
F-IPSF12-W,Instaperfect SKINFOCUS Cover Foundation 22 Light Ivory 30 ml
F-IPSF13-W,Instaperfect SKINFOCUS Cover Foundation 32 True Beige 30 ml
F-IPSF14-W,Instaperfect SKINFOCUS Cover Foundation 33 Warm Olive 30 ml
F-IPSF15-W,Instaperfect SKINFOCUS Cover Foundation 43 Creme Sand 30 ml
F-IPSF16-W,Instaperfect SKINFOCUS Cover Foundation 52 Almond 30 ml
F-L01-OMG,OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory
F-L02-OMG,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light
F-L03-OMG,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige
F-L04-OMG,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural
F-L05-OMG,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand
F-L06-OMG,OMG Oh My Glam Coverlast Liquid Foundation 52 N Caramel
F-LLF01-W,Wardah Lightening Liquid Foundation 01. Light Beige 25 ml (Blister)
F-LLF02-W,Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister)
F-LLF03-W,Wardah Lightening Liquid Foundation 03. Ivory 25 ml (Blister)
F-LLF04-W,Wardah Lightening Liquid Foundation 04. Natural 25 ml (Blister)
F-LLFM-W,Wardah Lightening Liquid Foundation 01. Light Beige 6 ml
F-LLFM2-W,Wardah Lightening Liquid Foundation 02. Beige 6 ml
F-LLFM3-W,Wardah Lightening Liquid Foundation 03. Ivory 6 ml
F-LLFM4-W,Wardah Lightening Liquid Foundation 04. Natural 6 ml
F-LPWC21-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation C21 Pink Ivory 33 ml
F-LPWC41-MO,Make Over Powerstay Weightless Liquid Foundation C41 Cool Sand
F-LPWC62-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation C62 Rich Cocoa 33 ml
F-LPWFC31-MO,Make Over Powerstay Weightless Liquid Foundation C31 Pink Beige
F-LPWFWC51-MO,Make Over Powerstay Weightless Liquid Foundation C51 Cool Tan
F-LPWN10-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation N10 Marble 33 ml
F-LPWN20-MO,MAKE OVER Powerstay Weightless Liquid Foundation N20 Ivory 33 ml
F-LPWN30-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation N30 Natural Beige 33 ml
F-LPWN40-MO,MAKE OVER Powerstay Weightless Liquid Foundation N40 Sand 33 ml
F-LPWN50-MO,MAKE OVER Powerstay Weightless Liquid Foundation N50 Tan 33 ml
F-LPWW12-MO,Make Over Powerstay Weightless Liquid Foundation W12 Warm Marble
F-LPWW21-MO,Make Over Powerstay Weightless Liquid Foundation W21 Coral Ivory
F-LPWW22-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation W22 Warm Ivory 33 ml
F-LPWW30-MO,MAKE OVER Powerstay Weightless Liquid Foundation W30 Creme Beige 33 ml
F-LPWW32-MO,Make Over Powerstay Weightless Liquid Foundation W32 Warm Beige
F-LPWW33-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation W33 Honey Beige 33 ml
F-LPWW41-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation W41 Coral Sand 33 ml
F-LPWW42-MO33ML,MAKE OVER Powerstay Weightless Liquid Foundation W42 Warm Sand 33 ml
F-LPWW50-MO,Make Over Powerstay Weightless Liquid Foundation W50 Creme Tan
F-LPWW60-MO,Make Over Powerstay Weightless Liquid Foundation W60 Creme Cocoa
F-LUC01-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 01 Ochre 33 ml (Pc(s))
F-LUC02-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 02 Pink Shade 33 ml (pc(s))
F-LUC03-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 03 Nude Silk 33 ml (pc(s))
F-LUC04-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 04 Amber Rose 33 ml (Pc(s))
F-LUC05-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 05 Velvet Nude 33 ml (pc(s))
F-LUC06-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 06 Beige Blast 33 ml (pc(s))
F-LUC07-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 07 Caramel 33 ml (pc(s))
F-LUC08-MO33ML,Make Over Ultra Cover Liquid Matt Foundation 08 Pearl 33 ml (Pc(s))
F-LUC09-MO33ML,MAKE OVER Ultra Cover Liquid Matt Foundation 09 Crème Rose 33 ml (pc(s))
F-PTCMCC62-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation C62 Rich Cocoa 12 g
F-PTCMCN10-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation N10 Marble 12 g
F-PTCMCN30-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation N30 Natural Beige 12 g
F-PTCMCN50-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation N50 Tan 12 g
F-PTCMCW22-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation W22 Warm Ivory 12 g
F-PTCMCW33-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation W33 Honey Beige 12 g
F-PTCMCW42-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation W42 Warm Sand 12 g
F-PTCMCW52-MO,MAKE OVER Powerstay Total Cover Matte Cream Foundation W52 Warm Tan 12 g
F-RECF01-W,Wardah Exclusive Creamy Foundation 01 Light Beige 12 g
F-RECF02-W,Wardah Exclusive Creamy Foundation 02 Sheer Pink 12 g
F-RELF01-W,Wardah Exclusive Liquid Foundation 01 Light Beige 20 ml
F-RELF02-W,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml
F-RELF03-W,Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml
F-RELF04-W,Wardah Exclusive Liquid Foundation 04 Natural 20 ml
F-RELF05-W,Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml
F-RRELF01-W,Wardah Exclusive Liquid Foundation 01 Light Beige 20 ml
F-RRELF02-W,Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml
F-RRELF03-W,Wardah Exclusive Liquid Foundation 03 Sandy Beige 20 ml
F-RRELF04-W,Wardah Exclusive Liquid Foundation 04 Natural 20 ml
F-RRRELF05-W,Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml
F-RVLPWC21-MO,MAKE OVER Powerstay Weightless Liquid Foundation C21 Pink Ivory 33 ml
F-RVLPWC41-MO,MAKE OVER Powerstay Weightless Liquid Foundation C41 Cool Sand 33 ml
F-RVLPWC51-MO,MAKE OVER Powerstay Weightless Liquid Foundation C51 Cool Tan 33 ml
F-RVLPWC62-MO,MAKE OVER Powerstay Weightless Liquid Foundation C62 Rich Cocoa 33 ml
F-RVLPWFC31-MO,MAKE OVER Powerstay Weightless Liquid Foundation C31 Pink Beige 33 ml
F-RVLPWN10-MO,MAKE OVER Powerstay Weightless Liquid Foundation N10 Marble 33 ml
F-RVLPWN20-MO,MAKE OVER Powerstay Weightless Liquid Foundation N20 Ivory 33 ml
F-RVLPWN30-MO,MAKE OVER Powerstay Weightless Liquid Foundation N30 Natural Beige 33 ml
F-RVLPWN40-MO,MAKE OVER Powerstay Weightless Liquid Foundation N40 Sand 33 ml
F-RVLPWN50-MO,MAKE OVER Powerstay Weightless Liquid Foundation N50 Tan 33 ml
F-RVLPWW12-MO,MAKE OVER Powerstay Weightless Liquid Foundation W12 Warm Marble 33 ml
F-RVLPWW21-MO,MAKE OVER Powerstay Weightless Liquid Foundation W21 Coral Ivory 33 ml
F-RVLPWW22-MO,MAKE OVER Powerstay Weightless Liquid Foundation W22 Warm Ivory 33 ml
F-RVLPWW30-MO,MAKE OVER Powerstay Weightless Liquid Foundation W30 Creme Beige 33 ml
F-RVLPWW32-MO,MAKE OVER Powerstay Weightless Liquid Foundation W32 Warm Beige 33 ml
F-RVLPWW33-MO,MAKE OVER Powerstay Weightless Liquid Foundation W33 Honey Beige 33 ml
F-RVLPWW41-MO,MAKE OVER Powerstay Weightless Liquid Foundation W41 Coral Sand 33 ml
F-RVLPWW42-MO,MAKE OVER Powerstay Weightless Liquid Foundation W42 Warm Sand 33 ml
F-RVLPWW50-MO,MAKE OVER Powerstay Weightless Liquid Foundation W50 Creme Tan 33 ml
F-RVLPWW60-MO,MAKE OVER Powerstay Weightless Liquid Foundation W60 Creme Cocoa 33 ml
FA-CLFLMHCP-W,Wardah Colorfit Highlight Contour Palette 01 Light
FA-CLFMDHCP-W,Wardah Colorfit Highlight Contour Palette 02 Medium
FA-CLHP-EM,Emina Cheek Lit Highlighter Powder Nudesparkle 3.8 g
FA-CPFTSL-TA,Tavi Color Play Face Tint Sunshine Love 9 g
FA-CPFTSN-TA,Tavi Color Play Face Tint Sunset Nectar 9 g
FA-EGH-W,Wardah Exclusive Glowing Highlighter 6.5 g
FA-IPLGH01-W,Instaperfect Hi Glow Fluid Highlighter Moonstone
FA-IPLGH02-W,Instaperfect Hi Glow Fluid Highlighter Rose Quartz
FA-PFMS-MO50ML,MAKE OVER Powerstay Fix & Matte Makeup Setting Spray 50 ml
FA-RGH-MO13G,MAKE OVER Riche Glow Face Highlighter 13 g
FA-UGHP-MO,MAKE OVER Powerstay Ultra Glow Highlighter 3 x 3.5 g 
FL-P1-P720,Putri Pustreite Step 2 720 ML (Pc(s))
FM-2IN1S-EM,Emina 2 in 1 Scrub Mask 50 ml
FM-AH-EM60ML,Emina Avocado Honey Face Mask 60 ml 
FM-AIS-EM30G,Emina Aqua Infused Sleeping Mask 30 g
FM-B7DM-EM,Emina Bundling 7 Days Masquerade Face Mask
FM-CDS-W,Wardah C-Defense Sleeping Mask 30 g
FM-CMB-EM,Emina Clay Mask Brightening 60 ml
FM-CMSC-EM,Emina Clay Mask Sebum Control 60 ml
FM-CMSS-EM,Emina Clay Mask Soothe & Smooth 60 ml
FM-GS-EM60ML,Emina Grape Seed Olive Face Mask 60 ml (Pc(s))
FM-MBLU-EM,Emina Masquerade Face Mask Blueberry 23 g
FM-MCAC-EM,Emina Masquerade Face Mask Cactus 23 g
FM-MCC-W60ML,Wardah Nature Daily Mineral+ Clarifying Clay Mask 60 ml
FM-MCHAR-EM,Emina Masquerade Face Mask Charcoal 23 g
FM-MGRA-EM,Emina Masquerade Face Mask Grapefruit 23 g
FM-MGT-EM60ML,Emina Green Tea Latte Face Mask 60 ml (Pc(s))
FM-MPO-EM,Emina Masquerade Face Mask Pomegranate 23 g
FM-MRI-EM,Emina Masquerade Face Mask Rice 23 g
FM-MTTO-EM,Emina Masquerade Face Mask Tea Tree Oil 23 g
FM-NDAAB-W,Wardah Nature Daily Amazonian Acai Berry Antioxidant Capsule Mask 10 ml
FM-NDASR-W,Wardah Nature Daily Alpine Apple Nutritive Gel Capsule Mask 10 ml
FM-NDOES-W,Wardah Nature Daily Milky Oat Exfoliating Scrub Capsule Mask 10 ml
FM-NDOPB-W,Wardah Nature Daily Orange Pomelo Brightening Wash Off Capsule Mask 10 ml
FM-NDTOC-W,Wardah Nature Daily Tea Tree Oil Control Clay Capsule Mask 10 ml
FM-RLN2-W,Wardah Lightening Blue Clay Mask 50 g
FM-SL-EM60ML,Emina Cranberry Juice Face Mask 60 ml
FMI-AV-EM,Emina Aloe Vera Face Mist 60 ml
FMI-BR-L,LABORÉ Sensitive Skin Care GentleBiome Face Mist 100 ml
FMI-CDFM-W55ML,Wardah C-Defense Face Mist 55 ml (Pc(s))
FMI-LGT-W,Wardah Lightening Face Mist 60 ml
FMI-MS-KA,Kahf Everyday Multipurpose Refreshing Spray 100 ml
FMI-US3IN1-TA,Tavi Urban Shield 3 in 1 Super Fine Mist 90 ml
FS-AJ-EM60ML,Emina Apricot Jam Face Scrub 60 ml (Pc(s))
FS-BSFS-EM,Emina Bright Stuff Face Scrub 50 ml
FS-NFSGE-KA,Kahf NFS Gentle Exfoliating Face Scrub 8 ml
FS-RLN2-W,Wardah Lightening Gentle Exfoliator 50 ml
FS-SB-W60ML,Wardah Nature Daily Seaweed Balancing Facial Scrub 60 ml
FT-AN1-EM,Emina Natura Pal Toner Essence 100 ml
FT-BSE-EM,Emina Bright Stuff Exfoliating Toner 100 ml
FT-BST-EM,Emina Bright Stuff Face Toner 100 ml
FT-BSTN2-EM,Emina Bright Stuff Face Toner 50 ml
FT-CHG-W,Wardah Crystallure Holy Grail Toner 100 ml
FT-DTM-EM50ML,Emina Double The Moist Face Toner 50 ml (Pc(s))
FT-FT-OMG,OMG Oh My Glow Peach Glowing Toner
FT-GSEH-L,LABORÉ Sensitive Skin Care GentleBiome Hydration Toner 100 ml
FT-GSEH30-L,LABORÉ Sensitive Skin Care GentleBiome Hydration Toner 30 ml
FT-GT-TA,Tavi 5 % Natural PHA + BHA Retexture Toner 100 ml
FT-KFT-KA,Kahf All-in-One Power Toning Face Spray 100 ml
FT-LFT-W,Wardah Lightening Face Toner 125 ml
FT-MPBHA-EM,Emina Ms. Pimple Acne Solution Exfoliating Toner 100 ml
FT-NDATE-W,Wardah Nature Daily Aloe Hydramild Essence Toner 100 mL
FT-NFSGSEH30-L,LABORÉ Sensitive Skin Care NFS GentleBiome Hydration Toner 30 ml
FT-PHASN1-EM,Emina Ms. Pimple Acne Solution Face Toner 50 ml
FT-PHPRA-TA,Tavi 2 Phase Pre Acne Toner 100 ml
FT-PSTE-MO,Make Over Powerskin Toner Essence 100 ml
FT-RIHT-W,Wardah Hydra Rose Petal Infused Toner 100 ml
FT-RPHASN2-EM,Emina Ms. Pimple Face Toner 100 ml (NEW)
FT-RWSABHA-W,Wardah Crystal Secret Exfoliating Toner with Natural AHA+PHA 125 ml
FT-SBFT-EM,Emina Skin Buddy Face Toner 100 ml
FT-SBFTN2-EM,Emina Skin Buddy Face Toner 50 ml
FW-3IN1PC-KA,Kahf Triple Action Oil and Comedo Defense Face Wash 100 ml
FW-AG-TA,Tavi Amino Gentle Cleanser 100 ml
FW-AH-W100ML,Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml
FW-AH-W60ML,Wardah Nature Daily Aloe Hydramild Facial Wash 60 ml
FW-AN1-EM,Emina Natura Pal Gel Cleanser 100 ml
FW-BS-EM50ML,Emina Bright Stuff Face Wash 50 ml
FW-BSACNE-EM,Emina Bright Stuff for Acne Prone Skin Face Wash 100 ml
FW-BSACNEN2-EM,Emina Bright Stuff for Acne Prone Skin Face Wash 50 ml
FW-BSN2-EM,Emina Bright Stuff Face Wash 100 ml
FW-BSW-EM,Emina Bright Stuff Whip Face Wash 50 ml
FW-CD-W100ML,Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))
FW-CD-W60ML,Wardah C-Defense Energizing Creamy Wash 60 ml (Pc(s))
FW-CDEWN1-W,Wardah C-Defense Energizing Whip Foam 50 ml
FW-CDEWN2-W,Wardah C-Defense Energizing Whip Foam 100 ml
FW-CFW-W,Wardah Crystallure Moisture Rich Cleansing Foam 100 ml
FW-CSGC01-B,Beyondly Glowlasting Collagen Cleanser 100 ml
FW-FW01-KA,Kahf Gentle Exfoliating Face Scrub 100 ml
FW-FWN1-OMG,OMG Oh My Glow Peach Glowing Face Wash 9 gr
FW-FWN2-OMG,OMG Oh My Glow Peach Glowing Face Wash 50 gr
FW-GS-L,LABORÉ Sensitive Skin Care GentleBiome Mild Cleanser 100 ml
FW-GSN2-L,LABORÉ Sensitive Skin Care GentleBiome Mild Cleanser 225 ml
FW-GSN3-L,LABORÉ Sensitive Skin Care GentleBiome Mild Cleanser 15 ml
FW-LMGWN1-W,Wardah Lightening Micellar Gentle Wash 50 ml
FW-LMGWN2-W,Wardah Lightening Micellar Gentle Wash 100 ml
FW-LWFN1-W,Wardah Lightening Whip Facial Foam 50 ml
FW-LWFN2-W,Wardah Lightening Whip Facial Foam 100 ml
FW-MCF-W100ML,Wardah Nature Daily Mineral+ Clarifying Facial Foam 100 ml
FW-MCF-W60ML,Wardah Nature Daily Mineral+ Clarifying Facial Foam 60 ml
FW-NFS3IN1PC-KA,Kahf NFS Triple Action Oil and Comedo Defense Face Wash 8 ml
FW-NFSGS-L,LABORÉ Sensitive Skin Care NFS GentleBiome Mild Cleanser 15 ml
FW-NFSPCSAC8-KA,Kahf NFS Skin Energizing and Brightening Face Wash 8 ml
FW-NFSPCSRB8-KA,Kahf NFS Oil and Acne Care Face Wash 8 ml
FW-PBCFLSN3-W,Wardah Perfect Bright Creamy Foam Brightening + Smoothing 6 x 20 ml
FW-PBCFLSN3H-W,Wardah Perfect Bright Creamy Foam Brightening + Smoothing with Hanger 6 x 20 ml
FW-PBNW100-W,Wardah Perfect Bright Cooling Bright Jelly Facial Foam 100 ml
FW-PCSAC-KA,Kahf Oil and Acne Care Face Wash 100 ml
FW-PCSRB-KA,Kahf Skin Energizing and Brightening Face Wash 100 ml
FW-PHAS-EM50ML,Emina Ms. Pimple Acne Solution Face Wash 50 ml
FW-RHMF-W,Wardah Hydra Rose Gel to Foam cleanser 100 ml
FW-RPBCFLO100-W,Wardah Perfect Bright Creamy Foam Bright + Oil Control 100 ml
FW-RPBCFLO50-W,Wardah Perfect Bright Creamy Foam Bright + Oil Control 50 ml
FW-RPBCFLS100-W,Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 100 ml
FW-RPBCFLS50-W,Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 50 ml
FW-RPBCFLSN3-W,Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 6 x 20 ml (Non Hanger)
FW-RPBCFLSN3H-W,Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 6 x 20 ml (Hanger)
FW-RRYAG-W,Wardah Renew You Facial Wash 100 ml (Pc(s))
FW-RWSABHA-W,Wardah Crystal Secret Foaming Cleanser with Natural AHA+PHA 100 ml
FW-SB-W60ML,Wardah Nature Daily Seaweed Balancing Facial Wash 60 ml
FW-SBRDBL-EM,Emina Skin Buddy Bubble Up Face Wash 60 ml
FW-SBRDBR-EM,Emina Skin Buddy Dot Burst Face Wash 60 ml
HBL-AHMG-W100ML,Wardah Nature Daily Aloe Hydramild Multifunction Gel 100 ml
HBL-AVG-EM,Emina Aloe Vera Gel 60 ml
HBL-ETBMAN2-W,Earth Love Life East Balinese Bamboo & Oriental Mint Body Lotion Serum 250 ml
HBL-ETBMBN2-W,Earth Love Life Javanese Moringa & Balinese Starfruit Body Lotion Serum 250 ml
HBL-ETBMCN2-W,Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Lotion Serum 250 ml
HBL-ETBMDN2-W,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Lotion Serum 250 m
HBL-ETBMEN2-W,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Gel Serum 250 ml
HBL-GM-L,LABORÉ Sensitive Skin Care GentleBiome Body Lotion 250 ml
HBL-GMN2-L,LABORÉ Sensitive Skin Care GentleBiome Body Lotion 40 mL
HBL-RAHMG-W,Wardah Nature Daily Aloe Multifunction Gel 100 ml
HBL-V1-WL,Wonderly Brightening Serum Body Lotion Fearless 300 ml
HBL-V2-WL,Wonderly Brightening Serum Body Lotion Royale 300 ml
HBL-V3-WL,Wonderly Brightening Serum Body Lotion Voyage 300 ml
HBL-V4-WL,Wonderly Brightening Serum Body Lotion Amore 300 ml
HBL-V5-WL,Wonderly Brightening Serum Exfoliating Lotion Mode 300 ml
HBW-BBSBAT-WL,Wonderly Brightening Serum Body Wash Amore 315 ml
HBW-BBSYHA-WL,Wonderly Brightening Serum Body Wash Fearless 315 ml
HBW-BBSYHB-WL,Wonderly Brightening Serum Body Wash Royale 315 ml
HBW-BBSYHC-WL,Wonderly Brightening Serum Body Wash Voyage 315 ml
HBW-BWN1A-BD,Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 275 ml
HBW-BWN1C-BD,Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 275 ml
HBW-BWN1D-BD,Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 275 ml
HBW-BWN2A-BD,Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Pouch 400 ml
HBW-BWN2C-BD,Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 400 ml
HBW-BWN2D-BD,Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Pouch 400 ml
HBW-BWN5A-BD,Biodef Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami Botol 550 ml
HBW-BWN5C-BD,Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Botol 550 ml
HBW-BWN5D-BD,Biodef Natural Protection Mint + Yuzu Body Wash Antiseptik Alami Botol 550 ml
