SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
EXTR-RMGE-X;2100037;1;4;7;25;25;HALDIN PACIFIC SEMESTA, PT;840;202104;
EXTR-RSWTRB-X;2304999;1;1;2;20;20;INDESSO AROMA, PT;841;202151;
EXTR-RW-R-X;2100062;1;12;7;200;200;NARDEVCHEM KEMINDO, PT;842;202104;
EXTR-SILVBG30-X;2100040;1;10;2;10;10;IMCD INDONESIA, PT;843;202104;
EXTR-SLGL-X;2100037;1;4;7;25;25;HALDIN PACIFIC SEMESTA, PT;844;202107;
EXTR-STBGE-X;2100037;1;4;7;25;25;HALDIN PACIFIC SEMESTA, PT;845;202104;
EXTR-STRFE-X;2100041;1;4;2;25;25;INDOKEMIKA JAYATAMA, PT;846;202152;
EXTR-SWDGE-X;2100037;1;4;7;25;25;HALDIN PACIFIC SEMESTA, PT;847;202104;
EXTR-VNLGE-X;2100037;1;8;2;25;25;HALDIN PACIFIC SEMESTA, PT;848;202152;
EXTR-WLETG-X;2100079;1;10;7;5;5;SINERGI MULTI LESTARINDO, PT;849;202131;
EXTR-WMDEXP105-X;2100060;1;2;7;5;5;MERPATI MAHARDIKA, PT;850;;
EXTR-WTCHPF-X;2100058;1;12;2;5;5;MENJANGAN SAKTI, PT;851;202104;
EXTR-WTGLY-X;2100037;1;4;7;25;25;HALDIN PACIFIC SEMESTA, PT;852;;
FIBR-NFCB-X;2100050;1;20;2;10;5;KEMIKO INDONESIA, PT;853;202104;
FILM-54ID-X;2100031;0;16;2;15;15;GLOBAL CHEMINDO MEGATRADING, PT;854;202104;
FILM-KOBOHRPC-X;2100050;1;20;2;25;25;KEMIKO INDONESIA, PT;855;202104;
FLMR-5760-X;2100009;1;10;2;25;25;BEHN MEYER CHEMICAL, PT;856;202104;
FLMR-AV2F-X;2100021;1;20;2;20;20;DKSH INDONESIA, PT;857;202201;
FLMR-DMRLC-X;2100040;1;18;2;20;20;IMCD INDONESIA, PT;858;202104;
FLMR-DSTY-X;2100050;1;20;2;5;5;KEMIKO INDONESIA, PT;859;202104;
FLMR-ELS7P-X;2100057;1;16;2;25;25;MEGA SETIA AGUNG KIMIA, PT;860;202201;
FLMR-SYKLCG-X;2100009;1;10;2;5;5;BEHN MEYER CHEMICAL, PT;861;202139;
FUCO-15PSLB-X;2100005;1;16;2;25;25;AVANTCHEM, PT;862;202104;
GARA-RFS-X;2100057;1;6;2;25;25;MEGA SETIA AGUNG KIMIA, PT;863;202104;
GARA-VCNI-X;2100057;1;7;2;25;25;MEGA SETIA AGUNG KIMIA, PT;864;202104;
GLUC--MC;2100058;1;18;2;20;20;MENJANGAN SAKTI, PT;865;202104;
GLUZ-GLUZ-;2100085;1;20;2;20;20;TRITUNGGAL ARTHA MAKMUR, PT;866;202104;
GLYA-ACAHA-DP;2100078;1;12;2;20;20;SEROJA BUMI PERSADA, PT;867;202104;
GLYA-THA99-X;2100062;1;12;2;20;20;NARDEVCHEM KEMINDO, PT;868;202104;
GLYC--ECOS-K;2100041;1;8;2;250;250;INDOKEMIKA JAYATAMA, PT;869;202104;
GLYC-MS-CGGMS_N/EB25;2308095;1;20;2;25;25;CRODA TRADING INDONESIA, PT;870;202104;
GOHS-GS05C-X;2100079;1;12;2;20;20;SINERGI MULTI LESTARINDO, PT;871;202104;
GOHS-GS40C-X;2100079;1;12;2;20;20;SINERGI MULTI LESTARINDO, PT;872;202104;
GULA-R1-X;2300733;1;8;7;25;25;BERKAH MANIS MAKMUR, PT;873;202104;
H2O2-PO-;2100021;1;6;2;35;35;DKSH INDONESIA, PT;874;202104;
HAIM-DIS-X;2100062;1;12;2;15;15;NARDEVCHEM KEMINDO, PT;875;202104;
HALL-BHB-X;2100052;1;20;2;760;190;LAUTAN LUAS, PT;876;202104;
HCR-MHPBS-X;2100052;1;16;2;180;180;LAUTAN LUAS, PT;877;202118;
HDRL-GLDWBZ-X;2100094;1;18;7;25;25;BASF DISTRIBUTION INDONESIA, PT;878;202104;
HFBO-57137-X;2100037;1;4;2;25;25;HALDIN PACIFIC SEMESTA, PT;879;202233;
HUM-13BG-X;2100005;1;16;2;200;200;AVANTCHEM, PT;880;202104;
HUM-DGCRS-X;2100055;1;14;2;20;20;MARGA DWI KENCANA, PT;881;202104;
HUM-DPGCR-X;2100094;1;16;2;215;215;BASF DISTRIBUTION INDONESIA, PT;882;;
HUM-GLU20-X;2100085;1;20;2;227;227;TRITUNGGAL ARTHA MAKMUR, PT;883;202104;
HUM-HXLGLC-X;2100021;1;20;2;185;185;DKSH INDONESIA, PT;884;202119;
HUM-HYTGEST-X;2100085;1;20;2;15.9;15.9;TRITUNGGAL ARTHA MAKMUR, PT;885;202104;
HUM-PG400-X;2100057;1;20;2;220;220;MEGA SETIA AGUNG KIMIA, PT;886;202104;
HUM-PG400C-X;2300947;1;24;2;220;220;CLARIANT INDONESIA, PT;887;202106;
HUM-PGUEP-X;2100057;0.5;12;2;215;215;MEGA SETIA AGUNG KIMIA, PT;888;202151;
HUM-PGUEP-X;2100067;0.5;12;2;215;215;PELITA ABADI SENTOSA, PT;889;202151;
HUM-RG26LQSG-X;2308095;1;16;2;200;200;CRODA TRADING INDONESIA, PT;890;202104;
HYA-AC511H-X;2100057;1;16;2;20;20;MEGA SETIA AGUNG KIMIA, PT;891;202104;
IPM-CRDSG-X;2308095;1;20;2;175;175;CRODA TRADING INDONESIA, PT;892;202104;
KAOL-JP100-X;2100050;1;7;2;20;20;KEMIKO INDONESIA, PT;893;202225;
KAOL-JP100-X;2100057;1;7;2;20;20;MEGA SETIA AGUNG KIMIA, PT;894;202104;
KATH---K;2100099;1;12;2;20;20;CONNELL BERSAUDARA CHEMINDO, PT;895;202104;
KATI-JGRC14-X;2100012;1;14;2;100;25;BRENNTAG ,PT;896;202104;
KELT-CG-X;2100055;1;20;7;25;25;MARGA DWI KENCANA, PT;897;202104;
KOH--PH-K;2100057;0.45;8;2;25;25;MEGA SETIA AGUNG KIMIA, PT;898;202104;
KOH--PH-K;2308371;0.55;4;2;1000;25;PANCA KUSUMA RAYA, PT;899;202104;
LAN-99-X;2100057;1;16;2;180;180;MEGA SETIA AGUNG KIMIA, PT;900;202104;
LANO-AN--K;2100057;1;16;2;185;185;MEGA SETIA AGUNG KIMIA, PT;901;202104;
LAUR-A9912-X;2100085;1;12;2;25;25;TRITUNGGAL ARTHA MAKMUR, PT;902;202104;
LBRJ-IIXD-X;2100021;1;20;2;20.4;20.4;DKSH INDONESIA, PT;903;202104;
LCO-57138-X;2100037;1;4;2;25;25;HALDIN PACIFIC SEMESTA, PT;904;202233;
LEMG-850017-X;2304999;1;4;2;5;5;INDESSO AROMA, PT;905;202226;
LEMO-850000-X;2304999;1;4;2;5;5;INDESSO AROMA, PT;906;202226;
LICO-D-EXTPT40-G;2100040;1;10;2;100;100;IMCD INDONESIA, PT;907;202104;
LILI-FL70-X;2100052;1;20;7;10;10;LAUTAN LUAS, PT;908;202104;
LILI-HRC22-X;2308095;1;16;2;25;25;CRODA TRADING INDONESIA, PT;909;202104;
LVDR-850007-X;2304999;1;4;2;5;5;INDESSO AROMA, PT;910;202226;
MATR-3000-X;2308095;1;20;2;50;50;CRODA TRADING INDONESIA, PT;911;202104;
MATR-P5P3--K;2308095;1;20;7;10;10;CRODA TRADING INDONESIA, PT;912;202104;
MATS-MCM100-X;2100057;1;12;2;25;25;MEGA SETIA AGUNG KIMIA, PT;913;202104;
MBO-57135-X;2100037;1;4;2;25;25;HALDIN PACIFIC SEMESTA, PT;914;202233;
MC3-30-SF;2100057;1;16;2;180;180;MEGA SETIA AGUNG KIMIA, PT;915;202104;
MC3-300-SF;2100057;1;16;2;170;170;MEGA SETIA AGUNG KIMIA, PT;916;202104;
MEA-8350-X;2100058;1;24;2;37.5;37.5;MENJANGAN SAKTI, PT;917;202104;
MEA-BASF--DRUM;2100031;1;20;2;210;210;GLOBAL CHEMINDO MEGATRADING, PT;918;202104;
MEDI-MDL-MGS;2300947;1;4;2;800;800;CLARIANT INDONESIA, PT;919;202104;
MENT--CEPB-K;2100048;1;8;2;50;25;JUTA RASA ABADI, PT;920;202104;
MENT-FRGHS-X;2100099;1;12;7;5;5;CONNELL BERSAUDARA CHEMINDO, PT;921;202104;
MERQ-MQ2001P-X;2100085;1;12;2;200;200;TRITUNGGAL ARTHA MAKMUR, PT;922;202104;
MERQ-MQ550PP-X;2100085;1;12;2;200;200;TRITUNGGAL ARTHA MAKMUR, PT;923;202104;
MICA--SIOI2-K;2100050;1;20;2;20;20;KEMIKO INDONESIA, PT;924;202104;
MICA-FHSMLP-X;2100050;1;20;2;20;20;KEMIKO INDONESIA, PT;925;202104;
MICA-LLMC5500-X;2100050;1;20;2;15;15;KEMIKO INDONESIA, PT;926;202104;
MICA-SYR1F-X;2100018;1;14;2;20;20;COLORINDO CHEMTRA, PT;927;202104;
MICO-MICBTMS50-X;2100052;1;14;2;20;20;LAUTAN LUAS, PT;928;202104;
MICP-511-;2100018;1;2;2;15;15;COLORINDO CHEMTRA, PT;929;;
MICP-M511-X;2100018;1;16;2;5;5;COLORINDO CHEMTRA, PT;930;202104;
MOIS-APCAPGA-X;2100055;1;8;2;10;10;MARGA DWI KENCANA, PT;931;;
MOIS-EPDRMST-X;2100055;1;8;7;5;5;MARGA DWI KENCANA, PT;932;;
MOIS-HYDGLC-X;2100094;1;8;2;5;5;BASF DISTRIBUTION INDONESIA, PT;933;;
MOIS-LPBGCR-X;2100018;1;8;2;1;1;COLORINDO CHEMTRA, PT;934;202213;
MOIS-PRDSX-X;2100052;1;12;7;22;22;LAUTAN LUAS, PT;935;202135;
MOIS-PTVT-X;2100085;1;12;7;1;1;TRITUNGGAL ARTHA MAKMUR, PT;936;202104;
MOIS-RHH15P-X;2100005;1;16;2;25;25;AVANTCHEM, PT;937;202104;
MOIS-RNGBC-X;2100094;1;18;7;0.5;0.5;BASF DISTRIBUTION INDONESIA, PT;938;202135;
MOIS-RQPO260-X;2100021;1;4;7;25;25;DKSH INDONESIA, PT;939;202104;
MOIS-TR100-X;2100021;1;12;7;20;20;DKSH INDONESIA, PT;940;202104;
MOIS-XYL-X;2303471;1;12;2;50;50;WIKA INTINUSA NIAGATAMA, PT;941;202104;
MOIST-VS68M-X;2100052;1;4;2;170;170;LAUTAN LUAS, PT;942;202121;
MONO-SPAHD-X;2100038;1;2;2;25;25;HALIM SAKTI PRATAMA, PT;943;;
MWAX-SP19-X;2100013;1;20;2;25;25;BRONSON & JACOBS INDONESIA, PT;944;202107;
MYRI-MYTM-X;2100085;1;12;2;25;25;TRITUNGGAL ARTHA MAKMUR, PT;945;202104;
MYRI-SOCI-X;2100076;1;4;2;25;25;ROLIMEX KIMIA NUSAMAS;946;202104;
NEUT-CSSFL-X;2308371;1;4;2;25;25;PANCA KUSUMA RAYA, PT;947;;
NEUT-LM-X;2100058;1;12;2;5;1;MENJANGAN SAKTI, PT;948;202104;
NIKK-EP30-X;2100040;1;6;2;20;20;IMCD INDONESIA, PT;949;202212;
NIPA-G--K;2300947;1;28;2;25;25;CLARIANT INDONESIA, PT;950;202104;
NIPA-S--K;2300947;1;28;2;25;25;CLARIANT INDONESIA, PT;951;202104;
NOM-SG-X;2100050;1;12;2;1;1;KEMIKO INDONESIA, PT;952;202104;
NT---K;2100050;1;12;2;180;180;KEMIKO INDONESIA, PT;953;202104;
NUTR-NTKWPP-X;2100094;1;18;7;25;25;BASF DISTRIBUTION INDONESIA, PT;954;202104;
OIL-A850029-X;2304999;1;16;7;5;5;INDESSO AROMA, PT;955;202104;
OIL-ARG-X;2100058;1;20;2;10;10;MENJANGAN SAKTI, PT;956;202104;
OIL-AVSB-X;2100031;1;16;2;5;5;GLOBAL CHEMINDO MEGATRADING, PT;957;202104;
OIL-BLWHMO-X;2100099;1;16;2;177;177;CONNELL BERSAUDARA CHEMINDO, PT;958;202104;
OIL-CA-MS;2100021;1;20;2;195;195;DKSH INDONESIA, PT;959;202104;
OIL-CO-F;2100021;1;12;7;16;16;DKSH INDONESIA, PT;960;202104;
OIL-EVPRO-X;2100062;1;16;2;23;23;NARDEVCHEM KEMINDO, PT;961;202147;
OIL-K--K;2100057;1;2;7;16;16;MEGA SETIA AGUNG KIMIA, PT;962;202221;
OIL-LXFS-X;2100098;1;12;2;20;20;NAMSIANG DISTRIBUTION INDONESIA, PT;963;202104;
OIL-OJJBIII-X;2100060;1;2;7;25;25;MERPATI MAHARDIKA, PT;964;202104;
OIL-OLV300-X;2100052;1;20;7;720;120;LAUTAN LUAS, PT;965;202104;
OIL-ORJVA-X;2100061;1;12;2;5;5;NARDA TITA, PT;966;202104;
OIL-PAAP-X;2308095;1;16;2;20;20;CRODA TRADING INDONESIA, PT;967;202104;
OIL-PAO-X;2100050;1;28;2;200;200;KEMIKO INDONESIA, PT;968;202104;
OIL-RBOM-X;2100005;1;16;2;18;18;AVANTCHEM, PT;969;202104;
OIL-RSOLIDS-X;2304999;1;16;7;1;1;INDESSO AROMA, PT;970;202104;
OIL-TTOIDS-X;2304999;1;16;7;20;20;INDESSO AROMA, PT;971;202104;
OIL-W-GARRC-DRUM;2100021;1;20;2;175;175;DKSH INDONESIA, PT;972;202104;
OLIV-1000BT-X;2100052;1;20;2;20;20;LAUTAN LUAS, PT;973;202104;
OLIV-900BT-X;2100052;1;20;2;20;20;LAUTAN LUAS, PT;974;202104;
OPT-ASH--X;2100021;1;20;2;5;5;DKSH INDONESIA, PT;975;202104;
ORGA-EXD-ARK;2100042;1;20;2;15;15;INFINISIA SUMBER SEMESTA, PT;976;202104;
OROS-850004-X;2304999;1;4;2;5;5;INDESSO AROMA, PT;977;202226;
OZO-OZO-;2100085;1;20;2;20;20;TRITUNGGAL ARTHA MAKMUR, PT;978;202104;
PANT--DL-K;2100094;1;18;2;25;25;BASF DISTRIBUTION INDONESIA, PT;979;202104;
PARF-14A1-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;980;202104;
PARF-256BU-X;2100028;1;6;2;25;25;FIRMENICH INDONESIA, PT;981;202104;
PARF-819EC-X;2100028;1;6;2;25;25;FIRMENICH INDONESIA, PT;982;202104;
PARF-A5961-X;2100028;1;4;2;10;10;FIRMENICH INDONESIA, PT;983;;
PARF-AGLD3-X;2100095;1;12;2;25;25;GIVAUDAN INDONESIA, PT;984;;
PARF-ALCMS-X;2100028;1;8;2;175;25;FIRMENICH INDONESIA, PT;985;202151;
PARF-AMGRZ-X;2100095;1;12;2;25;25;GIVAUDAN INDONESIA, PT;986;202201;
PARF-AMSKLG-X;2100019;1;8;2;25;25;BRENNTAG_CPL AROMA;987;202104;
PARF-AV-97/1-K;2100048;1;16;2;1;1;JUTA RASA ABADI, PT;988;;
PARF-AVHR15-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;989;202104;
PARF-BLMODA-X;2100054;1;2;2;1;1;MANE INDONESIA, PT;990;202109;
PARF-BRCE-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;991;202104;
PARF-C072-GIV;2100095;1;12;2;25;25;GIVAUDAN INDONESIA, PT;992;202104;
PARF-CAEM1R101-PKG;2100054;1;2;2;25;25;MANE INDONESIA, PT;993;202104;
PARF-CFLS-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;994;202215;
PARF-CFLYFGT-X;2100019;1;8;2;25;25;BRENNTAG_CPL AROMA;995;202125;
PARF-CFTME-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;996;202104;
PARF-CLMRER-X;2100054;1;2;2;1;1;MANE INDONESIA, PT;997;202115;
PARF-CM1500-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;998;202104;
PARF-CRMOD-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;999;202116;
PARF-CSMI-AM;2100095;1;12;2;25;25;GIVAUDAN INDONESIA, PT;1000;;
PARF-CTPSMOD-X;2100100;1;8;2;25;25;INDOWAN ADISENTOSA, PT;1001;202128;
PARF-CW162-X;2100095;1;12;2;25;25;GIVAUDAN INDONESIA, PT;1002;;
PARF-CWGT-X;2100100;1;8;2;50;25;INDOWAN ADISENTOSA, PT;1003;202140;
PARF-DLPZLE-X;2100054;1;2;2;1;1;MANE INDONESIA, PT;1004;202104;
PARF-DTV1015--K;2100095;1;12;2;25;25;GIVAUDAN INDONESIA, PT;1005;202104;
PARF-DVHNYE-X;2100054;1;2;2;1;1;MANE INDONESIA, PT;1006;202140;
PARF-EOMOD-X;2100054;1;2;2;25;25;MANE INDONESIA, PT;1007;202136;
PARF-EP850-X;2100054;1;2;2;1;1;MANE INDONESIA, PT;1008;202104;
PARF-ESE-X;2100054;1;2;2;1;1;MANE INDONESIA, PT;1009;202104;
CAP-S150OOFMWNL-GOPP;2200036;1;4;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1010;202204;
CAP-S150PC-WPP;2200036;1;6;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1011;202204;
CAP-S150SBC-WPP;2200036;1;4;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1012;202204;
CAP-S150SBCR1-W;2200036;1;4;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1013;202104;
CAP-S150SBT-WPP;2200036;1;4;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1014;202204;
CAP-S150SBTR1-W;2200036;1;4;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1015;202104;
CAP-S20W-X;2200115;1;14;2;50000;100;NINGBO YUNWU PLASTICS CO.,LTD;1016;202104;
CAP-S50POOWNLGO-PP;2200036;1;4;2;6300;5000;HIDAYAT PUTRA INDUSTRI, PT;1017;202204;
CAP-SO10R0-B;2308295;1;10;2;10000;768;ANHUI LIKUN PACKAGING TECHNOLOGY CO., LTD;1018;202223;
CAP-TLC01P-E;2305700;1;16;2;10000;100;UDN INTERNATIONAL INC.,;1019;202104;
CAP-TLC06CPR0-E;2305700;1;16;2;25000;100;UDN INTERNATIONAL INC.,;1020;202104;
CAP-USSSR0-TV;2200157;1;4;2;15000;1800;SANITYA UTAMA, PT;1021;202204;
CAP-UVSWRR0-W;2200028;1;4;2;60000;13680;DYNAPLAST, PT;1022;202104;
CAPA-ALMR1-WABS;2200032;1;16;2;24000;100;ESMIN CO., LTD.;1023;202104;
CAPA-BDMR0-MOABS;2200032;1;17;2;10000;100;ESMIN CO., LTD.;1024;202228;
CAPA-BDMR1-MOABS;2200032;1;17;2;10000;100;ESMIN CO., LTD.;1025;202205;
CAPA-CLVMR0-E;2200120;1;14;2;10000;100;SHAMROCK (HK) LIMITED;1026;202206;
CAPA-CMLCR0-W;2200089;1;4;2;50000;630;TECHPACK ASIA, PT;1027;202207;
CAPA-CMR0-EM;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1028;202206;
CAPA-CWIMLPR0-W;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1029;202104;
CAPA-CWPEPR0-MO;2200108;1;11;2;10000;100;NINGBO WINMATE COSMETIC PACKAGING CO.,LTD;1030;202104;
CAPA-ECLTR0-WASABS;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1031;202104;
CAPA-EMLCR2-W;2200044;1;6;2;300000;800;KEMAS INDAH MAJU, PT;1032;202104;
CAPA-EMLSR0-W;2200089;1;4;2;100000;693;TECHPACK ASIA, PT;1033;202131;
CAPA-EXBLSR0-W;2200163;1;10;2;10000;1360;HUARUI PACKAGING TECH (HANGZHOU) CO.,LTD.;1034;202212;
CAPA-EXLWMR0-W;2200120;1;11;2;100000;760;SHAMROCK (HK) LIMITED;1035;202139;
CAPA-GLHTR0-MO;2309284;1;11;2;50000;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1036;202131;
CAPA-GS01ABR0-E;2200131;1;10;2;100000;100;DERIK INDUSTRIAL CO.,LTD;1037;202104;
CAPA-GS02ASR0-E;2200131;1;10;2;100000;100;DERIK INDUSTRIAL CO.,LTD;1038;202104;
CAPA-GS03CRR0-E;2200131;1;10;2;100000;100;DERIK INDUSTRIAL CO.,LTD;1039;202104;
CAPA-GS04PSR0-E;2200131;1;10;2;100000;100;DERIK INDUSTRIAL CO.,LTD;1040;202104;
CAPA-GS05SDR0-E;2200131;1;10;2;100000;100;DERIK INDUSTRIAL CO.,LTD;1041;202201;
CAPA-HGFHLR0-IP;2309284;1;12;2;10000;600;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1042;202144;
CAPA-HSLWR1-MO;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1043;202206;
CAPA-IBBM1R0-WABSM;2200032;1;17;2;50000;100;ESMIN CO., LTD.;1044;202104;
CAPA-IBBM2R0-WABSM;2200032;1;17;2;50000;100;ESMIN CO., LTD.;1045;202104;
CAPA-IEIMLR0-W;2200089;1;4;2;10000;630;TECHPACK ASIA, PT;1046;202104;
CAPA-ILSLSR0-W;2200089;1;4;2;20000;630;TECHPACK ASIA, PT;1047;202126;
CAPA-IMLCR0-MO;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1048;202206;
CAPA-IMLMPR0-W;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1049;202206;
CAPA-LIWMR0-MO;2307799;1;14;2;20000;100;HCP PACKAGING HONG KONG, LTD;1050;202104;
CAPA-LLC01LR0-W;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1051;202206;
CAPA-LLC02BR0-W;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1052;202206;
CAPA-LLS-EAH;2200006;1;16;2;20000;100;ALLEN & THOMAS CO.,LTD;1053;202104;
CAPA-MKLCR0-OMG;2200089;1;6;2;100000;630;TECHPACK ASIA, PT;1054;202104;
CAPA-MMSR0-ELM;2200032;1;17;2;10000;100;ESMIN CO., LTD.;1055;202205;
CAPA-MPR0-EM;2200120;1;14;2;24000;100;SHAMROCK (HK) LIMITED;1056;202206;
CAPA-NPM01R0-E;2309980;1;10;2;20000;10080;ZHUHAI SHENGHUI PLASTIC PRODUCTS CO.,LTD;1057;202209;
CAPA-NPM02R0-E;2309980;1;10;2;20000;10080;ZHUHAI SHENGHUI PLASTIC PRODUCTS CO.,LTD;1058;202209;
CAPA-PCM7R0-W;2200032;1;17;2;24000;100;ESMIN CO., LTD.;1059;202211;
CAPA-PM010R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1060;202135;
CAPA-PM01R0-E;2309284;1;14;2;10000;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1061;202209;
CAPA-PM02R0-E;2309284;1;14;2;10000;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1062;202209;
CAPA-PM03R0-E;2309284;1;14;2;10000;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1063;202209;
CAPA-PM04R0-E;2309284;1;14;2;10000;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1064;202209;
CAPA-PM05R0-E;2309284;1;14;2;10000;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1065;202209;
CAPA-PM06R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1066;202135;
CAPA-PM07R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1067;202135;
CAPA-PM08R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1068;202135;
CAPA-PM09R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1069;202135;
CAPA-PM11R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1070;202207;
CAPA-PM12R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1071;202207;
CAPA-PM13R0-E;2309284;1;12;2;100000;720;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1072;202207;
CAPA-PPLLCBR0-MO;2200032;1;17;2;5000;100;ESMIN CO., LTD.;1073;202104;
CAPA-PPLLR0-MO;2200032;1;15;2;10000;100;ESMIN CO., LTD.;1074;202104;
CAPA-PSCRMSR0-W;2200120;1;14;2;200;100;SHAMROCK (HK) LIMITED;1075;202206;
CAPA-PSEMLSR0-W;2200089;1;2;2;310;100;TECHPACK ASIA, PT;1076;202131;
CAPA-PSEXLWMR0-W;2200120;1;14;2;300;100;SHAMROCK (HK) LIMITED;1077;202206;
CAPA-PSF2R1-MO;2309284;1;2;2;99;99;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1078;202133;
CAPA-PSFCLVMR0-E;2200120;1;3;2;400;400;SHAMROCK (HK) LIMITED;1079;;
CAPA-PSFEBALSR0-W;2200108;1;3;2;200;200;NINGBO WINMATE COSMETIC PACKAGING CO.,LTD;1080;202150;
CAPA-PSFHR0-IP;2309284;1;3;2;200;200;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1081;202140;
CAPA-PSFHV2R0-IP;2309284;1;3;2;100;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1082;202140;
CAPA-PSFHV3R0-IP;2309284;1;3;2;100;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1083;202140;
CAPA-PSFHV4R0-IP;2309284;1;3;2;100;100;GUANGDONG EFA PACKAGING INDUSTRIAL CO., LTD.;1084;202140;
CAPA-PSFSUAR0-IP;2307799;1;4;2;200;200;HCP PACKAGING HONG KONG, LTD;1085;202206;
CAPA-PSIPLLSWR0-W;2200089;1;2;2;630;100;TECHPACK ASIA, PT;1086;202129;
CAPA-PSREPAROR0-MO;2306377;1;2;2;600;600;YU RONG COSMETICS PACKAGING LIMITED;1087;202215;
CAPA-PSSUAR0-IP;2307799;1;2;2;670;100;HCP PACKAGING HONG KONG, LTD;1088;202203;
CAPA-PSSWMR0-OMG;2309980;1;3;2;250;250;ZHUHAI SHENGHUI PLASTIC PRODUCTS CO.,LTD;1089;202223;
CAPA-PSWLSR0-E;2200089;1;2;2;250;100;TECHPACK ASIA, PT;1090;202130;
CAPA-PTCLCR0-MO;2200120;1;14;2;15000;100;SHAMROCK (HK) LIMITED;1091;202206;
CAPA-PTMLCR1-MO;2306377;1;11;2;50000;100;YU RONG COSMETICS PACKAGING LIMITED;1092;202104;
CAPA-SLAMR0-E;2200032;1;17;2;24000;100;ESMIN CO., LTD.;1093;202104;
CAPA-SLEL-WABS;2200032;1;15;2;24000;100;ESMIN CO., LTD.;1094;202104;
CAPA-SMUBCCR0-E;2200006;1;13;2;10000;100;ALLEN & THOMAS CO.,LTD;1095;202104;
CAPA-SMUBCR0-E;2200006;1;16;2;10000;100;ALLEN & THOMAS CO.,LTD;1096;202104;
CAPA-SMULCR0-E;2200006;1;16;2;10000;100;ALLEN & THOMAS CO.,LTD;1097;202104;
CAPA-SMULGR0-E;2200006;1;16;2;10000;100;ALLEN & THOMAS CO.,LTD;1098;202104;
CAPA-SMULMR0-E;2200006;1;16;2;10000;100;ALLEN & THOMAS CO.,LTD;1099;202104;
CAPA-SMUMR0-E;2200006;1;16;2;10000;100;ALLEN & THOMAS CO.,LTD;1100;202104;
CAPA-TIMLCFPR0-MO;2200120;1;14;2;18000;100;SHAMROCK (HK) LIMITED;1101;202206;
CAPA-TIMLCMVR0-MO;2200120;1;14;2;18000;100;SHAMROCK (HK) LIMITED;1102;202206;
CAPA-TMUM1EM-E;2200006;1;4;2;2940;100;ALLEN & THOMAS CO.,LTD;1103;;
CAPA-TMUM2M1-E;2200006;1;4;2;1452;100;ALLEN & THOMAS CO.,LTD;1104;;
