"Product/Internal Reference","Product/Product Name","Location","Lot/Serial Number","Inventoried Quantity","Reserved Quantity","Unit of Measure"
"SILI-BEL803-X","SLC3-AAI","JTK 6/Stock/RM/GOR-C-16","GBMJTK6/JI06021","13989.26","0.0","g"
"CELL-HHRP-X","RHM3-AAJ","JTK 6/Stock/RM/BA-02B1","GBMJTK6/JI06029","100000.0","0.0","g"
"MOIS-RQPO260-X","MST3-ABD","JTK 6/Stock/RM/CA-09B1","GBMJTK6/JI06030","74.97696","0.0","kg"
"TITA-INBP-X","DSP3-AAC","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI06145","4900.2","0.0","g"
"FLMR-DSTY-X","FFM1-AAG","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI06146","9943.39","0.0","g"
"WARN-BBO12-X","CLR3-BLK-ABA","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI06144","1974.88","0.0","g"
"WARN-BRO12-X","CLR3-RED-ACC","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI06134","1975.36","0.0","g"
"PARF-C072-GIV","PRF1-ACD","JTK 6/Stock/RM/GD-AC-A3","GBMJTK6/JI05108","74958.22","0.0","g"
"PARF-SILK-","PRF1-ABB","JTK 6/Stock/RM/GD-AC-A3","GBMJTK6/JI05115","49955.68","0.0","g"
"PARF-SOJMLF-X","PRF1-BCACI","JTK 6/Stock/RM/GD-AC-A3","GBMJTK6/JI05114","49.94601","0.0","kg"
"PARF-LDGRGA-X","PRF1-BLBJI","JTK 6/Stock/RM/GD-AC-A3","GBMJTK6/JI05113","74.94626","0.0","kg"
"PARF-PCNDLF-X","PRF1-BKBEI","JTK 6/Stock/RM/GD-AC-A3","GBMJTK6/JI05112","150.0","0.0","kg"
"PARF-PCNDLF-X","PRF1-BKBEI","JTK 6/Stock/RM/GD-AC-A2","GBMJTK6/JI05112","49.94612","0.0","kg"
"POWD-9701-","SLC3-AAB","JTK 6/Stock/RM/CA-03B1","GBMJTK6/JI06106","69988.61","0.0","g"
"PARF-TWFLLF-X","PRF1-AKABC","JTK 6/Stock/RM/GD-AC-A2","GBMJTK6/JI05111","99.94565","0.0","kg"
"GLYC--ECOS-K","EMO1-ABD","JTK 6/Stock/RM/GOR-B-41","GBMJTK6/JI06155","1000000.0","0.0","g"
"GLYC--ECOS-K","EMO1-ABD","JTK 6/Stock/RM/GOR-B-40","GBMJTK6/JI06155","1000000.0","0.0","g"
"GLYC--ECOS-K","EMO1-ABD","JTK 6/Stock/RM/GOR-B-39","GBMJTK6/JI06155","499933.82","0.0","g"
"NUTR-NTKWPP-X","HRC1-AAG","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31158","49927.6","0.0","g"
"AMH-LL-X","PWD3-ADG","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31023","9989.9","0.0","g"
"AMH-LL-X","PWD3-ADG","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH31022","9986.25","0.0","g"
"ACTI-TXPP-X","WHT1-AAH","JTK 6/Stock/RM/Release-RM","GBMJTK6/JH30172","9.93748","0.0","kg"
"EM-E3201M-X","CLR3-WHT-AAI","JTK 6/Stock/RM/GOR-B-33","GBMJTK6/JI06114","120000.0","0.0","g"
"EMUL-AL2-","EMS3-AAF","JTK 6/Stock/RM/GOR-E-33","GBMJTK6/JI06025","50000.0","0.0","g"
"EM-E3201M-X","CLR3-WHT-AAI","JTK 6/Stock/RM/GOR-B-35","GBMJTK6/JI06114","379983.32","0.0","g"
"PARF-HM2AAL-X","PRF1-CHBBC","JTK 6/Stock/RM/GD-AC-A1","GBMJTK6/JH29079","74.94788","0.0","kg"
"SCRU-STRPD-X","VES3-AAE","JTK 6/Stock/RM/GD-AC-B3","GBMJTK6/JH30111","19.96727","0.0","kg"
"CHAM-COSM-","MST1-AAD","JTK 6/Stock/RM/GD-AC-B2","GBMJTK6/JI07061","5000.0","0.0","g"
"RHM-DREAQA-X","RHM2-BBABD","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07011","799.94461","0.0","kg"
"SCRU-ECBTS-X","VES3-AKABJ","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07008","49.97368","0.0","kg"
"SILI-CMSF600-X","SLC2-AAE","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07006","19935.86","0.0","g"
"PARS-5000-DSM","SCR3-AAD","JTK 6/Stock/RM/FA-10A1","GBMJTK6/JI07058","149978.97","0.0","g"
"SUNS-PRSHMS-X","SCR1-ABD","JTK 6/Stock/RM/EA-03A1","GBMJTK6/JI07064","24.95273","0.0","kg"
"SUNS-PRSHMS-X","SCR1-ABD","JTK 6/Stock/RM/EA-03A1","GBMJTK6/JI07062","50.0","0.0","kg"
"SUNS-PRSHMS-X","SCR1-ABD","JTK 6/Stock/RM/EA-03A1","GBMJTK6/JI07065","25.0","0.0","kg"
"SUNS-PRSHD-X","SCR1-ABC","JTK 6/Stock/RM/DA-07B1","GBMJTK6/JI07060","20.0","0.0","kg"
"SUNS-PRSHD-X","SCR1-ABC","JTK 6/Stock/RM/DA-07B1","GBMJTK6/JI07063","19.9808","0.0","kg"
"THIC-ARAVC-","RHM3-AAB","JTK 6/Stock/RM/DA-10B1","GBMJTK6/JI07052","25000.0","0.0","g"
"THIC-ARAVC-","RHM3-AAB","JTK 6/Stock/RM/DA-10B1","GBMJTK6/JI07051","25000.0","0.0","g"
"THIC-ARAVC-","RHM3-AAB","JTK 6/Stock/RM/DA-10B1","GBMJTK6/JI07050","50000.0","0.0","g"
"ACTI-CPXY-X","HRC1-ABF","JTK 6/Stock/RM/GD-AC-C2","GBMJTK6/JI07059","5.0","0.0","kg"
"SUNS-PEHS-X","SCR1-AAJ","JTK 6/Stock/RM/GOR-D-09","GBMJTK6/JI07066","200.0","0.0","kg"
"TEGO-L7-1--K","RHM1-AAG","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07100","660000.0","0.0","g"
"SILI-SSEM105-X","EMS1-ABI","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07085","720000.0","0.0","g"
"UVAS-BZP2-X","SCR3-AAJ","JTK 6/Stock/RM/AA-08C1","GBMJTK6/JH25063","1000.0","0.0","g"
"UVAS-BZP2-X","SCR3-AAJ","JTK 6/Stock/RM/AA-08C1","GBMJTK6/JI01072","1000.0","0.0","g"
"VASE-V3150-X","WAX3-ACJ","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07003","169956.2","0.0","g"
"AMI-GCK12H-X","SRF1-ABE","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07013","439951.3","0.0","g"
"PEAR-GNPPMS-X","VES3-BJBDH","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07056","74.98206","0.0","kg"
"SURF-CPKOD-X","SRF1-ACB","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07039","799944.55","0.0","g"
"KOH--PH-K","NTA3-AAB","JTK 6/Stock/RM/FA-04A1","GBMJTK6/JI06157","600000.0","0.0","g"
"KOH--PH-K","NTA3-AAB","JTK 6/Stock/RM/FA-04A2","GBMJTK6/JI06157","600000.0","0.0","g"
"KOH--PH-K","NTA3-AAB","JTK 6/Stock/RM/FA-03A2","GBMJTK6/JI06157","600000.0","0.0","g"
"POLY-MICOJ400-","HRC3-AAB","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07004","19978.97","0.0","g"
"KOH--PH-K","NTA3-AAB","JTK 6/Stock/RM/FA-03A1","GBMJTK6/JI06157","600000.0","0.0","g"
"SODA-C-ASA","NTA3-AAC","JTK 6/Stock/RM/Release-RM","GBMJTK6/JI07109","49966.34","0.0","g"
