Attribute number;Attribute value;Attribute description;Attribute name
10;ALAN--AK-K;SAI3-AAB;Product Name
10;ALAN-SL--X;SAI3-AKABG;Product Name
10;ALKO---L;SLV1-AAB;Product Name
10;ALKO-ALKHCKI-X;SLV1-AAC;Product Name
10;ALUM--ACH-K;APS1-AAB;Product Name
10;ALUM-MN10D-X;PWD3-AFI;Product Name
10;AMH-LL-X;PWD3-ADG;Product Name
10;AMI-GCK12H-X;SRF1-ABE;Product Name
10;AMI-GCK12K-;SRF1-AAB;Product Name
10;AMON-A-KS;NTA1-AAC;Product Name
10;AMP-95--K;NTA1-AAB;Product Name
10;ANTA---K;SRF1-ABC;Product Name
10;ANTI-STGCHT-X;Bahan Anti Iritant SG;Product Name
10;ANTP-DRYGNL-X;APS1-BHAEE;Product Name
10;APPL-EBR0-ENPS;Case/Container Applicator Eyebrow Emina;Product Name
10;AQUA---K;RHM1-AAJ;Product Name
10;AQUA-G35-X;RHM1-AAI;Product Name
10;ARLA-165--K;WAX3-AAB;Product Name
10;ARMO-HD--K;EMO1-AAB;Product Name
10;ARQU---K;SRF1-ABB;Product Name
10;ASAM-A-CAAH-K;PRV3-AAH;Product Name
10;ASAM-SALI-ASR;Asam Salisilat;Product Name
10;ASAM-SCAD-X;EXF3-ABA;Product Name
10;ASO--KB-K;PWD3-ACB;Product Name
10;ATG-71-X;HRC1-AAD;Product Name
10;B-BMLPA3-BULK;Bare With Me Mineral Loose Powder 03 Amber (LPA);Product Name
10;B-BMLPE4-BULK;Bare With Me Mineral Loose Powder 04 Ebony (LPE);Product Name
10;B-BMLPF1-BULK;Bare With Me Mineral Loose Powder 01 Fair (LPF);Product Name
10;B-BMLPLB2-BULK;Bare With Me Mineral Loose Powder 02 Light Beige (LPL);Product Name
10;B-BSLP-BULK;Emina Bright Stuff Loose Powder;Product Name
10;B-BSLP-EM;Emina Bright Stuff Loose Powder 55 g;Product Name
10;B-CLCLPA-BULK;Colorfit Mattifying Powder 22N Light Ivory;Product Name
10;B-CLCLPA-W;Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g;Product Name
10;B-CLCLPB-BULK;Colorfit Mattifying Powder 23W Warm Ivory;Product Name
10;B-CLCLPB-W;Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g;Product Name
10;B-CLCLPC-BULK;Colorfit Mattifying Powder 32N Neutral Beige;Product Name
10;B-CLCLPC-W;Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g;Product Name
10;B-CLCLPD-BULK;Colorfit Mattifying Powder 43W Golden Sand;Product Name
10;B-CLCLPD-W;Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g;Product Name
10;B-CPGR01-BULK;Wardah CRYSTALLURE Precious Glow Radiance Powder 12 IVORY;Product Name
10;B-CPGR01-W;WARDAH CRYSTALLURE Precious Glow Radiance Powder 12 IVORY 18 g;Product Name
10;B-CPGR02-BULK;Wardah CRYSTALLURE Precious Glow Radiance Powder 13 BEIGE;Product Name
10;B-CPGR02-W;WARDAH CRYSTALLURE Precious Glow Radiance Powder 13 BEIGE 18 g;Product Name
10;B-DMCP01-BULK;EMINA Daily Matte Compact Powder 01 Light;Product Name
10;B-DMCP01-EM;Emina Daily Matte Compact Powder 01 Light 11 g;Product Name
10;B-DMCP01-RP-EM4GR;Refill Press EMINA Daily Matte Compact Powder 01 Light;Product Name
10;B-DMCP02-BULK;EMINA Daily Matte Compact Powder 02 Natural;Product Name
10;B-DMCP02-EM;Emina Daily Matte Compact Powder 02 Natural 11 g;Product Name
10;B-DMCP02-RP-EM4GR;Refill Press EMINA Daily Matte Compact Powder 02 Natural;Product Name
10;B-DMCP03-BULK;EMINA Daily Matte Compact Powder 03 Caramel;Product Name
10;B-DMCP03-EM;Emina Daily Matte Compact Powder 03 Caramel 11 g;Product Name
10;B-DMCP04-BULK;EMINA Daily Matte Compact Powder 04 Mocca;Product Name
10;B-DMCP04-EM;Emina Daily Matte Compact Powder 04 Mocca 11 g;Product Name
10;B-DMLP01-BULK;Emina Daily Matte Loose Powder 01 Light Beige;Product Name
10;B-DMLP01-EM;Emina Daily Matte Loose Powder 01 Light Beige 20 g;Product Name
10;B-DMLP02-BULK;Emina Daily Matte Loose Powder 02 Natural Beige;Product Name
10;B-DMLP02-EM;Emina Daily Matte Loose Powder 02 Natural Beige 20 g;Product Name
10;B-ESFBBLP-BULK;Everyday Shine Free BB Loose Powder;Product Name
10;B-HRFP-BULK;MAKE OVER Hydrastay Radiant Finishing Powder;Product Name
10;B-HRFP-MO;MAKE OVER Hydrastay Radiant Finishing Powder 8 gr;Product Name
10;B-IPQSP11-BULK;Instaperfect QUICKMATTE Loose Powder 11 Fair Pink;Product Name
10;B-IPQSP11-W;Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g;Product Name
10;B-IPQSP12-BULK;Instaperfect QUICKMATTE Loose Powder 22 Light Ivory;Product Name
10;B-IPQSP12-W;Instaperfect QUICKMATTE Loose Powder 22 Light Ivory 9 g;Product Name
10;B-IPQSP13-BULK;Instaperfect QUICKMATTE Loose Powder 32 True Beige;Product Name
10;B-IPQSP13-W;Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g;Product Name
10;B-IPQSP14-BULK;Instaperfect QUICKMATTE Loose Powder 33 Warm Olive;Product Name
10;B-IPQSP14-W;Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g;Product Name
10;B-IPQSP15-BULK;Instaperfect QUICKMATTE Loose Powder 43 Creme Sand;Product Name
10;B-IPQSP15-W;Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g;Product Name
10;B-IPQSP16-BULK;Instaperfect QUICKMATTE Loose Powder 52 Almond;Product Name
10;B-IPQSP16-W;Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g;Product Name
10;B-NFSDMCP01-EM;Emina NFS Daily Matte Compact Powder 01 Light 4 g;Product Name
10;B-NFSDMCP02-EM;Emina NFS Daily Matte Compact Powder 02 Natural 4 g;Product Name
10;B-OMGD-BULK;OMG Loose Powder Dark;Product Name
10;B-OMGL-BULK;OMG Loose Powder Light;Product Name
10;B-OMGM-BULK;OMG Loose Powder Medium;Product Name
10;B-PBTUBB-BULK;Wardah Perfect Bright BB Powder;Product Name
10;B-PBTUBB-W;Wardah Perfect Bright BB Powder 50 g;Product Name
10;B-PMT-MO11G;MAKE OVER Powerstay Mattifying Transparent Powder 11 g;Product Name
10;B-PMTP-BULK;Powerstay Mattifying Transparent Powder;Product Name
10;B-PT01-BULK;Silky Smooth Translucent Powder 01 Porselain;Product Name
10;B-PT01-MO35G;MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s));Product Name
10;B-PT02-BULK;Silky Smooth Translucent Powder 02 Rosy;Product Name
