Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Pressing code;Pressing ALT.;Pressing loss rate;Pressing production rate;Pressing production rate with change over;Efficiency of Pressing;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing
STD;SR09;BO-CPFTLB-TA;;BO-CPFTLB-BULK;4;4;NOMINAL_LINE;BTP02;1;0.3211;420;190.12;0.45;;;;;;;;;;;;;;;;;;;SVB06;1;0;0.1658;0.1245;0.75;SRM06;1;0;1;1;1;SPM03D;1;0;3.3333;3.3333;1;SWE02;1;0;2;2;1
STD;SR09;BO-CPFTM-TA;;BO-CPFTM-BULK;4;4;NOMINAL_LINE;BTP02;1;0.3211;420;300.49;0.72;;;;;;;;;;;;;;;;;;;SVB06;1;0;0.1658;0.1245;0.75;SRM06;1;0;1;1;1;SPM03D;1;0;3.3333;3.3333;1;SWE02;1;0;2;2;1
STD;SR09;BO-CPFTST-TA;;BO-CPFTST-BULK;4;4;NOMINAL_LINE;BTP02;1;0.3211;420;300.49;0.72;;;;;;;;;;;;;;;;;;;SVB06;1;0;0.1658;0.1245;0.75;SRM06;1;0;1;1;1;SPM03D;1;0;3.3333;3.3333;1;SWE02;1;0;2;2;1
STD;SR09;BO-CPFTW-TA;;BO-CPFTW-BULK;4;4;NOMINAL_LINE;BTP02;1;0.3211;420;300.49;0.72;;;;;;;;;;;;;;;;;;;SVB06;1;0;0.1658;0.1245;0.75;SRM06;1;0;1;1;1;SPM03D;1;0;3.3333;3.3333;1;SWE02;1;0;2;2;1
STD;SR09;BO-MMB01-MO;;BO-MMB01-BULK;40;40;SECONDARY_LINE;LIP10;1;0.136;240;236.31;0.98;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1245;0.1107;0.89;SRM07;1;0;0.6667;0.6667;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;BO-MMB01-MO;;BO-MMB01-BULK;10;10;NOMINAL_LINE;LIP12;1;0.1144;240;225.99;0.94;;;;;;;;;;;;;;;;;;;SMX02;1;0;0.4;0.4;1;SRM06;1;0;0.67;0.5;0.75;SPM03D;1;0;1;1;1;SWE01;1;0;1.33;1.33;1
STD;SR09;BO-MMB02-MO;;BO-MMB02-BULK;25;25;SECONDARY_LINE;LIP10;1;0.1706;240;233.91;0.97;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1245;0.1107;0.89;SRM07;1;0;1;1;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;BO-MMB02-MO;;BO-MMB02-BULK;10;10;NOMINAL_LINE;LIP12;1;0.1144;240;202.89;0.85;;;;;;;;;;;;;;;;;;;SMX02;1;0;0.4;0.4;1;SRM06;1;0;0.67;0.5;0.75;SPM03D;1;0;1;1;1;SWE01;1;0;1.33;1.33;1
STD;SR09;BO-MMB03-MO;;BO-MMB03-BULK;40;40;SECONDARY_LINE;LIP10;1;0.136;240;236.31;0.98;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1245;0.1107;0.89;SRM07;1;0;0.6667;0.6667;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;BO-MMB03-MO;;BO-MMB03-BULK;10;10;NOMINAL_LINE;LIP12;1;0.1144;240;225.99;0.94;;;;;;;;;;;;;;;;;;;SMX02;1;0;0.4;0.4;1;SRM06;1;0;0.67;0.5;0.75;SPM03D;1;0;1;1;1;SWE01;1;0;1.33;1.33;1
STD;SR09;BO-MMB04-MO;;BO-MMB04-BULK;40;40;SECONDARY_LINE;LIP10;1;0.136;240;236.31;0.98;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1245;0.1107;0.89;SRM07;1;0;0.6667;0.6667;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;BO-MMB04-MO;;BO-MMB04-BULK;10;10;NOMINAL_LINE;LIP12;1;0.1144;240;225.99;0.94;;;;;;;;;;;;;;;;;;;SMX02;1;0;0.4;0.4;1;SRM06;1;0;0.67;0.5;0.75;SPM03D;1;0;1;1;1;SWE01;1;0;1.33;1.33;1
STD;SR09;BO-MMB05-MO;;BO-MMB05-BULK;40;40;SECONDARY_LINE;LIP10;1;0.136;240;236.31;0.98;;;;;;;;;;;;;;;;;;;SDM01;1;0;0.1245;0.1107;0.89;SRM07;1;0;0.6667;0.6667;1;SPM07D;1;0;1;1;1;SWE01;1;0;1;1;1
STD;SR09;BO-MMB05-MO;;BO-MMB05-BULK;10;10;NOMINAL_LINE;LIP12;1;0.1144;240;225.99;0.94;;;;;;;;;;;;;;;;;;;SMX02;1;0;0.4;0.4;1;SRM06;1;0;0.67;0.5;0.75;SPM03D;1;0;1;1;1;SWE01;1;0;1.33;1.33;1
SFGPack;SR12;BOTP-CADLP00AJR0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;400.71;0.83;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;BOTP-CADLP00AJR0-W;;;1;1;SECONDARY_LINE;;;;;;;;;;;;;;;;;;;SPL01;1;0;480;400.71;0.83;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;BOTP-CVMPB09R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SMPL01;1;0;360;356.78;0.99;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;BOTP-CVMPB10R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SMPL01;1;0;360;356.78;0.99;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;BOTP-CVMPB11R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SMPL01;1;0;360;356.78;0.99;;;;;;;;;;;;;;;;;;;;;;;;
SFGPack;SR12;BOTP-CVMPB12R0-W;;;1;1;NOMINAL_LINE;;;;;;;;;;;;;;;;;;;SMPL01;1;0;360;356.78;0.99;;;;;;;;;;;;;;;;;;;;;;;;
