"Korporat Code","Material Type","General Subcategory","General Accountable State","General State","Rnd Process State","Ppc State","Rnd State","Lifecycle State"
"D-NSDH-KA","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"SS-NSFBH-KA","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"L-LBH-KA","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"MA-MSLP-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"M-NSPJT-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"SS-NSSPF30-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"SS-NSSPF50-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
"B-NSZZ-W","Finished Goods","Not Sellable","Waiting for Approval","Waiting for Approval","Draft","Draft","Draft","Draft"
