"Korporat Code","Name"
"EO-SOPM-BULK","Beyondly Essential Single Oil - Peppermint"
"EO-SOTT-BULK","Beyondly Essential Single Oil - Tea Tree"
"EO-SOCB01-B","Beyondly Essential Single Oil Clove Bud 10 ml"
"EO-SOEC01-B","Beyondly Essential Single Oil Eucalyptus 10 ml"
"EO-SOLD01-B","Beyondly Essential Single Oil Lavender 10 ml"
"EO-SOLM01-B","Beyondly Essential Single Oil Lemon 10 ml"
"EO-SOLG01-B","Beyondly Essential Single Oil Lemongrass 10 ml"
"EO-SOOR01-B","Beyondly Essential Single Oil Orange 10 ml"
"EO-SOPM01-B","Beyondly Essential Single Oil Peppermint 10 ml"
"EO-SOTT01-B","Beyondly Essential Single Oil Tea Tree 10 ml"
"LD-CDFB-BULK","Beyondly Fitclair Collagen Drink"
"LD-CDFB01-B","Beyondly Fitclair Collagen Drink 15 sachet @25mL"
"FW-CSGC-BULK","Beyondly Glowlasting Collagen Cleanser"
"FW-CSGC01-B","Beyondly Glowlasting Collagen Cleanser"
"M-CSGM01-BULK","Beyondly Glowlasting Collagen UV Care Moisturizer"
"M-CSGD01-B","Beyondly Glowlasting Collagen UV Care Moisturizer"
"TH-VSKS01-B","Beyondly KidSmart Child Supplement"
"TH-VSKG01-B","Beyondly KidsGrow Child Supplement"
"TH-VSLS01-B","Beyondly Lifessential Supplement"
"MB-MBSG-BULK","Beyondly Minyak Balur Sagala"
"MB-MBSG01-B","Beyondly Minyak Balur Sagala 100 ml"
"S-CSPB01-BULK","Beyondly Pomebright Collagen Serum"
"S-CSPB01-B","Beyondly Pomebright Collagen Serum"
"PD-PSSS01-B","Beyondly SOP Supplement"
"EO-OKPT01-B","Beyondly Single Oil Kit Primary Three 3x10 ml"
"TH-VSVP01-B","Beyondly Vitaprolix Supplement"
"S-CSYP-BULK","Beyondly Youth Power Collagen Serum"
"S-CSYP01-B","Beyondly Youth Power Collagen Serum"
"W-AW10-BD","Biodef Antiseptic Wipes 10 Sheet"
"D-DEORO-BD","Biodef Deodorant Roll On 50 ml"
"D-DEORO-BULK","Biodef Hygiene Protection Anti-bac Active Deo"
"HBW-MAL-BULK","Biodef Multipurpose Antiseptic Liquid"
"HBW-MALN1-BD","Biodef Multipurpose Antiseptic Liquid 200 ml"
