Process code;Routing type;Item code;Refill code;Bulk code;Bulk size;Bulk size_FM;Priority;Filling/Packing line code;Filling/Packing ALT.;Filling/Packing loss rate;Filling/Packing production rate;Filling/Packing production rate with change over;Efficiency of Filling/Packing;Filling code;Filling ALT.;Filling loss rate;Filling production rate;Filling production rate with change over;Efficiency of Filling;Labelling code;Labelling ALT.;Labelling loss rate;Labelling production rate;Labelling production rate with change over;Efficiency of labelling;Mixing code;Mixing ALT.;Mixing loss rate;Mixing production rate;Mixing production rate with change over;Efficiency of mixing;Milling code;Milling ALT.;Milling loss rate;Milling production rate;Milling production rate with change over;Efficiency of milling;Premix code;Premix ALT.;Premix loss rate;Premix production rate;Premix production rate with change over;Efficiency of premix;Weighing code;Weighing ALT.;Weighing loss rate;Weighing production rate;Weighing production rate with change over;Efficiency of weighing;flag item;flag bulk;flag refill
STD;LR01;BBC-LL-W30ML;;BBC-LL-BULK;500;500;NOMINAL_LINE;;;;;;;TUP06;1;0.1014;3600;2902.36;0.81;;;;;;;LVL01;1;0;0.1;0.08;0.77;;;;;;;;;;;;;LWE01;1;0;0.5;0.5;1;Pc(s);g;
STD;LR01;BBC-LN-W15ML;;BBC-LN-BULK;500;500;NOMINAL_LINE;;;;;;;TUP06;1;0.1435;3600;3027.39;0.84;;;;;;;LVL01;1;0;0.1;0.08;0.77;;;;;;;;;;;;;LWE01;1;0;0.5;0.5;1;Pc(s);g;
STD;LR01;BBC-LN-W30ML;;BBC-LN-BULK;200;200;SECONDARY_LINE;;;;;;;TUP06;1;0.1036;3600;2246.62;0.62;;;;;;;LVL07;1;0;0.13;0.09;0.73;;;;;;;;;;;;;LWE02;1;0;0.67;0.67;1;Pc(s);g;
STD;LR01;BBC-LN-W30ML;;BBC-LN-BULK;500;500;NOMINAL_LINE;;;;;;;TUP06;1;0.1014;3600;2902.36;0.81;;;;;;;LVL01;1;0;0.1;0.08;0.77;;;;;;;;;;;;;LWE01;1;0;0.5;0.5;1;Pc(s);g;
STD;LR01;BBC-LN-W30ML;;BBC-LN-BULK;1000;1000;SECONDARY_LINE;;;;;;;TUP06;1;0.0638;3600;3068.94;0.85;;;;;;;LVL02;1;0;0.08;0.07;0.8;;;;;;;;;;;;;LWE01;1;0;0.4;0.4;1;Pc(s);g;
STD;LR04;BO-CLCNB-EM10ML;;BO-CLCNB-BULK;50;50;NOMINAL_LINE;TUP11B;1;0.4318;3600;909.85;0.25;;;;;;;;;;;;;LVL05;1;0;0.17;0.13;0.75;LRM01;1;0;0.33;0.33;1;;;;;;;LWE02;1;0;0.86;0.86;1;Pc(s);g;
STD;LR15;BO-CLCPE-EM10ML;;BO-CLCPE-BULK;50;50;NOMINAL_LINE;TUP11B;1;0.2512;3600;1109.88;0.31;;;;;;;;;;;;;LVL05;1;0;0.17;0.13;0.75;;;;;;;;;;;;;LWE02;1;0;1;1;1;Pc(s);g;
STD;LR15;BO-CLCPE-EM10ML;;BO-CLCPE-BULK;200;200;SECONDARY_LINE;TUP08;1;0.1565;3600;1942.23;0.54;;;;;;;;;;;;;LVL07;1;0;0.17;0.13;0.75;;;;;;;;;;;;;LWE02;1;0;1;1;1;Pc(s);g;
STD;LR15;BO-CLCPI-EM10ML;;BO-CLCPI-BULK;50;50;NOMINAL_LINE;TUP11B;1;0.248;3600;1113.16;0.31;;;;;;;;;;;;;LVL05;1;0;0.15;0.11;0.68;;;;;;;;;;;;;LWE02;1;0;1;1;1;Pc(s);g;
STD;LR15;BO-CLCPI-EM10ML;;BO-CLCPI-BULK;200;200;SECONDARY_LINE;TUP08;1;0.1997;3600;1895.07;0.53;;;;;;;;;;;;;LVL07;1;0;0.17;0.13;0.75;;;;;;;;;;;;;LWE02;1;0;1;1;1;Pc(s);g;
STD;LR15;BO-CLCVI-EM10ML;;BO-CLCVI-BULK;50;50;NOMINAL_LINE;TUP11B;1;0.3293;3600;1028.57;0.29;;;;;;;;;;;;;LVL05;1;0;0.17;0.13;0.75;;;;;;;;;;;;;LWE02;1;0;0.86;0.86;1;Pc(s);g;
