"#","Schedule Due","Kode SL","Snfg","Nama Fg","Jumlah Pcs","Qty Release","Qty Not Hit","Type","Remark","Level 1","Level 2","Level 3","Actions"
"166","2022-07-13","ne2 ","FW-CD-W100ML/H0053","Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))","28680","28620","60","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"167","2022-07-13","BR2 ","REM-EEM-W50ML/H0007","Wardah EyeXpert Eye &amp; Lip Makeup Remover 50 ml","11592","11508","84","NI","(not set)","(not set)","(not set)","(not set)",""
"168","2022-07-13","yz1 ","L-CUM04-W/H0010","Wardah Colorfit Ultralight Matte Lipstick 04 Mocca Brown 3.6 g","2160","2154","6","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"169","2022-07-13","WV1 ","FT-LFT-W/H0058","Wardah Lightening Face Toner 125 ml","23640","22800","840","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"170","2022-07-13","qh2 ","BO-W1C-W4GR/H0027","Wardah Blush On C 4 gr","3000","2893","107","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"171","2022-07-13","ne1 ","FW-CD-W100ML/H0052","Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))","28680","28560","120","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"172","2022-07-13","azc1 ","HBW-ETBWDN2-W/H0001","Earth Love Life Spanish Lavender &amp; Javanese Rice Milk Body Wash 450 ml","2097","1807","290","NI","(not set)","(not set)","(not set)","(not set)",""
"173","2022-07-13","JR1 ","FW-PCSRB-KA/H0086","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","9000","360","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"174","2022-07-13","yc1 ","L-CUM03-W/H0007","Wardah Colorfit Ultralight Matte Lipstick 03 Caramel Nude 3.6 g","2160","1932","228","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"175","2022-07-13","JR2 ","FW-PCSRB-KA/H0087","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","5400","3960","NI","KARBOX GAGAL ETTA","External – Material Supply","Raw Material Supply","Gagal ETA",""
"176","2022-07-13","dk1 ","FW-BS-EM50ML/H0047","Emina Bright Stuff Face Wash 50 ml","38592","38050","542","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"177","2022-07-13","AAR1 ","BO-CLBSPI-EM/H0006","Emina Cheek Lit Blush Stick Pink 7 g","624","540","84","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"178","2022-07-13","adr1 ","SRM-RLSAN1-W/H0022","Wardah Lightening Serum Ampoule 30 ml","29475","26880","2595","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"179","2022-07-13","fy1 ","LU-P1P3P-P720/H0058","Putri Platinum Pustreite Step 1 720 ML (Pc(s))","230","228","2","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"180","2022-07-13","sc1 ","A-NTM-W40ML/H0008","Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s))","22695","22650","45","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"181","2022-07-13","ff1 ","BP-HREDT-KA/H0014","Kahf Humbling Forest Eau de Toilette 35 ml","4974","4972","2","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"182","2022-07-13","dk2 ","FW-BS-EM50ML/H0048","Emina Bright Stuff Face Wash 50 ml","38592","38000","592","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"183","2022-07-12","QA1 ","FW-AH-W60ML/H0013","Wardah Nature Daily Aloe Hydramild Facial Wash 60 ml","15485","14400","1085","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"184","2022-07-12","vt1 ","L-REMO20-W/H0009","Wardah Exclusive Moist Lipstick 20 Pink Pearl 3.5 g","2280","2260","20","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"185","2022-07-12","abd1 ","L-CUMKORC-W/H0014","Wardah Colorfit Ultralight Matte Lipstick 11 Sunkissed Jeju 3.6 g","4752","4452","300","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"186","2022-07-12","vp2 ","TC-RRE04-W/H0033","Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","7470","7236","234","NI","di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"187","2022-07-12","yy1 ","TWC-CLFTRF-W/H0001","Wardah Colorfit Velvet Powder Foundation Refill 43W Golden Sand 11 g","1548","","1548","NI","Bulk telat release dari olah karena item NPD aag1","Leadtime","Leadtime &gt; Standard","Trial NPD",""
"188","2022-07-12","sh1 ","HC-HF-W170ML/H0025","Wardah Hair Fall Treatment Conditioner 170 ml (Pc(s))","5436","","5436","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"189","2022-07-12","gh1 ","LU-P1-P720/H0023","Putri Pustreite Step 1 720 ML (Pc(s))","230","228","2","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"190","2022-07-12","AMA1 ","LB-LMPB-EM/H0011","Emina Lip Mask 9 gr (Blister Version)","18624","18575","49","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"191","2022-07-12","qn2 ","TC-FC-MO14G/H0021","MAKE OVER Face Contour Kit 14 g (Pc(s))","1440","1396","44","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"192","2022-07-12","ol2 ","ES-PRPBK-EM3.3GR/H0003","Emina Pop Rouge Pressed Eye Shadow Brick 3.3 gr (Pc(s))","1638","1619","19","NI","di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"193","2022-07-12","vp1 ","A-DM-W40ML/H0017","Wardah Acnederm Day Moisturizer 40 ml (Pc(s))","13296","13290","6","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"194","2022-07-12","qi1 ","M-WHPG-W40ML/H0013","Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml","13680","3780","9900","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"195","2022-07-12","zq1 ","L-CVM010-W/H0009","Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral 4 g","3192","3077","115","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"196","2022-07-12","dw2 ","L-LL10-W2.3G/H0016","Wardah Lipstick Longlasting 10 Stylish Mocca 2.3 g (Pc(s))","1752","1737","15","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"197","2022-07-12","vu1 ","BO-E02-W/H0025","Wardah Exclusive Blush On 02 Coral Peach 6.5 g","1776","1661","115","NI","di close  karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"198","2022-07-12","bi5 ","FW-PCSAC-KA/H0088","Kahf Oil and Acne Care Face Wash 100 ml","9508","8895","613","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"199","2022-07-12","rs2 ","TC-R3LLF01-W/H0031","Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g","7488","7233","255","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"200","2022-07-12","ry1 ","L-PVW07-MO/H0001","MAKE OVER Powerstay Vivid Waterlite Lip Stain A07 XOXO 5.5 g","4923","4320","603","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"201","2022-07-12","dw3 ","L-LL10-W2.3G/H0017","Wardah Lipstick Longlasting 10 Stylish Mocca 2.3 g (Pc(s))","1752","1739","13","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"202","2022-07-12","yb1 ","SRM-CSRO-W/H0006","Crystallure Supreme Revitalizing Oil Serum 30 ml","1589","","1589","NH,NI","(not set)","(not set)","(not set)","(not set)",""
"203","2022-07-12","bi6 ","FW-PCSAC-KA/H0089","Kahf Oil and Acne Care Face Wash 100 ml","9508","9075","433","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"204","2022-07-12","vp2 ","A-DM-W40ML/H0018","Wardah Acnederm Day Moisturizer 40 ml (Pc(s))","13296","13170","126","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"205","2022-07-12","aeh1 ","L-EMC13DP-W/H0003","Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4g","22608","22608","","NH","(not set)","(not set)","(not set)","(not set)",""
"206","2022-07-12","nk1 ","FM-CMSC-EM/H0005","Emina Clay Mask Sebum Control 60 ml","5867","5652","215","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"207","2022-07-12","AEW1 ","SRM-RS-TA/H0002","Tavi 1% Encapsulated Retinol + Peptide Slow Aging Signs Serum","3911","3648","263","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"208","2022-07-12","sa2 ","TC-RR3LLF02-W/H0040","Wardah Refill Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","26208","26001","207","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"209","2022-07-12","wj1 ","L-REMA18-W/H0023","Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g","1065","1003","62","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"210","2022-07-11","lm1 ","HBL-AVG-EM/H0009","Emina Aloe Vera Gel 60 ml","3031","3024","7","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"211","2022-07-11","bi1 ","B-DMCP02-EM/H0020","Emina Daily Matte Compact Powder 02 Natural 11 g","4716","","4716","NH,NI","Bulk sebelumnya pending warna baru release di hari senin,11/07/2022","Quality","Bulk Pending / Rework / Reject","Kualitas Bulk Bermasalah",""
"212","2022-07-11","jr5 ","FW-PCSRB-KA/H0085","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","8895","465","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"213","2022-07-11","jr3 ","FW-PCSRB-KA/H0083","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","8685","675","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"214","2022-07-11","dw1 ","L-LL10-W2.3G/H0015","Wardah Lipstick Longlasting 10 Stylish Mocca 2.3 g (Pc(s))","1752","1680","72","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"215","2022-07-11","uz1 ","L-CSGC104-MO/H0007","MAKE OVER Color Stick Gloss Crayon 104 Chloe 3 g","180","164","16","NI","Bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"216","2022-07-11","fd1 ","TC-PC04-MO12G/H0016","MAKE OVER Perfect Cover TWC 04 Desert 12 g (Pc(s))","4296","4257","39","NI","Di close karena bulk habis","Loss MPQ","Bulk habis","Hilang karena proses",""
"217","2022-07-11","jr4 ","FW-PCSRB-KA/H0084","Kahf Skin Energizing and Brightening Face Wash 100 ml","9360","8985","375","NI","BULK HABIS","Loss MPQ","Bulk habis","Hilang karena proses",""
"218","2022-07-11","adc1 ","L-EMC15DP-W/H0001","Wardah Exclusive Matte Lip Cream 15 Pinky Plumise 4g","9792","9792","","NH","(not set)","(not set)","(not set)","(not set)",""
