"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","STIC-QRPPESPOR0-E","1.0","Pc(s)"
"","KB-EBR1-KMK125CF","0.00794","Pc(s)"
"MY-RFWAH-W","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WT100R1-KMM125BF","0.03333","Pc(s)"
"","FW-AH-W100ML","1.0","Pc(s)"
"HBW-TBWN3C-BD","HBW-TBWC-BULK","0.06","kg"
"","PU-SAVFMR1-E","1.0","Pc(s)"
"","BOTO-PET60TCD18-","1.0","Pc(s)"
"","KB-BIOAR0-B","0.0285714","Pc(s)"
"","STIC-FTGTBW-BD","1.0","Pc(s)"
"","STIC-BTGTBW-BD","1.0","Pc(s)"
"TC-RR3LLF06-W","TC-R3LLF06-BULK","0.012","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"","CONT-LRTWCRER1-W","1.0","Pc(s)"
"","PLAS-DMCTWCRP-P85","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","STIC-BLPRL06R0-W","1.0","Pc(s)"
"","DUS-LPRL06R2-W","1.0","Pc(s)"
"","IBOX-CR1-W","0.08333","Pc(s)"
"","KB-WBETAR1-W","0.00694","Pc(s)"
"HBL-NFSV4-WL","HBL-NFSV4-BULK","0.01","kg"
"","TUBE-NFSBLAR0-WL","1.0","Pc(s)"
"","ENV-NFSBLAR0-WL","1.0","Pc(s)"
"","KB-WONIIR0-WL","0.0333333","Pc(s)"
"L-EMC15DP-W","L-EMC15-BULK","0.004","kg"
"","BOTP-EMLCR0-W","1.0","Pc(s)"
"","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","STIC-BOTEMLC15R2-W","1.0","Pc(s)"
"","DUS-EMLC15R1-W","1.0","Pc(s)"
"","STIC-HEMLCR1-W","1.0","Pc(s)"
"","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"BO-PPS-MO8X3,5G","BO-02IPRNFSN3,5-MO","1.0","Pc(s)"
"","BO-01PFRNFSN3,5-MO","1.0","Pc(s)"
"","BO-04RERNFSN3,5-MO","1.0","Pc(s)"
"","BO-03PP1RNFS3,5-MO","1.0","Pc(s)"
"","BO-05BSRNFSN3,5-MO","1.0","Pc(s)"
"","BO-06CSRNFS3,5G-MO","1.0","Pc(s)"
"","BO-07SSRNFSN3,5-MO","1.0","Pc(s)"
"","BO-08CCRNFSN3,5-MO","1.0","Pc(s)"
"","CONT-MOCM04ASAB-CBIP","1.0","Pc(s)"
"","LINE-BOPALMOLDC-F410","8.0","Pc(s)"
"","PLAS-DMBOPR0-MO","1.0","Pc(s)"
"","STIC-BOPALMOPPT-2W15","1.0","Pc(s)"
"","PO-BOPMOCM04-21P","1.0","Pc(s)"
"","DUS-PSBOPR1-MOILG","1.0","Pc(s)"
"","KB-MOBOPR1-MO","0.04166","Pc(s)"
"MY-FSNFSGE-KA","FW-FW01-BULK","0.008","kg"
"","TUBE-NFSGEFS8R1-K","1.0","Pc(s)"
"","ENV-NFSGEFS8R1-K","1.0","Pc(s)"
"","KB-KAHFAR0-K","0.0277778","Pc(s)"
"L-EMCD-W","L-EMCD-BULK","0.004","kg"
"","BOTO-PSEMLCRR0-W","1.0","Pc(s)"
"","CAPA-PSEMLCRR0-W","1.0","Pc(s)"
"","DUS-PSEMLCRR0-W","1.0","Pc(s)"
"EB-TS-EM2.9GR","EB-TS-01-RP-EM1,1GR","1.0","Pc(s)"
"","EB-TS-02-RP-EM1,1GR","1.0","Pc(s)"
"","EB-TS-03-BULK","0.0007","kg"
"","CONP-TSEB-E","1.0","Pc(s)"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"","APPL-EBR0-ENPS","1.0","Pc(s)"
"","PLAS-DMESBOR0-E","1.0","Pc(s)"
"","STIC-MAGNIR0-EPSM","1.0","Pc(s)"
"","STIC-BOTTSEBR0-ECNF","1.0","Pc(s)"
"","DUS-TSEBR0-EILD","1.0","Pc(s)"
"","STIC-BCTSEBR0-ECNF","1.0","Pc(s)"
"","STIC-QRTSEBAR0-E","1.0","Pc(s)"
"","STIC-QRTSEBBR0-E","1.0","Pc(s)"
"","KB-EBR1-KMK125CF","0.00793","Pc(s)"
"LB-SLN-EM3.7GR","LB-SLN-BULK","0.0037","kg"
"","POT-SLBR0-EAS","1.0","Pc(s)"
"","CAPP-SLBR0-EAS","1.0","Pc(s)"
"","STIC-BOTSLLR0-ECNF","1.0","Pc(s)"
"","DUS-SLLR3-EIVD","1.0","Pc(s)"
"","KB-EAR0-KMM125","0.00694","Pc(s)"
"L-EMC18DP-W","L-EMC18-BULK","0.004","kg"
"","BOTP-EMLCR0-W","1.0","Pc(s)"
"","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","STIC-BOTEMLC18R2-W","1.0","Pc(s)"
"","DUS-EMLC18R1-W","1.0","Pc(s)"
"","STIC-HEMLCR1-W","1.0","Pc(s)"
"","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"HBW-TBWN3A-BD","BOTO-PET60TCD18-","1.0","Pc(s)"
"","HBW-TBWA-BULK","0.06","kg"
"","PU-SAVFMR1-E","1.0","Pc(s)"
"","KB-BIOAR0-B","0.0285714","Pc(s)"
"","STIC-FTSSBW-BD","1.0","Pc(s)"
"","STIC-BTSSBW-BD","1.0","Pc(s)"
"HBW-TBWN3D-BD","BOTO-PET60TCD18-","1.0","Pc(s)"
"","PU-SAVFMR1-E","1.0","Pc(s)"
"","HBW-TBWD-BULK","0.06","kg"
"","KB-BIOAR0-B","0.0285714","Pc(s)"
"","STIC-FTYZBW-BD","1.0","Pc(s)"
"","STIC-BTYZBW-BD","1.0","Pc(s)"
"FA-RGH-MO13G","FA-RGH-RP-MO13GR","1.0","Pc(s)"
"","DUS-CRGFHR0-MO","1.0","Pc(s)"
"","DUS-SRGFHR0-MO","1.0","Pc(s)"
"","PLAS-DMRGFHR0-MO","1.0","Pc(s)"
"","KB-MOTWC3252-K150M12","0.02083","Pc(s)"
"MY-MCDMM-W","KB-WW2430R2-W","0.04167","Pc(s)"
"","STIC-PALLCR1-WM","1.0","Pc(s)"
"","M-CDMM-W","1.0","Pc(s)"
"BBC-LN-W30ML","BBC-LN-BULK","0.0303","kg"
"","TUBE-LBBCN30R4-W","1.0","Pc(s)"
"","DUS-LBBCN30CR1-WILD","1.0","Pc(s)"
"","KB-WBBC30-KMK150BF","0.02778","Pc(s)"
"CUS-DM02-EM","CUS-DM02-BULK","0.015","kg"
"","CONT-DMCR0-E","1.0","Pc(s)"
"","CONT-ICDMCR0-E","1.0","Pc(s)"
"","CONT-RDMCR0-E","1.0","Pc(s)"
"","ISPO-CPGCR0-W","1.0","Pc(s)"
"","STIC-SDMCR0-E","1.0","Pc(s)"
"","PUFF-DMCR0-E","1.0","Pc(s)"
"","STIC-BDMCW01LR0-E","1.0","Pc(s)"
"","DUS-DMCR0-E","1.0","Pc(s)"
"","STIC-VDMCW01R0-E","1.0","Pc(s)"
"","KB-EAR0-KMM125","0.0416667","Pc(s)"
"HBL-NFSV1-WL","HBL-NFSV1-BULK","0.01","kg"
"","TUBE-NFSBLFR0-WL","1.0","Pc(s)"
"","ENV-NFSBLFR0-WL","1.0","Pc(s)"
"","KB-WONIIR0-WL","0.0333333","Pc(s)"
"SRM-PSOC-MO","SRM-PSOC-BULK","0.03","kg"
"","BOTO-PSIPSSR0-MO","1.0","Pc(s)"
"","BOTO-PSPSSR0-MO","1.0","Pc(s)"
"","PU-PSPSSR0-MO","1.0","Pc(s)"
"FW-3IN1PC-KA","TUBE-TAOCDFW100R1-K","1.0","Pc(s)"
"","KB-KAHFBR0-K","0.06666","Pc(s)"
"","FW-3IN1PC-BULK","0.1","kg"
"TC-R2E01-W","TC-PC02-BULK","0.012","kg"
"","CONP-ETWCR0-W","1.0","Pc(s)"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","STIC-BTETC1R0-WRL","1.0","Pc(s)"
"","DUS-ETWCR4-W","1.0","Pc(s)"
"","STIC-VETWC01R0-W","1.0","Pc(s)"
"","KB-W12X250R1-W","0.03333","Pc(s)"
"BO-CLCVI-EM10ML","BO-CLCVI-BULK","0.01","kg"
"","TUBE-CLCBVR0-ELDPE","1.0","Pc(s)"
"","DUS-CLCBVR0-EILD","1.0","Pc(s)"
"","STIC-QRCLCBVR0-E","1.0","Pc(s)"
"","KB-ECR1-KMK125CF","0.01429","Pc(s)"
"TC-R2E02-W","TC-PC08-BULK","0.012","kg"
"","CONP-ETWCR0-W","1.0","Pc(s)"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","STIC-BTETC2R0-WRL","1.0","Pc(s)"
"","DUS-ETWCR4-W","1.0","Pc(s)"
"","STIC-VETWC02R0-W","1.0","Pc(s)"
"","KB-W12X250R1-W","0.03333","Pc(s)"
"L-CUSH01-EM","L-CUSH01-BULK","0.009","kg"
"","TUBE-LC01PR1-E","1.0","Pc(s)"
"","PLU-TLC01P-E","1.0","Pc(s)"
"","CAP-TLC01P-E","1.0","Pc(s)"
"","DUS-LC01PR1-ELD","1.0","Pc(s)"
"","STIC-QRLC01R0-E","1.0","Pc(s)"
"","IBOX-12EG-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.01042","Pc(s)"
"TC-R2RE04-W","TC-PC04-BULK","0.012","kg"
"","CONT-ELERLR0-WPP","1.0","Pc(s)"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","STIC-BTETCR4R0-WRL","1.0","Pc(s)"
"","DUS-ETWCRR4-W","1.0","Pc(s)"
"","STIC-VETWCR04R0-W","1.0","Pc(s)"
"","KB-W6040R2-W","0.0222222","Pc(s)"
"CUS-REFC01-W","CUS-EFC01-BULK","0.015","kg"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BREFCC1R0-W","1.0","Pc(s)"
"","SACH-REFCCR0-W","1.0","Pc(s)"
"","DUS-REFCC01R0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"L-CUSH02-EM","L-CUSH02-BULK","0.009","kg"
"","TUBE-LC02BR0-ECE","1.0","Pc(s)"
"","PLU-TLC02B-E","1.0","Pc(s)"
"","CAP-TLC02B-E","1.0","Pc(s)"
"","DUS-LC02BR1-ELD","1.0","Pc(s)"
"","STIC-QRLC02R0-E","1.0","Pc(s)"
"","IBOX-12EG-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.01042","Pc(s)"
"L-CUM05-W","L-CUM05-BULK","0.0036","kg"
"","CAPC-CULML5R0-W","1.0","Pc(s)"
"","CONT-CULML5R0-W","1.0","Pc(s)"
"","STIC-BCULML5R1-W","1.0","Pc(s)"
"","DUS-CULML5R1-W","1.0","Pc(s)"
"","IBOX-BR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"CUS-REFC04-W","CUS-EFC04-BULK","0.015","kg"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BREFCC4R0-W","1.0","Pc(s)"
"","SACH-REFCCR0-W","1.0","Pc(s)"
"","DUS-REFCC04R0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"TC-R2RE02-W","TC-PC08-BULK","0.012","kg"
"","CONT-ELERLR0-WPP","1.0","Pc(s)"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","STIC-BTETCR2R0-WRL","1.0","Pc(s)"
"","DUS-ETWCRR4-W","1.0","Pc(s)"
"","STIC-VETWCR02R0-W","1.0","Pc(s)"
"","KB-W6040R2-W","0.0222222","Pc(s)"
"CUS-REFC02-W","CUS-EFC02-BULK","0.015","kg"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BREFCC2R0-W","1.0","Pc(s)"
"","SACH-REFCCR0-W","1.0","Pc(s)"
"","DUS-REFCC02R0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"HBL-NFSV2-WL","HBL-NFSV2-BULK","0.01","kg"
"","TUBE-NFSBLRR0-WL","1.0","Pc(s)"
"","ENV-NFSBLRR0-WL","1.0","Pc(s)"
"","KB-WONIIR0-WL","0.0333333","Pc(s)"
"HBL-NFSV5-WL","HBL-NFSV5-BULK","0.01","kg"
"","TUBE-NFSBLEMR0-WL","1.0","Pc(s)"
"","ENV-NFSBLER0-WL","1.0","Pc(s)"
"","KB-WONIIR0-WL","0.0333333","Pc(s)"
"HBL-NFSV3-WL","HBL-NFSV3-BULK","0.01","kg"
"","TUBE-NFSBLVR0-WL","1.0","Pc(s)"
"","ENV-NFSBLVR0-WL","1.0","Pc(s)"
"","KB-WONIIR0-WL","0.0333333","Pc(s)"
"M-BRERC-L","M-BRER-BULK","0.02","kg"
"","TUBE-CDDDCL20R2-W2L","1.0","Pc(s)"
"TC-R2E05-W","TC-PC05-BULK","0.012","kg"
"","CONP-ETWCR0-W","1.0","Pc(s)"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
"","STIC-BTETC5R0-WRL","1.0","Pc(s)"
"","DUS-ETWCR4-W","1.0","Pc(s)"
"","STIC-VETWC05R0-W","1.0","Pc(s)"
"","KB-W12X250R1-W","0.03333","Pc(s)"
"L-NLCALE1REG-EM","L-NLCALE1REG-BULK","0.0045","kg"
"","BOTO-WPM06R0-E","1.0","Pc(s)"
"","CAPA-PM06R0-E","1.0","Pc(s)"
"","STIC-BPM06RR0-E","1.0","Pc(s)"
"","DUS-PM06RR0-E","1.0","Pc(s)"
"","IBOX-12EH-EDNF","0.0833333","Pc(s)"
"","KB-ECR1-KMK125CF","0.0104167","Pc(s)"
"L-NLCCLE3REG-EM","L-NLCCLE3REG-BULK","0.0045","kg"
"","BOTO-WPM08R0-E","1.0","Pc(s)"
"","CAPA-PM08R0-E","1.0","Pc(s)"
"","STIC-BPM08RR0-E","1.0","Pc(s)"
"","DUS-PM08RR0-E","1.0","Pc(s)"
"","IBOX-12EH-EDNF","0.0833333","Pc(s)"
"","KB-ECR1-KMK125CF","0.0104167","Pc(s)"
"MY-LSMULMA-EM","L-SMULMA-BULK","0.0065","kg"
"","TUBE-SMULM01R0-E","1.0","Pc(s)"
"","CAPA-SMULMR0-E","1.0","Pc(s)"
"","DUS-SMULM01R0-E","1.0","Pc(s)"
"","STIC-PACR1-EM","1.0","Pc(s)"
"","KB-EAR0-KMM125","0.01389","Pc(s)"
"HBW-BBSYHC-WL","HBW-BBSYHC-BULK","0.315","kg"
"","BOTO-PET300R0-WL","1.0","Pc(s)"
"","CAP-FTWR0-WL","1.0","Pc(s)"
"CUS-RREFC04-W","CUS-R2EFC04-BULK","0.015","kg"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BREFCC4R0-W","1.0","Pc(s)"
"","SACH-REFCCR0-W","1.0","Pc(s)"
"","DUS-REFCC04R0-W","1.0","Pc(s)"
"","DUS-SEFCCRR0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"M-LDGN2-W","TUBS-KLDG20-W","1.0","Pc(s)"
"","M-LDGN-BULK","0.02","kg"
"","KB-WLS20R2-KMK125CF","0.02778","Pc(s)"
"","DUS-LDG20R1-W","1.0","Pc(s)"
"L-CUM08-W","KB-WIOTAR1-W","0.00694","Pc(s)"
"","IBOX-BR0-W","0.08333","Pc(s)"
"","DUS-CULML8R1-W","1.0","Pc(s)"
"","STIC-BCULML8R1-W","1.0","Pc(s)"
"","CAPC-CULML8R0-W","1.0","Pc(s)"
"","CONT-CULML8R0-W","1.0","Pc(s)"
"","L-CUM08-BULK","0.0036","kg"
"MY-TCIPPF03-W","TC-IPPF03-BULK","0.013","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-MFPFRR0-IP","1.0","Pc(s)"
"","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BMFPFR32R0-IP","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-MFPFRR0-IP","1.0","Pc(s)"
"","STIC-VMFPFR32R0-IP","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"CUS-R2EFC03-W","CUS-R2EFC03-BULK","0.015","kg"
"","CONP-EFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BEFCC03R0-W","1.0","Pc(s)"
"","DUS-EFCC03R2-W","1.0","Pc(s)"
"","DUS-SEFCCR0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"HBW-BBSYHA-WL","HBW-BBSYHA-BULK","0.315","kg"
"","BOTO-PET300R0-WL","1.0","Pc(s)"
"","CAP-FTWR0-WL","1.0","Pc(s)"
"MY-TCIPPF05-W","TC-IPPF05-BULK","0.013","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-MFPFRR0-IP","1.0","Pc(s)"
"","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BMFPFR43R0-IP","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-MFPFRR0-IP","1.0","Pc(s)"
"","STIC-VMFPFR43R0-IP","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"HBW-BBSBAT-WL","HBW-BBSBAT-BULK","0.315","kg"
"","BOTO-PET300R0-WL","1.0","Pc(s)"
"","CAP-FTWR0-WL","1.0","Pc(s)"
"MY-RCUSEFC01-W","CUS-EFC01-BULK","0.015","kg"
"","CONT-EFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BEFCC01R0-W","1.0","Pc(s)"
"","DUS-EFCC01R2-W","1.0","Pc(s)"
"","STIC-PAEBR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"L-LL03-W2.3G","L-LLW0C3-BULK","0.0023","kg"
"","CONT-LLR3-WMS","1.0","Pc(s)"
"","CAPC-LLR3-WMS","1.0","Pc(s)"
"","STIC-BTLL3R2-W","1.0","Pc(s)"
"","DUS-LL03R0-WILD","1.0","Pc(s)"
"","STIC-QWLL03R0-W","1.0","Pc(s)"
"","IBOX-12LLR1-WDNF","0.08333","Pc(s)"
"","KB-W200R1-W","0.00416","Pc(s)"
"CUS-R2EFC02-W","CUS-R2EFC02-BULK","0.015","kg"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","CONP-EFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BEFCC02R0-W","1.0","Pc(s)"
"","DUS-EFCC02R2-W","1.0","Pc(s)"
"","DUS-SEFCCR0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"CUS-RREFC01-W","CUS-R2EFC01-BULK","0.015","kg"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BREFCC1R0-W","1.0","Pc(s)"
"","SACH-REFCCR0-W","1.0","Pc(s)"
"","DUS-REFCC01R0-W","1.0","Pc(s)"
"","DUS-SEFCCRR0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"L-CM04-EM5.5GR","L-CM04-BULK","0.0055","kg"
"","BOTO-PCMR1-E","1.0","Pc(s)"
"","CAPA-CMR0-EM","1.0","Pc(s)"
"","STIC-BOTCMFBR1-EOPP","1.0","Pc(s)"
"","DUS-CMFBR1-EILD","1.0","Pc(s)"
"","STIC-QRCMFB04R0-E","1.0","Pc(s)"
"","IBOX-12EE-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"MY-TCIPPF02-W","TC-IPPF02-BULK","0.013","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-MFPFRR0-IP","1.0","Pc(s)"
"","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BMFPFR22R0-IP","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-MFPFRR0-IP","1.0","Pc(s)"
"","STIC-VMFPFR22R0-IP","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"MY-REMRPBTUMW-W","REM-RPBTUMW-BULK","0.1","kg"
"","KB-K100R1-W","0.0333333","Pc(s)"
"","CAP-BPBMWRV-W","1.0","Pc(s)"
"","STIC-FRVPBMW100-W","1.0","Pc(s)"
"","STIC-BRVPBMW100-W","1.0","Pc(s)"
"","BOTO-PETCHEERS100-X","1.0","Pc(s)"
"CUS-RREFC03-W","CUS-R2EFC03-BULK","0.015","kg"
"","CONT-REFCCR0-W","1.0","Pc(s)"
"","CONT-ICEFCCR0-W","1.0","Pc(s)"
"","ISPO-IPE4712R0-X","1.0","Pc(s)"
"","STIC-SEFCCR0-W","1.0","Pc(s)"
"","PUFF-EFCCR0-W","1.0","Pc(s)"
"","STIC-BREFCC3R0-W","1.0","Pc(s)"
"","SACH-REFCCR0-W","1.0","Pc(s)"
"","DUS-REFCC03R0-W","1.0","Pc(s)"
"","DUS-SEFCCRR0-W","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"L-CM05-EM5.5GR","L-CM05-BULK","0.0055","kg"
"","BOTO-PCMR1-E","1.0","Pc(s)"
"","CAPA-CMR0-EM","1.0","Pc(s)"
"","STIC-BOTCMFMR1-EOPP","1.0","Pc(s)"
"","DUS-CMFMR1-EILD","1.0","Pc(s)"
"","STIC-QRCMFM05R0-E","1.0","Pc(s)"
"","IBOX-12EE-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.00757","Pc(s)"
"L-CM15-EM5.5GR","L-CM15-BULK","0.0055","kg"
"","BOTO-PCMR1-E","1.0","Pc(s)"
"","CAPA-CMR0-EM","1.0","Pc(s)"
"","STIC-BOTCMCPR0-EOPPT","1.0","Pc(s)"
"","DUS-CMCPR0-EILD","1.0","Pc(s)"
"","STIC-QRCMCF15R0-E","1.0","Pc(s)"
"","IBOX-12EE-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"MY-TCIPPF04-W","TC-IPPF04-BULK","0.013","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-MFPFRR0-IP","1.0","Pc(s)"
"","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BMFPFR33R0-IP","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-MFPFRR0-IP","1.0","Pc(s)"
"","STIC-VMFPFR33R0-IP","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"TWC-OMGL-OMG","TWC-OMGL-BULK","0.012","kg"
"","GODE-CTWC-OMG","1.0","Pc(s)"
"","CONT-CTWCR0-OMG","1.0","Pc(s)"
"","PLAS-CTWC-OMG","1.0","Pc(s)"
"","PUFF-CTWCSBRD54R0-OMG","1.0","Pc(s)"
"","STIC-BCTWC21WR0-OMG","1.0","Pc(s)"
"","DUS-CTWC21WR0-OMG","1.0","Pc(s)"
"","KB-RNR0-OMG","0.0277778","Pc(s)"
"MY-TCIPPF01-W","TC-IPPF01-BULK","0.013","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-MFPFRR0-IP","1.0","Pc(s)"
"","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BMFPFR11R0-IP","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-MFPFRR0-IP","1.0","Pc(s)"
"","STIC-VMFPFR11R0-IP","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"MY-TCIPPF06-W","TC-IPPF06-BULK","0.013","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","CONT-MFPFRR0-IP","1.0","Pc(s)"
"","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","STIC-BMFPFR52R0-IP","1.0","Pc(s)"
"","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","DUS-MFPFRR0-IP","1.0","Pc(s)"
"","STIC-VMFPFR52R0-IP","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"TC-R2E03-W","TC-PC03-BULK","0.012","kg"
"","CONP-ETWCR0-W","1.0","Pc(s)"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"","PLAS-DM60R0-W","1.0","Pc(s)"
"","PUFF-TWCNBRR1-W","1.0","Pc(s)"
