"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","ES-TPME22GRRNFS-MO","1.0","Pc(s)"
"","PLAS-DMESBOR0-MO","1.0","Pc(s)"
"","CONT-ESLB3MOASA-2PSC","1.0","Pc(s)"
"CM-WSOG-W","BOTO-PETRF100C-X","1.0","Pc(s)"
"","PU-CSMCG95R0-W","1.0","Pc(s)"
"","STIC-BCSMCGR1-W","1.0","Pc(s)"
"","STIC-FCSMCGR1-W","1.0","Pc(s)"
"","KB-WLS60R1-KMM125","0.0357","Pc(s)"
"","CM-WSOG-BULK","0.095","kg"
"L-REMO30-W","L-REMO30-BULK","0.0035","kg"
"","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","STIC-BTEMO30R1-WCNF","1.0","Pc(s)"
"","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMO30R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"MY-SRMRLSAN1-W","PIP-DB30SR0-X","1.0","Pc(s)"
"","BOTO-GLSA30R1-W","1.0","Pc(s)"
"","SRM-RLSAN1-BULK","0.03","kg"
"","DUS-LSA30R2-W","1.0","Pc(s)"
"","STIC-PAAR1-WM","1.0","Pc(s)"
"","KB-WEGELR0-KMM125CF","0.04167","Pc(s)"
"L-EMC07DP-W","L-EMC07-BULK","0.004","kg"
"","BOTP-EMLCR0-W","1.0","Pc(s)"
"","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","STIC-BOTEMLC07R2-W","1.0","Pc(s)"
"","DUS-EMLC07R1-W","1.0","Pc(s)"
"","STIC-HEMLCR1-W","1.0","Pc(s)"
"","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"MY-CUSIPC-W","CUS-IPC-W","1.0","Pc(s)"
"","STIC-PALLCR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"SRM-RWSPTEN2-W","KB-WFSR1-W","0.05","Pc(s)"
"","SRM-RWSPTE-BULK","0.1","kg"
"","DUS-CSPTE100R1-W","1.0","Pc(s)"
"","BOTO-CSPTE1000R0-W","1.0","Pc(s)"
"","CAP-FROZZ100R0-W","1.0","Pc(s)"
"","PLU-FROZZ100R0-W","1.0","Pc(s)"
"M-AGDC-W30GR","DUS-RYAADCCR1-WIMVG","1.0","Pc(s)"
"","KB-GKMK-W","0.04167","Pc(s)"
"","POT-GRDWR0-W","1.0","Pc(s)"
"","CAPP-GRDR0-W","1.0","Pc(s)"
"","PLU-PGRDR0-W","1.0","Pc(s)"
"","M-AGDC-BULK","0.0308","kg"
"B-RBMLP02-EM","B-BMLPLB2-BULK","0.008","kg"
"","CONT-BMLPR2-E","1.0","Pc(s)"
"","SHIF-BMLPR2-E","1.0","Pc(s)"
"","CAPC-BMLPR2-E","1.0","Pc(s)"
"","PUFF-BMLPR1-EMP","1.0","Pc(s)"
"","STIC-BTBLP2RR2-E","1.0","Pc(s)"
"","DUS-BWMMLPR6-E","1.0","Pc(s)"
"","STIC-BCBWMMLP02R1-E","1.0","Pc(s)"
"","KB-ECR1-KMK125CF","0.01389","Pc(s)"
"L-GS02-EM","L-GS02-BULK","0.003","kg"
"","CAPA-GS02ASR0-E","1.0","Pc(s)"
"","BOTO-GS02ASR1-E","1.0","Pc(s)"
"","STIC-BGS02ASR0-E","1.0","Pc(s)"
"","DUS-GS02ASR2-E","1.0","Pc(s)"
"","IBOX-12EDR1-WD31","0.08333","Pc(s)"
"","KB-EAR0-KMM125","0.01042","Pc(s)"
"L-REMO29-W","L-REMO29-BULK","0.0035","kg"
"","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","STIC-BTEMO29R1-WCNF","1.0","Pc(s)"
"","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMO29R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"BO-W1C-W4GR","BO-W1C1&2RNFS4G-W","1.0","Pc(s)"
"","CONT-BOEW-SAN","1.0","Pc(s)"
"","KUAS-BOBKWC-BTS","1.0","Pc(s)"
"","PLAS-DMESBOR0-W","1.0","Pc(s)"
"","STIC-BOTBOCR1-W","1.0","Pc(s)"
"","PS-PVCEESBOR1-WPVC","1.0","Pc(s)"
"","KB-W6040R2-W","0.00833","Pc(s)"
"MY-CUS-IPD-W","CUS-IPD-W","1.0","Pc(s)"
"","STIC-PALLCR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"L-REMO26-W","L-REMO26-BULK","0.0035","kg"
"","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","STIC-BTEMO26R1-WCNF","1.0","Pc(s)"
"","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMO26R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"LB-EVLNH-W4G","LB-EVLNH-BULK","0.004","kg"
"","CONT-EMLNHR0-WASSM","1.0","Pc(s)"
"","CAPC-EMLNHT-W","1.0","Pc(s)"
"","STIC-BTEMLNHR0-WCNF","1.0","Pc(s)"
"","DUS-EMLNHR2-W","1.0","Pc(s)"
"","IBOX-12ELBR0-WDNF","0.08333","Pc(s)"
"","KB-WLTWCLFR1-KMK125","0.02083","Pc(s)"
"MY-CUSCLCF-W","CUS-CLPGCF-W","1.0","Pc(s)"
"","STIC-PALLCR1-WM","1.0","Pc(s)"
"","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"ES-W0I-W3,3GR","ES-W0I-01-RP-W1,1GR","1.0","Pc(s)"
"","ES-W0I-02-RP-W1,1GR","1.0","Pc(s)"
"","ES-W0I-03-RP-W1,1GR","1.0","Pc(s)"
"","CONT-ESEW-SAN","1.0","Pc(s)"
"","KUAS-ESSNBRWP2K-BT","1.0","Pc(s)"
"","PLAS-DMESBOR0-W","1.0","Pc(s)"
"","STIC-BOTESIR0-WPSM","1.0","Pc(s)"
"","PS-PVCEESBOR1-WPVC","1.0","Pc(s)"
"","KB-W6040R2-W","0.00833","Pc(s)"
"F-IPSF11-W","F-IPSF11-BULK","0.03","kg"
"","TUBE-POSFCF11FP30R0-IP","1.0","Pc(s)"
"","DUS-SFCF30R0-IP","1.0","Pc(s)"
"","STIC-VSFCF11FP30R0-IP","1.0","Pc(s)"
"","KB-WELTWCB-KMM125CF","0.02778","Pc(s)"
"L-EMC02DP-W","L-EMC02-BULK","0.004","kg"
"","BOTP-EMLCR0-W","1.0","Pc(s)"
"","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","STIC-BOTEMLC02R2-W","1.0","Pc(s)"
"","DUS-EMLC02R1-W","1.0","Pc(s)"
"","STIC-HEMLCR1-W","1.0","Pc(s)"
"","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"LT-MPSG-EM5.5ML","LT-MPSG-BULK","0.0055","kg"
"","CAPA-MPR0-EM","1.0","Pc(s)"
"","BOTO-MPR1-EM","1.0","Pc(s)"
"","STIC-BOTMPSGR1-E","1.0","Pc(s)"
"","DUS-MP02SGR3-E","1.0","Pc(s)"
"","IBOX-12EE-ED31","0.08333","Pc(s)"
"","KB-ECR1-KMK125CF","0.00758","Pc(s)"
"L-EMC11DP-W","L-EMC11-BULK","0.004","kg"
"","BOTP-EMLCR0-W","1.0","Pc(s)"
"","CAPA-WEMLNSR0-W","1.0","Pc(s)"
"","STIC-BOTEMLC11R2-W","1.0","Pc(s)"
"","DUS-EMLC11R1-W","1.0","Pc(s)"
"","STIC-HEMLCR1-W","1.0","Pc(s)"
"","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"A-BPCB-W20G","A-BPCB-BULK","0.02","kg"
"","CAP-CABPCB-WASABS","1.0","Pc(s)"
"","CONT-ABPCB-WASABS","1.0","Pc(s)"
"","STIC-BOTAPBBR1-WCNF","1.0","Pc(s)"
"","DUS-APBBR1-WACLG","1.0","Pc(s)"
"","KB-W100BR2-KMM125BF","0.02083","Pc(s)"
"L-REMO20-W","L-REMO20-BULK","0.0035","kg"
"","CONT-EMLRLR0-WRL","1.0","Pc(s)"
"","CAPC-EMLRLR0-WRL","1.0","Pc(s)"
"","STIC-BTEMO20R1-WCNF","1.0","Pc(s)"
"","DUS-EMOR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMO20R1-WCNF","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"HBW-NFSETBWC15-W","HBW-ETBWC-BULK","0.012","kg"
"","BOTO-PETRF12-X","1.0","Pc(s)"
"","CAP-SRF12-X","1.0","Pc(s)"
"","STIC-SNFSBWRE-ELL","1.0300229","Pc(s)"
"MY-LCUMKORA-W","L-CUMKORA-W","1.0","Pc(s)"
"","STIC-PACUMLR1-WM","1.0","Pc(s)"
"","KB-WIOTAR1-W","0.00694","Pc(s)"
"MY-CUSPDMCW32-MO","CUS-PDMCW32-MO","1.0","Pc(s)"
"","STIC-PAAOEMR0-MOM","1.0","Pc(s)"
"","KB-MOTWC3252-K150M12","0.0416667","Pc(s)"
"HBW-ETBWAN2-W","HBW-ETBWA-BULK","0.45","kg"
"","PU-LED28BR0-W","1.0","Pc(s)"
"","STIC-FBMBW450R0-ELL","1.0","Pc(s)"
"","STIC-BBMBW450R0-ELL","1.0","Pc(s)"
"","BOTO-PETE450-ELL","1.0","Pc(s)"
"","KB-WBETAR1-W","0.0769231","Pc(s)"
"B-R3L04N-W","B-R3L04N-BULK","0.02","kg"
"","CONT-LLPR0-WASBS","1.0","Pc(s)"
"","CAPC-LLPR0-WASBS","1.0","Pc(s)"
"","SHIF-LLPR0-WPPN","1.0","Pc(s)"
"","PUFF-LLPR0-WMFP","1.0","Pc(s)"
"","STIC-BLMP4RR0-W","1.0","Pc(s)"
"","DUS-LMP4R3-W","1.0","Pc(s)"
"","STIC-PILMPR0-W","1.0","Pc(s)"
"","STIC-PQLMP4R0-W","1.0","Pc(s)"
"","KB-W100BR2-KMM125BF","0.03571","Pc(s)"
"L-REMA01-W","L-REMA01-BULK","0.0035","kg"
"","CONT-ELRLR0-WASBS","1.0","Pc(s)"
"","CAPC-ELRLR0-WASBS","1.0","Pc(s)"
"","STIC-BTEMA01R0-WCNF","1.0","Pc(s)"
"","DUS-EMAR0-WIMVG","1.0","Pc(s)"
"","STIC-BCEMA01R1-WRL","1.0","Pc(s)"
"","IBOX-12ELRLR1-W","0.08333","Pc(s)"
"","KB-WLER1-KMK125CF","0.00694","Pc(s)"
"ES-PNU-MO10G","ES-PMEO-RP-MO1,25G","1.0","Pc(s)"
"","ES-CV-RP-MO1,25G","1.0","Pc(s)"
"","ES-CP-RP-MO1,25G","1.0","Pc(s)"
"","ES-H-RP-MO1,25G","1.0","Pc(s)"
"","ES-PNU-04-RP-MO1,25G","1.0","Pc(s)"
"","ES-PNU-02-RP-MO1,25G","1.0","Pc(s)"
"","ES-PMB-RP-MO1,25G","1.0","Pc(s)"
"","ES-PNU-03-RP-MO1,25G","1.0","Pc(s)"
"","CONT-ESPNR0-MO","1.0","Pc(s)"
"","BRUS-DEESR0-MOSH","1.0","Pc(s)"
"","PLAS-DMLPWNL-T01M115","1.0","Pc(s)"
"","STIC-BOTESPNR1-MO","1.0","Pc(s)"
"","PO-ESPR0-MOPE","1.0","Pc(s)"
"","DUS-ESPNR1-MO","1.0","Pc(s)"
"","KB-MOLCLR1-MO","0.025","Pc(s)"
"TC-PPCN-MO3X12G","TC-PC03-RP-MO12GR","1.0","Pc(s)"
"","TC-PC01-RP-MO12GR","1.0","Pc(s)"
"","TC-PC05-RP-MO12GR","1.0","Pc(s)"
"","CONT-MOCM04TIAS-2PPH","1.0","Pc(s)"
"","INSE-ICPTR4-MO59","1.0","Pc(s)"
"","STIC-TWCPALMO-PPT2W1","1.0","Pc(s)"
"","PLAS-DMBOPR0-MO","1.0","Pc(s)"
"","PO-BOPMOCM04-21P","1.0","Pc(s)"
"","DUS-TWCPR1-MOILG","1.0","Pc(s)"
"","KB-MOBOPR1-MO","0.04167","Pc(s)"
