timestamp,date_correction,coitem,odoo_code,fg_name,snfg,matter_code,matter,qty,line_name,brand,product_status,product_type,due,sub_category,series,date_done,is_done
2023-01-27 07:09,2023-01-05,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0003,P,POWDER,5292,LPP01,EMINA,EXISTING,LAUNCH,2023-01-06,FACE MAKE UP,BRIGHT STUFF,2023-01-05,1
2023-01-27 07:09,2023-01-06,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0004,P,POWDER,2700,LPP01,EMINA,EXISTING,LAUNCH,2023-01-06,FACE MAKE UP,BRIGHT STUFF,2023-01-06,1
2023-01-27 07:09,2023-01-05,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0004,P,POWDER,2592,LPP01,EMINA,EXISTING,LAUNCH,2023-01-06,FACE MAKE UP,BRIGHT STUFF,2023-01-06,1
2023-01-27 07:09,2023-01-06,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0005,P,POWDER,5328,LPP01,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-06,1
2023-01-27 07:09,2023-01-07,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0006,P,POWDER,5328,LPP01,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-07,1
2023-01-27 07:09,2023-01-09,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0007,P,POWDER,5292,LPP01,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-09,1
2023-01-27 07:09,2023-01-09,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0008,P,POWDER,2592,LPP01,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-10,1
2023-01-27 07:09,2023-01-10,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0008,P,POWDER,2700,LPP01,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-10,1
2023-01-27 07:09,2023-01-10,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0009,P,POWDER,5292,LPP03,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-10,1
2023-01-27 07:09,2023-01-11,B-BSLP-EM,02083,EMINA BRIGHT STUFF LOOSE POWDER 55 G,B-BSLP-EM/I0010,P,POWDER,5292,LPP01,EMINA,EXISTING,LAUNCH,2023-01-13,FACE MAKE UP,BRIGHT STUFF,2023-01-11,1
