"SNFG","Reference","Product","Sediaan","Scheduled Start Date","Scheduled Finished Date","Operation Type","Manufacturing Order","State","Streamline","Unit of Measure"
"SRM-CAB-W/I0001","SRM-CAB-W/I0001","[SRM-CAB-W] Crystallure Supreme Activating Booster Essence 30 ml","L","2023-01-25","2023-01-30","PTI: Jatake 2 - Kemas","MO/230003940","Confirmed","D","Pc(s)"
"FW-CD-W100ML/I0004","FW-CD-W100ML/I0004","[FW-CD-W100ML] Wardah C-Defense Energizing Creamy Wash 100 ml (Pc(s))","L","2023-01-17","2023-02-01","PTI: Jatake 2 - Kemas","MO/230003944","Confirmed","A","Pc(s)"
"LB-EVFSG-W4G/I0005","LB-EVFSG-W4G/I0005","[LB-EVFSG-W4G] Wardah Everyday Fruity Sheer Lip Balm Grape 4 g","S","2023-01-09","2023-01-13","PTI: Jatake 1 - Kemas","MO/230003954","Confirmed","B","Pc(s)"
"LB-EVFSG-W4G/I0006","LB-EVFSG-W4G/I0006","[LB-EVFSG-W4G] Wardah Everyday Fruity Sheer Lip Balm Grape 4 g","S","2023-01-09","2023-01-13","PTI: Jatake 1 - Kemas","MO/230003955","Confirmed","B","Pc(s)"
"F-EVLLF01-W/TRIALI0001","F-EVLLF01-W/TRIALI0001","[F-EVLLF01-W] Wardah Everyday Luminous Liquid Foundation – 01 Natural White 35 ml","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004065","Confirmed","D","Pc(s)"
"F-EVLLF01-W/TRIALI0001","MO-F-LLUNWW1-WBULK/TRIALI0001","[F-LLUNWW1-WBULK] Bulk Foundation Liquid Luminous Natural White WNL","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004074","Confirmed","D","kg"
"CM-LCC-W/TRIALI0001","CM-LCC-W/TRIALI0001","[CM-LCC-W] Wardah Lightening Cleansing Milk 100 ml","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004066","Confirmed","D","Pc(s)"
"HC-HF-W170ML/TRIALI0001","HC-HF-W170ML/TRIALI0001","[HC-HF-W170ML] Wardah Hair Fall Treatment Conditioner 170 ml (Pc(s))","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004067","Confirmed","D","Pc(s)"
"HC-HF-W170ML/TRIALI0001","MO-HC-HF-BULK/TRIALI0001","[HC-HF-BULK] Hair Fall Treatment Conditioner","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004079","Confirmed","D","kg"
"D-W1R1HER-W60ML/TRIALI0001","D-W1R1HER-W60ML/TRIALI0001","[D-W1R1HER-W60ML] Wardah Roll On For Her 60 ml","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004068","Confirmed","D","Pc(s)"
"D-W1R1HER-W60ML/TRIALI0001","MO-D-R1HERW1-BULK/TRIALI0001","[D-R1HERW1-BULK] Roll On for Her (New Look)","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004080","Confirmed","D","kg"
"MY-FTRWSABHA-W/TRIALI0001","MY-FTRWSABHA-W/TRIALI0001","[MY-FTRWSABHA-W] Malaysia Wardah Crystal Secret Exfoliating Toner with Natural AHA+PHA 125 ml","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004069","Confirmed","D","Pc(s)"
"MY-FTRWSABHA-W/TRIALI0001","MO-FT-RWSABHA-BULK/TRIALI0001","[FT-RWSABHA-BULK] Wardah Crystal Secret Exfoliating Toner","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004081","Confirmed","D","kg"
"SRM-H-MO33ML/TRIALI0001","SRM-H-MO33ML/TRIALI0001","[SRM-H-MO33ML] MAKE OVER Hydration Serum 33 ml (Pc(s))","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004070","Confirmed","D","Pc(s)"
"SRM-H-MO33ML/TRIALI0001","MO-SRM-H-BULK/TRIALI0001","[SRM-H-BULK] Bulk Hydration Serum Make Over","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004086","Confirmed","D","kg"
"S-P1G-P200/TRIALI0001","S-P1G-P200/TRIALI0001","[S-P1G-P200] Putri Shampoo Ginseng 200 ML (Pc(s))","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004071","Confirmed","D","Pc(s)"
"S-P1G-P200/TRIALI0001","MO-S-G-BULK/TRIALI0001","[S-G-BULK] Bulk Shampoo Ginseng","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004087","Confirmed","D","kg"
"FMI-CDFM-W55ML/TRIALI0001","FMI-CDFM-W55ML/TRIALI0001","[FMI-CDFM-W55ML] Wardah C-Defense Face Mist 55 ml (Pc(s))","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Kemas","MO/230004072","Confirmed","D","Pc(s)"
"FMI-CDFM-W55ML/TRIALI0001","MO-FMI-CDFM-BULK/TRIALI0001","[FMI-CDFM-BULK] C-Defense Face Mist Bulk","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004088","Confirmed","D","kg"
"CM-LCC-W/TRIALI0001","MO-CM-LCC-BULK/TRIALI0001","[CM-LCC-BULK] Wardah Lightening Cleansing Milk","L","2023-01-23","2023-01-24","PTI: Jatake 2 - Olah","MO/230004116","Confirmed","D","kg"
"WARN-TOA403-BULK/I0001","MO-WARN-TOA403-BULK/I0001","[WARN-TOA403-BULK] Monokrom LSM Tudor Oak","S","2023-01-24","2023-01-27","PTI: Jatake 1 - Antara","MO/230004110","Confirmed","A","kg"
"MY-UVSESG-W/I0002","MY-UVSESG-W/I0002","[MY-UVSESG-W] Malaysia Wardah UV Shield Essential Sunscreen Gel SPF 30 40 ml","L","2023-01-26","2023-02-01","PTI: Jatake 2 - Kemas","MO/230004119","Confirmed","A","Pc(s)"
"FW-RPBCFLS50-W/I0001","FW-RPBCFLS50-W/I0001","[FW-RPBCFLS50-W] Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 50 ml","L","2023-01-26","2023-02-01","PTI: Jatake 2 - Kemas","MO/230004120","Confirmed","A","Pc(s)"
"FW-RPBCFLS50-W/I0001","MO-FW-RPBCFLS-BULK/I0006","[FW-RPBCFLS-BULK] Wardah Perfect Bright Creamy Foam Bright + Smooth Glow","L","2023-01-25","2023-02-01","PTI: Jatake 2 - Olah","MO/230004122","Confirmed","A","kg"
"P-RPB01-W/I0001","P-RPB01-W/I0001","[P-RPB01-W] Wardah Bundling Package 1 Exclusive","J6","2023-01-26","2023-01-27","PTI: Jatake 6 - Kemas","MO/230004138","Confirmed","SL","Pc(s)"
