"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"19","MO-HBL-V5-BULK/I0006","HBL-V5-WL/I0006","HBL-V5-WL/I0006","QC FG","JADWAL BARU","1","(not set)","2023-03-15","2023-03-17","Wonderly Brightening Serum Exfoliating Lotion Mode 300 ml","Processing","Done","HBL-V5-WL","CJ16A",""
"20","(not set)","MA-MSPBP-W/BSI0001","MA-MSPBP-W/BSI0001","QC FG","JADWAL BARU","1","(not set)","2023-03-17","2023-03-21","Wardah Perfect Bright SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSPBP-W","(not set)",""
"21","(not set)","MA-MSCDP-W/BSI0001","MA-MSCDP-W/BSI0001","QC FG","JADWAL BARU","1","(not set)","2023-03-17","2023-03-21","Wardah C-defense SuperSerum Mask 20 ml &lt;SFG&gt;","Processing","Done","MA-MSCDP-W","(not set)",""
"22","MO-REM-R2PBTUMW-BULK/I0001","REM-R2PBTUMW-W/I0001","REM-R2PBTUMW-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-15","2023-03-20","Wardah Perfect Bright Bright + Tone Up Micellar Water 100 ml","Processing","Done","REM-R2PBTUMW-W","CJ16A",""
"23","MO-HBW-ETBWC-BULK/I0003","HBW-NFSETBWC15-W/I0001","HBW-NFSETBWC15-W/I0001","QC FG","JADWAL BARU","2","(not set)","2023-02-07","2023-02-11","NFS EARTH LOVE LIFE Bulgarian Rose &amp; East Nusa Vanilla Body Wash 12 ml","Processing","Done","HBW-NFSETBWC15-W","BJ08A",""
"24","MO-M-RBSC-BULK/I0001","M-RBSC-EM/I0001","M-RBSC-EM/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-04","2023-03-08","Emina Bright Stuff Moisturizing Cream 20 ml","Processing","Done","M-RBSC-EM","CJ06A",""
"25","MO-S-R2DFSEC-BULK/I0002","S-R2DFSEC-W/I0002","S-R2DFSEC-W/I0002","QC FG","JADWAL BARU","1","(not set)","2023-03-27","2023-03-31","Wardah Daily Fresh Shampoo 170 ml (Improvement)","Processing","Done","S-R2DFSEC-W","CJ28A",""
"26","MO-M-RBSTUC-BULK/I0001","M-RBSTUC-EM/I0001","M-RBSTUC-EM/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-13","2023-03-15","Emina Bright Stuff Tone Up Cream 20 ml","Processing","Done","M-RBSTUC-EM","CJ14A",""
"27","MO-M-RHDG-BULK/I0013","M-RHDGN3-W/I0001","M-RHDGN3-W/I0001","QC FG","JADWAL BARU","1","(not set)","2023-04-01","2023-04-03","Wardah Hydra Rose Dewy Aqua Day Gel 8 ml &lt;SFG&gt;","Processing","Done","M-RHDGN3-W","DJ01A",""
"28","MO-SRM-MHA-BULK/I0002","SRM-MHA-TA/I0002","SRM-MHA-TA/I0002","QC FG","JADWAL BARU","1","(not set)","2023-02-06","2023-02-09","TAVI Multipathway Hyperpigmentation Ampoule 15 ml","Processing","Done","SRM-MHA-TA","BJ08A",""
"29","MO-SRM-MP-BULK/I0001","SRM-MP-WL/I0001","SRM-MP-WL/I0001","QC FG","JADWAL BARU","1","(not set)","2023-03-09","2023-03-27","Wonderly Micro-peel Serum 15 ml","Processing","Done","SRM-MP-WL","CJ10A",""
