"#","Nomo","Snfg","Snfg Komponen","Posisi","Jenis Proses","Lanjutan","Datetime Write","Start","Due","Nama Fg","Process Status","Is Done","Koitem FG","No Batch","Actions"
"798","MO-BO-CLBSPE-BULK/I0017","BO-CLBSPE-EM/I0017","BO-CLBSPE-EM/I0017","NDC","JADWAL BARU","1","2023-03-31 20:01:45+07","2023-03-20","2023-04-02","Emina Cheek Lit Blush Stick Peach 7 g","Next Process","Done","BO-CLBSPE-EM","CJ30A",""
"799","MO-B-BSLP-BULK/I0092","B-BSLP-EM/I0092","B-BSLP-EM/I0092","NDC","JADWAL BARU","1","2023-03-31 20:01:45+07","2023-03-24","2023-04-01","Emina Bright Stuff Loose Powder 55 g","Next Process","Done","B-BSLP-EM","CJ30A",""
"800","MO-L-REMO43-BULK/I0004","L-REMO43-W/I0004","L-REMO43-W/I0004","NDC","JADWAL BARU","1","2023-03-31 20:01:45+07","2023-03-27","2023-04-03","Wardah Exclusive Moist Lipstick 43 Magnificent Red 3.5 g","Next Process","Done","L-REMO43-W","CJ27A",""
"801","MO-L-PTMC04-BULK/I0010","L-PTMC04-MO/I0010","L-PTMC04-MO/I0010","NDC","JADWAL BARU","1","2023-03-31 19:47:07+07","2023-03-28","2023-03-31","MAKE OVER Powerstay Transferproof Matte Lip Cream B04 Fearless 7 g","Next Process","Done","L-PTMC04-MO","CJ28B",""
"802","MO-BO-SST09-BULK/I0015","BO-SKST09-MO6G/I0012","BO-SST09-RP-MO6GR/I0012","NDC","JADWAL BARU","1","2023-03-31 19:47:07+07","2023-03-29","2023-04-03","MAKE OVER BO Single 09 Summer Twist 6 g (Pc(s))","Next Process","Done","BO-SKST09-MO6G","CJ30A",""
"803","MO-LB-M-BULK/I0012","LB-M-MO3,8G/I0012","LB-M-MO3,8G/I0012","NDC","JADWAL BARU","1","2023-03-31 19:47:07+07","2023-03-29","2023-03-31","MAKE OVER Lipbalm Lip Nutrition Melon Crazy 3,8 g (Pc(s))","Next Process","Done","LB-M-MO3,8G","CJ29A",""
"804","-","DUSS-PMFN30R0-MO/I0022","DUSS-PMFN30R0-MO/I0022","QC FG","JADWAL BARU","1","2023-03-31 19:32:29+07","2023-03-20","2023-04-01","Dus Sticker Powerstay Matte Powder Foundation N30 MO","Next Process","Done","DUSS-PMFN30R0-MO","(not set)",""
"805","MO-FT-KFT-BULK/I0025","FT-KFT-KA/I0025","FT-KFT-KA/I0025","NDC","JADWAL BARU","1","2023-03-31 18:56:27+07","2023-03-30","2023-04-01","Kahf All-in-One Power Toning Face Spray 100 ml","Next Process","Done","FT-KFT-KA","CJ30A",""
"806","MO-SRM-LSA-BULK/I0009","SRM-RLSAN2-W/I0008","SRM-RLSAN2-W/I0008","NDC","JADWAL BARU","1","2023-03-31 18:56:27+07","2023-03-28","2023-04-01","Wardah Lightening Serum Ampoule 8 ml","Next Process","Done","SRM-RLSAN2-W","CJ29A",""
"807","MO-F-LUC04-BULK/I0002","F-LUC04-MO33ML/I0002","F-LUC04-MO33ML/I0002","NDC","JADWAL BARU","1","2023-03-31 18:56:27+07","2023-03-28","2023-04-01","MAKE OVER Ultra Cover Liquid Matt Foundation 04 Amber Rose 33 ml (Pc(s))","Next Process","Done","F-LUC04-MO33ML","CJ29A",""
"808","MO-L-CVM07-BULK/I0014","L-CVM07-W/I0014","L-CVM07-W/I0014","NDC","JADWAL BARU","1","2023-03-31 17:28:20+07","2023-03-23","2023-03-31","Wardah Colorfit Velvet Matte Lip Mousse 07 Red Pioneer 4 g","Next Process","Done","L-CVM07-W","CJ25A",""
"809","MO-TC-R3LLF02-BULK/I0069","TC-R3LLF02-W/I0034","TC-R3LLF02-W/I0034","NDC","JADWAL BARU","1","2023-03-31 17:28:20+07","2023-03-30","2023-03-31","Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","Next Process","Done","TC-R3LLF02-W","CJ30C",""
"810","MO-M-RRYNC-BULK/I0016","M-RRYNCN1-W/I0007","M-RRYNCN1-W/I0007","NDC","JADWAL BARU","1","2023-03-31 17:14:15+07","2023-03-29","2023-03-31","Wardah Renew You Night Cream 15 g (Pc(s))","Next Process","Done","M-RRYNCN1-W","CJ30A",""
"811","","P-BRGSDUV-L/I0002","P-BRGSDUV-L/I0002","NDC","JADWAL BARU","1","2023-03-31 17:14:15+07","2023-03-25","2023-03-31","LABORE Sensitive Skin Care On-The-Go Minis","Next Process","Done","P-BRGSDUV-L","(not set)",""
"812","MO-L-CUSH02-BULK/I0004","L-CUSH02-EM/I0004","L-CUSH02-EM/I0004","NDC","JADWAL BARU","1","2023-03-31 16:41:50+07","2023-03-28","2023-03-31","Emina Lip Cushion 02. Be Cherry 9 g","Next Process","Done","L-CUSH02-EM","CJ28B",""
"813","MO-L-CUSH02-BULK/I0005","L-CUSH02-EM/I0005","L-CUSH02-EM/I0005","NDC","JADWAL BARU","1","2023-03-31 16:41:50+07","2023-03-28","2023-03-31","Emina Lip Cushion 02. Be Cherry 9 g","Next Process","Done","L-CUSH02-EM","CJ29A",""
"814","MO-L-CUSH02-BULK/I0003","L-CUSH02-EM/I0003","L-CUSH02-EM/I0003","NDC","JADWAL BARU","1","2023-03-31 16:41:50+07","2023-03-27","2023-03-31","Emina Lip Cushion 02. Be Cherry 9 g","Next Process","Done","L-CUSH02-EM","CJ28A",""
"815","MO-HBW-BWC-BULK/I0017","HBW-BWN2C-BD/I0008","HBW-BWN2C-BD/I0008","NDC","JADWAL BARU","1","2023-03-31 16:41:31+07","2023-03-29","2023-03-31","Biodef Natural Protection Mint + Green Tea Body Wash Antiseptik Alami Pouch 400 ml","Next Process","Done","HBW-BWN2C-BD","CJ30A",""
"816","MO-L-PTMC04-BULK/I0009","L-PTMC04-MO/I0009","L-PTMC04-MO/I0009","NDC","JADWAL BARU","1","2023-03-31 16:40:52+07","2023-03-28","2023-03-31","MAKE OVER Powerstay Transferproof Matte Lip Cream B04 Fearless 7 g","Next Process","Done","L-PTMC04-MO","CJ28A",""
"817","MO-FW-AH-BULK/I0013","FW-AH-W100ML/I0008","FW-AH-W100ML/I0008","NDC","JADWAL BARU","1","2023-03-31 16:40:32+07","2023-03-20","2023-04-05","Wardah Nature Daily Aloe Hydramild Facial Wash 100 ml","Next Process","Done","FW-AH-W100ML","CJ30A",""
"818","MO-FW-PCSAC-BULK/I0145","FW-PCSAC-KA/I0146","FW-PCSAC-KA/I0146","NDC","JADWAL BARU","1","2023-03-31 16:39:36+07","2023-03-20","2023-04-05","Kahf Oil and Acne Care Face Wash 100 ml","Next Process","Done","FW-PCSAC-KA","CJ30C",""
"819","","MY-FLLF02-W/I0012","MY-FLLF02-W/I0012","KEMAS_2","PACKING","2","2023-03-31 15:27:00+07","2023-03-30","2023-03-31","Malaysia Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister)","Next Process","(not set)","MY-FLLF02-W","(not set)",""
"820","MO-SS-DUVSDE-BULK/I0011","SS-DUVSDE-L/I0006","SS-DUVSDE-L/I0006","PENGOLAHAN","OLAH 2","1","2023-03-31 15:09:00+07","2023-03-23","2023-03-24","LABORE Sensitive Skin Care BiomeProtect Physical Sunscreen 30 ml","Next Process","(not set)","SS-DUVSDE-L","CJ31A",""
"821","-","ES-CLPNB-W/BSI0004","ES-CLPNB-W/BSI0004/03/01","KEMAS_1","PRESS","1","2023-03-31 14:39:00+07","2023-03-31","2023-03-31","Wardah COLORFIT QUAD EYE PALETTE 01 BRUNETTE DAWN 6 g","Next Process","(not set)","ES-CLPNB-W","(not set)",""
"822","(not set)","MY-LCUM01-W/I0005","MY-LCUM01-W/I0005","KEMAS_2","PACKING","1","2023-03-31 14:26:00+07","2023-03-31","2023-04-03","Malaysia Wardah Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g","Next Process","(not set)","MY-LCUM01-W","(not set)",""
"823","MO-BO-SCS06-BULK/I0019","BO-SKCS06-MO6G/I0014","BO-S06CS6GRRNFS-MO/I0014","NDC","JADWAL BARU","1","2023-03-31 14:10:07+07","2023-03-28","2023-03-31","MAKE OVER BO Single 06 Caribbean Sunset 6 g (Pc(s))","Next Process","Done","BO-SKCS06-MO6G","CJ29A",""
"824","MO-TC-PMW21-BULK/I0009","TC-PMW21-MO/I0009","TC-PMW21-MO/I0009","NDC","JADWAL BARU","1","2023-03-31 14:10:07+07","2023-03-21","2023-04-01","MAKE OVER Powerstay Matte Powder Foundation W21 Coral Ivory 12 g","Next Process","Done","TC-PMW21-MO","CJ30A",""
"825","MO-L-MLCO-BULK/I0019","L-MLCO-OMG/I0019","L-MLCO-OMG/I0019","NDC","JADWAL BARU","1","2023-03-31 14:07:12+07","2023-03-29","2023-03-31","OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g","Next Process","Done","L-MLCO-OMG","CJ29A",""
"826","MO-L-MLCM-BULK/I0021","L-MLCM-OMG/I0021","L-MLCM-OMG/I0021","NDC","JADWAL BARU","1","2023-03-31 14:06:59+07","2023-03-28","2023-03-31","OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g","Next Process","Done","L-MLCM-OMG","CJ28A",""
"827","MO-TC-R3LLF06-BULK/I0014","TC-RR3LLF06-W/I0011","TC-RR3LLF06-W/I0011","NDC","JADWAL BARU","1","2023-03-31 14:06:45+07","2023-03-27","2023-03-31","Wardah Refill Lightening Powder Foundation Light Feel 06 Ivory 12 g","Next Process","Done","TC-RR3LLF06-W","CJ30A",""
"828","(not set)","MY-TCR2E01-W/I0004","MY-TCR2E01-W/I0004","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-04-03","Malaysia Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g","Next Process","Done","MY-TCR2E01-W","(not set)",""
"829","(not set)","MY-BBSLP-EM/I0009","MY-BBSLP-EM/I0009","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-03-31","Malaysia Emina Bright Stuff Loose Powder 55 g","Next Process","Done","MY-BBSLP-EM","(not set)",""
"830","(not set)","MY-BOCOCBSC-W/I0006","MY-BOCOCBSC-W/I0006","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-03-31","Malaysia Wardah Colorfit Cream Blush 01 SAND CORAL 3 g","Next Process","Done","MY-BOCOCBSC-W","(not set)",""
"831","(not set)","MY-ESPRPPH-EM/I0001","MY-ESPRPPH-EM/I0001","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-04-03","Malaysia Emina Pop Rouge Pressed Eye Shadow Posh 3.3 gr (Pc(s))","Next Process","Done","MY-ESPRPPH-EM","(not set)",""
"832","","MY-CUSCLCE-W/I0007","MY-CUSCLCE-W/I0007","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-03-31","Malaysia Wardah Colorfit Perfect Glow Cushion 33W Olive Beige","Next Process","Done","MY-CUSCLCE-W","(not set)",""
"833","","MY-FLLF01-W/I0010","MY-FLLF01-W/I0010","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-30","2023-03-31","Malaysia Wardah Lightening Liquid Foundation 01. Light Beige 25 ml (Blister)","Next Process","Done","MY-FLLF01-W","(not set)",""
"834","(not set)","MY-ESCLPPB-W/I0005","MY-ESCLPPB-W/I0005","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-30","2023-03-31","Malaysia Wardah COLORFIT QUAD EYE PALETTE 02 ROSÉ AURORA 6 g","Next Process","Done","MY-ESCLPPB-W","(not set)",""
"835","(not set)","MY-RLCVM05-W/I0004","MY-RLCVM05-W/I0004","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-30","2023-03-31","Malaysia Wardah Colorfit Velvet Matte Lip Mousse 05 Artisan Mauve 4 g","Next Process","Done","MY-RLCVM05-W","(not set)",""
"836","(not set)","MY-FRRELF02-W/I0005","MY-FRRELF02-W/I0005","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-03-31","Malaysia Wardah Exclusive Liquid Foundation 02 Sheer Pink 20 ml","Next Process","Done","MY-FRRELF02-W","(not set)",""
"837","(not set)","MY-LCVM09-W/I0008","MY-LCVM09-W/I0008","NDC","JADWAL BARU","1","2023-03-31 14:05:59+07","2023-03-31","2023-04-03","Malaysia Wardah Colorfit Velvet Matte Lip Mousse 09 Ombre Charmer 4 g","Next Process","Done","MY-LCVM09-W","(not set)",""
"838","MO-MA-MTRWS-BULK/I0002","MA-MTRWS-W/I0002","MA-MTRWS-W/I0002","NDC","JADWAL BARU","1","2023-03-31 13:43:30+07","2023-03-24","2023-04-03","Wardah Crystal Secret Radiance Serum Mask 20 ml","Next Process","Done","MA-MTRWS-W","CJ24A",""
"839","MO-SRM-FS-BULK/I0002","SRM-FS-KA/I0002","SRM-FS-KA/I0002","NDC","JADWAL BARU","1","2023-03-31 13:43:30+07","2023-03-23","2023-03-25","Kahf Brightening and Texture Refining Face Serum 35 ml","Next Process","Done","SRM-FS-KA","CJ30A",""
"840","MO-HC-HF-BULK/I0014","HC-HF-W170ML/I0014","HC-HF-W170ML/I0014","NDC","JADWAL BARU","1","2023-03-31 13:21:45+07","2023-03-20","2023-04-05","Wardah Hair Fall Treatment Conditioner 170 ml (Pc(s))","Next Process","Done","HC-HF-W170ML","CJ30A",""
"841","MO-ES-W1A-02 BULK/I0004","ES-W1A-W3,3GR/I0004","ES-W1A-W3,3GR/I0004/02/01","NDC","JADWAL BARU","1","2023-03-31 11:45:39+07","2023-03-27","2023-03-31","Wardah Eye Shadow A 3,3 gr (pc(s))","Next Process","Done","ES-W1A-W3,3GR","CJ28A",""
"842","MO-ES-W1A-03 BULK/I0004","ES-W1A-W3,3GR/I0004","ES-W1A-W3,3GR/I0004/03/01","NDC","JADWAL BARU","1","2023-03-31 11:45:39+07","2023-03-28","2023-03-31","Wardah Eye Shadow A 3,3 gr (pc(s))","Next Process","Done","ES-W1A-W3,3GR","CJ29A",""
"843","MO-B-R3L04N-BULK/I0016","B-R3L04N-W/I0016","B-R3L04N-W/I0016","NDC","JADWAL BARU","1","2023-03-31 11:45:39+07","2023-03-20","2023-04-01","Wardah Lightening Matte Powder 04 Natural 20 g","Next Process","Done","B-R3L04N-W","CJ30A",""
"844","MO-TC-PC04-BULK/I0047","TC-R2E04-W/I0005","TC-R2E04-W/I0005","NDC","JADWAL BARU","1","2023-03-31 11:45:39+07","2023-03-27","2023-04-01","Wardah Exclusive Two Way Cake 04 Natural 12 g","Next Process","Done","TC-R2E04-W","CJ30A",""
"845","-","DUSS-PMFW21R0-MO/I0009","DUSS-PMFW21R0-MO/I0009","QC FG","JADWAL BARU","1","2023-03-31 11:28:52+07","2023-03-21","2023-04-01","Dus Sticker Powerstay Matte Powder Foundation W21 MO","Next Process","Done","DUSS-PMFW21R0-MO","(not set)",""
"846","MO-S-R2DFSEC-BULK/I0001","S-R2DFSEC-W/I0001","S-R2DFSEC-W/I0001","KEMAS_2","FILLING-PACKING_INLINE","1","2023-03-31 11:22:00+07","2023-03-08","2023-03-11","Wardah Daily Fresh Shampoo 170 ml (Improvement)","Next Process","(not set)","S-R2DFSEC-W","CJ09A",""
"847","MO-LB-EVFSS-BULK/I0029","LB-EVFSS-W4G/I0029","LB-EVFSS-W4G/I0029","NDC","JADWAL BARU","1","2023-03-31 10:55:49+07","2023-03-27","2023-04-02","Wardah Everyday Fruity Sheer Lip Balm Strawberry 4 g","Next Process","Done","LB-EVFSS-W4G","CJ30A",""
"848","MO-TC-R3LLF02-BULK/I0068","TC-R3LLF02-W/I0033","TC-R3LLF02-W/I0033","NDC","JADWAL BARU","1","2023-03-31 10:55:49+07","2023-03-29","2023-03-31","Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g","Next Process","Done","TC-R3LLF02-W","CJ30B",""
"849","MO-TC-W1C1-BULK/I0015","TC-W3RELLB1-W12G/I0011","TC-W3RELLB1-W12G/I0011","NDC","JADWAL BARU","1","2023-03-31 10:55:49+07","2023-03-27","2023-03-31","Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s))","Next Process","Done","TC-W3RELLB1-W12G","CJ30A",""
"850","-","ES-CLPNB-W/BSI0004","ES-CLPNB-W/BSI0004/02/01","KEMAS_1","PRESS","1","2023-03-31 10:44:00+07","2023-03-31","2023-03-31","Wardah COLORFIT QUAD EYE PALETTE 01 BRUNETTE DAWN 6 g","Next Process","(not set)","ES-CLPNB-W","(not set)",""
"851","MO-CON-IP01-BULK/I0003","CON-IP01-W/I0003","CON-IP01-W/I0003","KEMAS_1","FILLING","1","2023-03-31 10:34:00+07","2023-03-27","2023-03-31","Instaperfect Skinveil Cover Concealer 10 Fair 6.5 g","Next Process","(not set)","CON-IP01-W","CJ29A",""
"852","(not set)","MY-FLLF04-W/I0009","MY-FLLF04-W/I0009","NDC","JADWAL BARU","1","2023-03-31 10:28:26+07","2023-03-30","2023-03-31","Malaysia Wardah Lightening Liquid Foundation 04. Natural 25 ml (Blister)","Next Process","Done","MY-FLLF04-W","(not set)",""
"853","","MY-CUSCLCB-W/I0007","MY-CUSCLCB-W/I0007","NDC","JADWAL BARU","1","2023-03-31 10:28:26+07","2023-03-30","2023-03-31","Malaysia Wardah Colorfit Perfect Glow Cushion 22N Light Ivory","Next Process","Done","MY-CUSCLCB-W","(not set)",""
"854","(not set)","MY-TCR2E04-W/I0003","MY-TCR2E04-W/I0003","NDC","JADWAL BARU","1","2023-03-31 10:28:26+07","2023-03-30","2023-03-31","Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g","Next Process","Done","MY-TCR2E04-W","(not set)",""
"855","(not set)","MY-FRRELF04-W/I0005","MY-FRRELF04-W/I0005","NDC","JADWAL BARU","1","2023-03-31 10:28:26+07","2023-03-30","2023-03-30","Malaysia Wardah Exclusive Liquid Foundation 04 Natural 20 ml","Next Process","Done","MY-FRRELF04-W","(not set)",""
"856","","MY-CONLBBL02-W/I0011","MY-CONLBBL02-W/I0011","NDC","JADWAL BARU","1","2023-03-31 10:25:29+07","2023-03-30","2023-03-31","Malaysia Wardah Lightening Liquid Concealer 02 Beige 7 g (Blister)","Next Process","Done","MY-CONLBBL02-W","(not set)",""
"857","","MY-FWRHMF-W/I0007","MY-FWRHMF-W/I0007","NDC","JADWAL BARU","1","2023-03-31 10:25:29+07","2023-03-29","2023-03-30","Malaysia Wardah Hydra Rose Gel to Foam Cleanser 100 ml","Next Process","Done","MY-FWRHMF-W","(not set)",""
"858","MO-FW-PCSAC-BULK/I0144","FW-PCSAC-KA/I0145","FW-PCSAC-KA/I0145","NDC","JADWAL BARU","1","2023-03-31 10:25:28+07","2023-03-20","2023-04-05","Kahf Oil and Acne Care Face Wash 100 ml","Next Process","Done","FW-PCSAC-KA","CJ30B",""
"859","MO-L-CUM05-BULK/I0012","L-CUM05-W/I0012","L-CUM05-W/I0012","NDC","JADWAL BARU","1","2023-03-31 10:07:11+07","2023-03-20","2023-04-02","Wardah Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g","Next Process","Done","L-CUM05-W","CJ29A",""
"860","MO-HC-F-BULK/I0011","HC-P1F-P200/I0006","HC-P1F-P200/I0006","NDC","JADWAL BARU","1","2023-03-31 10:06:45+07","2023-03-30","2023-04-01","Putri Pure Clean Hair Conditioner Floral 200 ML (Pc(s))","Next Process","Done","HC-P1F-P200","CJ30A",""
"861","MO-FW-BSW-BULK/I0009","FW-BSW-EM/I0009","FW-BSW-EM/I0009","NDC","JADWAL BARU","1","2023-03-31 10:06:45+07","2023-03-20","2023-04-05","Emina Bright Stuff Whip Face Wash 50 ml","Next Process","Done","FW-BSW-EM","CJ30A",""
"862","MO-L-MLCC-BULK/I0027","L-MLCC-OMG/I0027","L-MLCC-OMG/I0027","NDC","JADWAL BARU","1","2023-03-31 10:06:25+07","2023-03-29","2023-03-31","OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g","Next Process","Done","L-MLCC-OMG","CJ29A",""
"863","MO-TC-PMW12-BULK/I0009","TC-PMW12-MO/I0009","TC-PMW12-MO/I0009","NDC","JADWAL BARU","1","2023-03-31 09:52:56+07","2023-03-27","2023-03-31","MAKE OVER Powerstay Matte Powder Foundation W12 Warm Marble 12 g","Next Process","Done","TC-PMW12-MO","CJ30A",""
"864","MO-SS-UVSDS-BULK/I0065","SS-UVSDSPB-W/I0048","SS-UVSDSPB-W/I0048","NDC","JADWAL BARU","1","2023-03-31 09:25:19+07","2023-03-13","2023-04-05","Wardah UV Shield Essential Sunscreen Gel SPF 30 (New Blister)","Next Process","Done","SS-UVSDSPB-W","CJ29A",""
"865","MO-L-IPMMS03-BULK/I0008","L-IPMMS03-W3.5G/I0008","L-IPMMS03-W3.5G/I0008","NDC","JADWAL BARU","1","2023-03-31 08:49:18+07","2023-03-13","2023-04-02","Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 03. FEMME 3.5 g","Next Process","Done","L-IPMMS03-W3.5G","CJ30A",""
"866","MO-LB-STSPC-BULK/I0020","LB-STSPC-EM/I0020","LB-STSPC-EM/I0020","NDC","JADWAL BARU","1","2023-03-31 08:37:41+07","2023-03-20","2023-04-02","Emina Oh So Kissable Tinted Balm Stick Plum Candy 3.4 g","Next Process","Done","LB-STSPC-EM","CJ30A",""
"867","MO-TC-PC04-BULK/I0040","TC-R2RE04-W/I0009","TC-R2RE04-W/I0009","NDC","JADWAL BARU","1","2023-03-31 08:37:41+07","2023-03-08","2023-04-01","Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","Next Process","Done","TC-R2RE04-W","CJ29A",""
"868","MO-REM-OIMW-BULK/I0016","REM-OIMW-MO/I0016","REM-OIMW-MO/I0016/01/01","NDC","JADWAL BARU","1","2023-03-31 07:34:34+07","2023-03-28","2023-03-30","MAKE OVER POWERSKIN Bi-Phase Oil Micellar Water 200 ml","Next Process","Done","REM-OIMW-MO","CJ29A",""
"869","MO-CON-PTCL02-BULK/I0003","CON-PTCL02-MO/I0003","CON-PTCL02-MO/I0003","NDC","JADWAL BARU","1","2023-03-31 07:34:34+07","2023-03-29","2023-03-31","MAKE OVER Powerstay Total Cover Liquid Concealer 02 Light to Medium 6.5 ml","Next Process","Done","CON-PTCL02-MO","CJ29A",""
"870","MO-REM-OIMWB-BULK/I0016","REM-OIMW-MO/I0016","REM-OIMW-MO/I0016/02/01","NDC","JADWAL BARU","1","2023-03-31 07:34:34+07","2023-03-29","2023-03-30","MAKE OVER POWERSKIN Bi-Phase Oil Micellar Water 200 ml","Next Process","Done","REM-OIMW-MO","CJ29A",""
"871","MO-FMI-CDFM-BULK/I0016","MY-RFMICD-W/I0008","MY-RFMICD-W/I0008","NDC","JADWAL BARU","1","2023-03-31 07:19:58+07","2023-03-28","2023-03-31","Malaysia Wardah C-defense Face Mist 55 ml","Next Process","Done","MY-RFMICD-W","CJ28A",""
"872","MO-L-CHC01-BULK/I0007","L-CHC01-MO/I0007","L-CHC01-MO/I0007","NDC","JADWAL BARU","1","2023-03-31 05:53:56+07","2023-03-13","2023-04-02","MAKE OVER Color Hypnose Creamy Lipmatte 01 Charm 4.3 g","Next Process","Done","L-CHC01-MO","CJ30A",""
"873","MO-L-CHC07-BULK/I0012","L-CHC07-MO/I0012","L-CHC07-MO/I0012","NDC","JADWAL BARU","1","2023-03-31 05:53:56+07","2023-03-27","2023-04-02","MAKE OVER Color Hypnose Creamy Lipmatte 07 Temptation 4.3 g","Next Process","Done","L-CHC07-MO","CJ29A",""
"874","MO-BO-SKPP10-BULK/I0007","BO-SKPP10-MO6G/I0007","BO-SKPP10-RP-MO6GR/I0007","NDC","JADWAL BARU","1","2023-03-31 05:53:44+07","2023-03-27","2023-03-31","MAKE OVER BO Single 10 Passion Pink 6 g (Pc(s))","Next Process","Done","BO-SKPP10-MO6G","CJ28A",""
"875","MO-L-PTMC01-BULK/I0004","L-PTMC01-MO/I0004","L-PTMC01-MO/I0004","NDC","JADWAL BARU","1","2023-03-31 05:53:11+07","2023-03-27","2023-03-31","MAKE OVER Powerstay Transferproof Matte Lip Cream B01 No. 1 7 g","Next Process","Done","L-PTMC01-MO","CJ29A",""
"876","MO-F-PTCMCW52-BULK/I0003","F-PTCMCW52-MO/I0003","F-PTCMCW52-MO/I0003","NDC","JADWAL BARU","1","2023-03-31 05:53:11+07","2023-03-27","2023-04-01","MAKE OVER Powerstay Total Cover Matte Cream Foundation W52 Warm Tan 12 g","Next Process","Done","F-PTCMCW52-MO","CJ28A",""
"877","MO-TC-PC02-BULK/I0034","TC-R2E01-W/I0004","TC-R2E01-W/I0004","NDC","JADWAL BARU","1","2023-03-31 05:36:45+07","2023-03-27","2023-03-31","Wardah Exclusive Two Way Cake 01 Sheer Pink 12 g","Next Process","Done","TC-R2E01-W","CJ29A",""
"878","MO-B-CLCLPC-BULK/I0026","B-CLCLPC-W/I0026","B-CLCLPC-W/I0026","NDC","JADWAL BARU","1","2023-03-31 05:36:45+07","2023-03-27","2023-03-31","Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g","Next Process","Done","B-CLCLPC-W","CJ30A",""
"879","MO-HC-A2-BULK/I0014","HC-P1A2-P200/I0007","HC-P1A2-P200/I0007","NDC","JADWAL BARU","1","2023-03-31 05:16:42+07","2023-03-30","2023-04-01","Putri Pure Clean Hair Conditioner Apple 200 ML (Pc(s))","Next Process","Done","HC-P1A2-P200","CJ30A",""
"880","MO-FS-SB-BULK/I0006","FS-SB-W60ML/I0006","FS-SB-W60ML/I0006","NDC","JADWAL BARU","1","2023-03-31 05:15:23+07","2023-03-20","2023-04-05","Wardah Nature Daily Seaweed Balancing Facial Scrub 60 ml","Next Process","Done","FS-SB-W60ML","CJ29A",""
"881","MO-FW-RPBCFLS-BULK/I0030","FW-RPBCFLS50-W/I0007","FW-RPBCFLS50-W/I0007","NDC","JADWAL BARU","1","2023-03-31 05:15:23+07","2023-03-27","2023-04-12","Wardah Perfect Bright Creamy Foam Bright + Smooth Glow 50 ml","Next Process","Done","FW-RPBCFLS50-W","CJ30A",""
"882","MO-REM-RPBTUMW-BULK/I0011","REM-RPBTUMW-W/I0009","REM-RPBTUMW-W/I0009","NDC","JADWAL BARU","1","2023-03-31 05:15:10+07","2023-03-28","2023-03-31","Wardah Perfect Bright Bright + Tone Up Micellar Water 100 ml","Next Process","Done","REM-RPBTUMW-W","CJ28A",""
"883","MO-L-LTA-BULK/I0005","L-LTA-OMG/I0005","L-LTA-OMG/I0005","NDC","JADWAL BARU","1","2023-03-31 05:01:20+07","2023-03-28","2023-03-30","OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry","Next Process","Done","L-LTA-OMG","CJ28A",""
"884","MO-F-L03-BULK/I0003","F-L03-OMG/I0003","F-L03-OMG/I0003","NDC","JADWAL BARU","1","2023-03-31 05:01:20+07","2023-03-25","2023-03-31","OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige","Next Process","Done","F-L03-OMG","CJ27A",""
"885","MO-L-MLCI-BULK/I0030","L-MLCI-OMG/I0030","L-MLCI-OMG/I0030","NDC","JADWAL BARU","1","2023-03-31 05:01:20+07","2023-03-29","2023-03-30","OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g","Next Process","Done","L-MLCI-OMG","CJ29A",""
"886","MO-B-R3L03I-BULK/I0011","B-R3L03I-W/I0011","B-R3L03I-W/I0011","NDC","JADWAL BARU","1","2023-03-31 03:06:57+07","2023-03-14","2023-04-01","Wardah Lightening Matte Powder 03 Ivory 20 g","Next Process","Done","B-R3L03I-W","CJ30A",""
